"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"21130";"2150964";"1480";"kg";"Non";"Non"
2022;"21130";"2160114";"5";"l";"Non";"Non"
2022;"21130";"2160115";"32.68";"l";"Oui";"Non"
2022;"21130";"2160226";"140";"kg";"Non";"Non"
2022;"21130";"2160260";"65";"l";"Non";"Non"
2022;"21130";"2160343";"5";"l";"Non";"Non"
2022;"21130";"2160384";"265";"l";"Non";"Non"
2022;"21130";"2160387";"235";"l";"Non";"Non"
2022;"21130";"2160397";"5";"l";"Non";"Non"
2022;"21130";"2160454";"10";"kg";"Non";"Non"
2022;"21130";"2160479";"80";"l";"Non";"Non"
2022;"21130";"2160487";"25";"l";"Non";"Non"
2022;"21130";"2160615";"4.7";"kg";"Oui";"Non"
2022;"21130";"2160617";"470";"l";"Non";"Non"
2022;"21130";"2160693";"138";"l";"Non";"Non"
2022;"21130";"2160724";"195";"l";"Non";"Non"
2022;"21130";"2160781";"140";"l";"Non";"Non"
2022;"21130";"2160920";"15";"l";"Non";"Non"
2022;"21130";"2160931";"430.25";"l";"Non";"Non"
2022;"21130";"2160936";"24";"l";"Non";"Non"
2022;"21130";"2160959";"240";"l";"Non";"Non"
2022;"21130";"2161101";"205";"l";"Non";"Non"
2022;"21130";"2169999";"2";"l";"Non";"Non"
2022;"21130";"2170139";"48";"l";"Non";"Non"
2022;"21130";"2170158";"100";"l";"Non";"Non"
2022;"21130";"2170208";"181";"kg";"Non";"Non"
2022;"21130";"2170216";"1";"kg";"Non";"Non"
2022;"21130";"2170243";"31.48";"l";"Oui";"Non"
2022;"21130";"2170381";"80";"l";"Non";"Non"
2022;"21130";"2170412";"5";"l";"Non";"Non"
2022;"21130";"2170421";"30";"l";"Non";"Non"
2022;"21130";"2170428";"0.2";"kg";"Non";"Non"
2022;"21130";"2170429";"110";"l";"Non";"Non"
2022;"21130";"2170524";"3";"kg";"Non";"Non"
2022;"21130";"2170752";"0.80";"l";"Non";"Non"
2022;"21130";"2170757";"125";"l";"Non";"Non"
2022;"21130";"2170839";"10";"l";"Non";"Non"
2022;"21130";"2170977";"2.25";"l";"Oui";"Non"
2022;"21130";"2170978";"1.8";"l";"Oui";"Non"
2022;"21130";"2170979";"90";"kg";"Non";"Non"
2022;"21130";"2171067";"7.5";"l";"Oui";"Non"
2022;"21130";"2171089";"120";"kg";"Non";"Non"
2022;"21130";"2171141";"25";"l";"Non";"Non"
2022;"21130";"2171253";"0.12";"l";"Non";"Non"
2022;"21130";"2180009";"1";"kg";"Non";"Non"
2022;"21130";"2180035";"69";"kg";"Non";"Non"
2022;"21130";"2180088";"60";"l";"Non";"Non"
2022;"21130";"2180124";"14.81";"l";"Non";"Non"
2022;"21130";"2180147";"12";"kg";"Non";"Non"
2022;"21130";"2180233";"5";"l";"Non";"Non"
2022;"21130";"2180256";"28";"kg";"Oui";"Non"
2022;"21130";"2180260";"960";"kg";"Non";"Non"
2022;"21130";"2180369";"10";"l";"Non";"Non"
2022;"21130";"2180462";"1780";"kg";"Non";"Non"
2022;"21130";"2180807";"20";"l";"Non";"Non"
2022;"21130";"2180865";"0.13";"l";"Non";"Non"
2022;"21130";"2180888";"2.25";"l";"Oui";"Non"
2022;"21130";"2180901";"340";"kg";"Non";"Non"
2022;"21130";"2189993";"20.8";"kg";"Oui";"Non"
2022;"21130";"2190016";"210";"l";"Non";"Non"
2022;"21130";"2190041";"10";"l";"Non";"Non"
2022;"21130";"2190062";"36";"l";"Non";"Non"
2022;"21130";"2190088";"2.12";"l";"Oui";"Non"
2022;"21130";"2190173";"666";"kg";"Non";"Non"
2022;"21130";"2190214";"310";"l";"Non";"Non"
2022;"21130";"2190246";"160";"l";"Non";"Non"
2022;"21130";"2190319";"94.2";"l";"Oui";"Non"
2022;"21130";"2190321";"110";"l";"Non";"Non"
2022;"21130";"2190395";"32";"l";"Non";"Non"
2022;"21130";"2190441";"1";"l";"Non";"Non"
2022;"21130";"2190509";"130";"l";"Non";"Non"
2022;"21130";"2190598";"3";"l";"Non";"Non"
2022;"21130";"2190608";"22";"l";"Non";"Non"
2022;"21130";"2190634";"90";"l";"Non";"Non"
2022;"21130";"2190639";"190";"l";"Non";"Non"
2022;"21130";"2190686";"110";"l";"Non";"Non"
2022;"21130";"2190687";"96";"kg";"Non";"Non"
2022;"21130";"2190722";"420";"l";"Non";"Non"
2022;"21130";"2190760";"19.2";"kg";"Oui";"Non"
2022;"21130";"2190808";"38.6";"l";"Oui";"Non"
2022;"21130";"2190811";"16.8";"l";"Oui";"Non"
2022;"21130";"2190874";"4";"l";"Oui";"Non"
2022;"21130";"2190883";"5";"l";"Non";"Non"
2022;"21130";"2200059";"2.3";"l";"Oui";"Non"
2022;"21130";"2200068";"42.27";"kg";"Oui";"Non"
2022;"21130";"2200215";"165";"l";"Non";"Non"
2022;"21130";"2200296";"10";"l";"Non";"Non"
2022;"21130";"2200317";"15";"l";"Non";"Non"
2022;"21130";"2200518";"5";"l";"Non";"Non"
2022;"21130";"2200526";"50.96";"l";"Oui";"Non"
2022;"21130";"2200753";"290";"l";"Non";"Non"
2022;"21130";"2200756";"10";"l";"Non";"Non"
2022;"21130";"2200891";"170";"l";"Non";"Non"
2022;"21130";"2210013";"90";"l";"Non";"Non"
2022;"21130";"2210128";"120";"l";"Non";"Non"
2022;"21130";"2210138";"230";"l";"Non";"Non"
2022;"21130";"2210192";"980";"l";"Non";"Non"
2022;"21130";"2210452";"210";"l";"Non";"Non"
2022;"21130";"2210567";"170";"l";"Non";"Non"
2022;"21130";"2210568";"40";"l";"Non";"Non"
2022;"21130";"2210614";"20";"l";"Non";"Non"
2022;"21130";"2210743";"5";"l";"Non";"Non"
2022;"21130";"2210858";"130";"l";"Non";"Non"
2022;"21130";"2210880";"529";"l";"Non";"Non"
2022;"21130";"2220146";"60";"l";"Non";"Non"
2022;"21130";"2220272";"20";"l";"Non";"Non"
2022;"21130";"2220638";"30";"l";"Non";"Non"
2022;"21130";"2220766";"75.4";"kg";"Non";"Non"
2022;"21130";"6400401";"1";"kg";"Non";"Non"
2022;"21130";"7200313";"310";"l";"Non";"Non"
2022;"21130";"8200538";"30";"l";"Non";"Non"
2022;"21130";"8300063";"300";"l";"Non";"Non"
2022;"21130";"8400096";"42";"l";"Non";"Non"
2022;"21130";"8400255";"2.7";"kg";"Non";"Non"
2022;"21130";"8400528";"261";"l";"Non";"Non"
2022;"21130";"8400574";"535";"l";"Non";"Non"
2022;"21130";"8400600";"90";"l";"Non";"Non"
2022;"21130";"8600232";"50";"l";"Non";"Non"
2022;"21130";"8600243";"130";"l";"Non";"Non"
2022;"21130";"8700002";"190";"l";"Non";"Non"
2022;"21130";"8700462";"1615";"l";"Non";"Non"
2022;"21130";"8800108";"12";"l";"Non";"Non"
2022;"21130";"8800161";"195";"l";"Non";"Non"
2022;"21130";"8800199";"45";"l";"Non";"Non"
2022;"21130";"8800395";"155";"l";"Non";"Non"
2022;"21130";"8800603";"560";"l";"Non";"Non"
2022;"21130";"8800841";"4.0";"l";"Non";"Non"
2022;"21130";"8900564";"94";"l";"Non";"Non"
2022;"21130";"8900681";"260";"l";"Non";"Non"
2022;"21130";"9000184";"225";"l";"Non";"Non"
2022;"21130";"9000222";"490";"l";"Non";"Non"
2022;"21130";"9000259";"0.48";"kg";"Non";"Non"
2022;"21130";"9000490";"760";"l";"Non";"Non"
2022;"21130";"9000619";"160";"l";"Non";"Non"
2022;"21130";"9000833";"30";"l";"Non";"Non"
2022;"21130";"9100296";"240";"l";"Non";"Non"
2022;"21130";"9100645";"5";"l";"Non";"Non"
2022;"21130";"9200073";"0.1";"kg";"Non";"Non"
2022;"21130";"9200380";"10";"kg";"Non";"Non"
2022;"21130";"9200482";"9";"kg";"Non";"Non"
2022;"21130";"9400008";"1.31";"l";"Non";"Non"
2022;"21130";"9400052";"240";"l";"Non";"Non"
2022;"21130";"9400083";"20";"l";"Non";"Non"
2022;"21130";"9400085";"69";"l";"Non";"Non"
2022;"21130";"9500040";"65";"l";"Non";"Non"
2022;"21130";"9500147";"15.6";"kg";"Oui";"Non"
2022;"21130";"9500199";"1";"l";"Non";"Non"
2022;"21130";"9500568";"23";"kg";"Non";"Non"
2022;"21130";"9500628";"291";"kg";"Non";"Non"
2022;"21130";"9600093";"50";"l";"Non";"Non"
2022;"21130";"9600195";"8.61";"l";"Non";"Non"
2022;"21130";"9600199";"60";"kg";"Non";"Non"
2022;"21130";"9600229";"128.23";"l";"Non";"Non"
2022;"21130";"9600370";"65";"l";"Non";"Non"
2022;"21130";"9600390";"1800";"l";"Non";"Non"
2022;"21130";"9600548";"60";"l";"Non";"Non"
2022;"21130";"9700076";"2100";"kg";"Non";"Non"
2022;"21130";"9700332";"185";"l";"Non";"Non"
2022;"21130";"9700401";"20";"kg";"Non";"Non"
2022;"21130";"9800018";"440";"l";"Non";"Non"
2022;"21130";"9800100";"610";"l";"Non";"Non"
2022;"21130";"9800106";"5";"kg";"Non";"Non"
2022;"21130";"9800126";"15";"kg";"Non";"Non"
2022;"21130";"9800182";"520";"l";"Non";"Non"
2022;"21130";"9800259";"20";"l";"Non";"Non"
2022;"21130";"9800277";"20";"l";"Non";"Non"
2022;"21130";"9800336";"231.0";"l";"Non";"Non"
2022;"21130";"9800343";"20";"l";"Non";"Non"
2022;"21130";"9800344";"4.43";"l";"Non";"Non"
2022;"21130";"9800474";"45";"kg";"Non";"Non"
2022;"21130";"9900047";"5";"l";"Non";"Non"
2022;"21130";"9900115";"10";"l";"Non";"Non"
2022;"21130";"9900189";"204";"kg";"Non";"Non"
2022;"21130";"9900227";"140";"l";"Non";"Non"
2022;"21130";"9900251";"130";"l";"Non";"Non"
2022;"21130";"9900257";"137";"kg";"Oui";"Non"
2022;"21130";"9900446";"10.56";"kg";"Non";"Non"
2022;"21140";"1030003";"1.48";"l";"Oui";"Non"
2022;"21140";"2000122";"1.13";"l";"Non";"Non"
2022;"21140";"2000125";"35.7";"kg";"Oui";"Non"
2022;"21140";"2000202";"620";"l";"Non";"Non"
2022;"21140";"2000205";"1.8";"kg";"Non";"Non"
2022;"21140";"2000316";"37";"l";"Non";"Non"
2022;"21140";"2000324";"1";"l";"Non";"Non"
2022;"21140";"2010239";"5";"l";"Non";"Non"
2022;"21140";"2010280";"83";"l";"Non";"Non"
2022;"21140";"2010319";"15";"l";"Oui";"Non"
2022;"21140";"2010427";"25";"l";"Non";"Non"
2022;"21140";"2020099";"62.4";"l";"Non";"Non"
2022;"21140";"2020226";"70";"l";"Non";"Non"
2022;"21140";"2020474";"40";"l";"Non";"Non"
2022;"21140";"2030071";"1860";"kg";"Non";"Oui"
2022;"21140";"2030175";"1.28";"kg";"Oui";"Non"
2022;"21140";"2030323";"156.39";"l";"Non";"Non"
2022;"21140";"2030332";"5";"l";"Non";"Non"
2022;"21140";"2040146";"2.43";"l";"Non";"Non"
2022;"21140";"2050075";"42.5";"kg";"Non";"Non"
2022;"21140";"2060063";"0.5";"kg";"Non";"Non"
2022;"21140";"2060088";"155";"l";"Non";"Non"
2022;"21140";"2060116";"60";"l";"Non";"Non"
2022;"21140";"2060119";"0.2";"kg";"Non";"Non"
2022;"21140";"2060127";"0.34";"l";"Non";"Non"
2022;"21140";"2060131";"10";"l";"Non";"Non"
2022;"21140";"2060194";"480";"kg";"Non";"Non"
2022;"21140";"2070221";"30";"l";"Non";"Non"
2022;"21140";"2080105";"30";"l";"Non";"Non"
2022;"21140";"2080117";"0.15";"kg";"Non";"Non"
2022;"21140";"2080123";"3.2";"kg";"Non";"Non"
2022;"21140";"2080145";"363";"l";"Non";"Non"
2022;"21140";"2080147";"10";"l";"Non";"Non"
2022;"21140";"2090009";"150";"l";"Non";"Non"
2022;"21140";"2090016";"20";"l";"Non";"Non"
2022;"21140";"2090037";"5";"kg";"Non";"Non"
2022;"21140";"2090041";"24";"kg";"Non";"Non"
2022;"21140";"2090068";"30";"l";"Non";"Non"
2022;"21140";"2090093";"20";"l";"Non";"Non"
2022;"21140";"2090101";"25";"l";"Non";"Non"
2022;"21140";"2090111";"21";"l";"Non";"Non"
2022;"21140";"2090118";"920";"l";"Non";"Non"
2022;"21140";"2090132";"10";"l";"Non";"Non"
2022;"21140";"2090134";"20";"kg";"Non";"Non"
2022;"21140";"2090146";"41.5";"l";"Oui";"Non"
2022;"21140";"2090153";"14";"kg";"Non";"Non"
2022;"21140";"2090159";"0.35";"kg";"Non";"Non"
2022;"21140";"2090186";"100";"l";"Non";"Non"
2022;"21140";"2090199";"7";"l";"Oui";"Non"
2022;"21140";"2090200";"30.75";"l";"Oui";"Non"
2022;"21140";"2100026";"35";"l";"Non";"Non"
2022;"21140";"2100030";"160";"kg";"Non";"Non"
2022;"21140";"2100052";"210";"l";"Non";"Non"
2022;"21140";"2100056";"90";"l";"Non";"Non"
2022;"21140";"2100057";"40";"l";"Non";"Non"
2022;"21140";"2100069";"15.5";"kg";"Non";"Non"
2022;"21140";"2100108";"90";"l";"Non";"Non"
