"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"97118";"2090093";"5";"l";"Non";"Non"
2022;"97118";"2130067";"1";"l";"Non";"Non"
2022;"97118";"9000222";"10";"l";"Non";"Non"
2022;"97118";"9900227";"10";"l";"Non";"Non"
2022;"97122";"2170139";"72";"l";"Non";"Non"
2022;"97122";"8100472";"20";"l";"Non";"Non"
2022;"97123";"7900323";"10";"l";"Non";"Non"
2022;"97150";"2060050";"0.14";"l";"Non";"Non"
2022;"97150";"2090119";"3.66";"l";"Non";"Non"
2022;"97150";"2090132";"2.06";"l";"Non";"Non"
2022;"97150";"2110147";"0.74";"kg";"Non";"Non"
2022;"97150";"2130152";"0.12";"l";"Non";"Non"
2022;"97150";"2140270";"1.48";"l";"Non";"Non"
2022;"97150";"2150074";"1.46";"l";"Non";"Non"
2022;"97150";"2160963";"0.12";"l";"Non";"Non"
2022;"97150";"2170085";"2.92";"l";"Non";"Non"
2022;"97150";"2171119";"0.38";"kg";"Non";"Non"
2022;"97150";"2180404";"2.92";"l";"Non";"Non"
2022;"97150";"2190499";"17.58";"l";"Non";"Non"
2022;"97150";"8700107";"1.46";"kg";"Non";"Non"
2022;"97150";"9800421";"0.44";"l";"Non";"Non"
2022;"97160";"2010427";"150";"l";"Non";"Non"
2022;"97160";"2050046";"60";"kg";"Non";"Non"
2022;"97160";"2060085";"26";"l";"Non";"Non"
2022;"97160";"2080102";"40";"l";"Non";"Non"
2022;"97160";"2100122";"10.2";"kg";"Non";"Non"
2022;"97160";"2110012";"30";"l";"Non";"Non"
2022;"97160";"2130079";"30";"l";"Non";"Non"
2022;"97160";"2140147";"300";"l";"Non";"Non"
2022;"97160";"2140201";"70";"l";"Non";"Non"
2022;"97160";"2189996";"230";"l";"Non";"Non"
2022;"97160";"2190016";"200";"l";"Non";"Non"
2022;"97160";"2200274";"250";"kg";"Non";"Non"
2022;"97160";"9400083";"5";"l";"Non";"Non"
2022;"97160";"9800336";"70";"l";"Non";"Non"
2022;"97160";"9800474";"2610";"kg";"Non";"Non"
2022;"97190";"2110150";"0.25";"l";"Oui";"Non"
2022;"97190";"2170243";"0.8";"l";"Oui";"Non"
