"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"97410";"8900564";"4";"l";"Non";"Non"
2022;"97400";"2000125";"2.6";"kg";"Oui";"Non"
2022;"97400";"2010023";"2";"l";"Non";"Non"
2022;"97400";"2010282";"2";"l";"Non";"Non"
2022;"97400";"2060084";"9";"kg";"Non";"Non"
2022;"97400";"2060088";"5";"l";"Non";"Non"
2022;"97400";"2060098";"0.2";"l";"Non";"Non"
2022;"97400";"2080060";"2";"l";"Non";"Non"
2022;"97400";"2090199";"0.25";"l";"Oui";"Non"
2022;"97400";"2100026";"2";"l";"Non";"Non"
2022;"97400";"2100206";"15";"l";"Non";"Non"
2022;"97400";"2110086";"1";"l";"Non";"Non"
2022;"97400";"2110143";"3";"l";"Non";"Non"
2022;"97400";"2110150";"1.2";"l";"Oui";"Non"
2022;"97400";"2130153";"2.7";"l";"Oui";"Non"
2022;"97400";"2140085";"11";"l";"Non";"Non"
2022;"97400";"2140121";"17.83";"l";"Oui";"Non"
2022;"97400";"2150140";"10";"l";"Non";"Non"
2022;"97400";"2150417";"0.39";"l";"Oui";"Non"
2022;"97400";"2150790";"89.35";"kg";"Oui";"Non"
2022;"97400";"2190760";"2.9";"kg";"Oui";"Non"
2022;"97400";"2210895";"0.8";"l";"Oui";"Non"
2022;"97400";"7500716";"10";"kg";"Non";"Non"
2022;"97414";"2000125";"4.8";"kg";"Oui";"Non"
2022;"97414";"2000202";"5";"l";"Non";"Non"
2022;"97414";"2000517";"5";"l";"Non";"Non"
2022;"97414";"2010023";"5";"l";"Non";"Non"
2022;"97414";"2010282";"40";"l";"Non";"Non"
2022;"97414";"2050046";"0.5";"kg";"Non";"Non"
2022;"97414";"2060050";"2";"l";"Non";"Non"
2022;"97414";"2060084";"2";"kg";"Non";"Non"
2022;"97414";"2060085";"1";"l";"Non";"Non"
2022;"97414";"2060098";"14.8";"l";"Non";"Non"
2022;"97414";"2060113";"0.25";"l";"Non";"Non"
2022;"97414";"2060130";"2";"l";"Non";"Non"
2022;"97414";"2080060";"1";"l";"Non";"Non"
2022;"97414";"2080129";"1";"l";"Non";"Non"
2022;"97414";"2090127";"5";"l";"Non";"Non"
2022;"97414";"2090199";"0.5";"l";"Oui";"Non"
2022;"97414";"2100026";"17";"l";"Non";"Non"
2022;"97414";"2100122";"2.4";"kg";"Non";"Non"
2022;"97414";"2100206";"50";"l";"Non";"Non"
2022;"97414";"2100231";"3";"kg";"Non";"Non"
2022;"97414";"2110012";"11";"l";"Non";"Non"
2022;"97414";"2110073";"1";"l";"Non";"Non"
2022;"97414";"2110086";"3";"l";"Non";"Non"
2022;"97414";"2110101";"20";"l";"Non";"Non"
2022;"97414";"2110115";"27";"l";"Non";"Non"
2022;"97414";"2110143";"8";"l";"Non";"Non"
2022;"97414";"2110150";"0.4";"l";"Oui";"Non"
2022;"97414";"2110180";"0.1";"kg";"Oui";"Non"
2022;"97414";"2120048";"23";"l";"Non";"Non"
2022;"97414";"2130075";"25";"kg";"Non";"Non"
2022;"97414";"2130079";"0.5";"l";"Non";"Non"
2022;"97414";"2130251";"2";"l";"Non";"Non"
2022;"97414";"2140085";"36";"l";"Non";"Non"
2022;"97414";"2140121";"4.55";"l";"Oui";"Non"
2022;"97414";"2140165";"1";"kg";"Non";"Non"
2022;"97414";"2140201";"17";"l";"Non";"Non"
2022;"97414";"2150140";"480";"l";"Non";"Non"
2022;"97414";"2150417";"0.24";"l";"Oui";"Non"
2022;"97414";"2150790";"50.7";"kg";"Oui";"Non"
2022;"97414";"2150919";"45";"l";"Non";"Non"
2022;"97414";"2160527";"1";"l";"Non";"Non"
2022;"97414";"2160842";"1";"kg";"Non";"Non"
2022;"97400";"9000361";"1.6";"kg";"Non";"Non"
2022;"97400";"9100296";"10";"l";"Non";"Non"
2022;"97400";"9700332";"1";"l";"Non";"Non"
2022;"97400";"9800219";"20";"l";"Non";"Non"
2022;"97400";"9800336";"5";"l";"Non";"Non"
2022;"97400";"9900227";"10";"l";"Non";"Non"
2022;"97400";"9900257";"4.8";"kg";"Oui";"Non"
2022;"97410";"2000018";"20";"kg";"Non";"Non"
2022;"97410";"2000044";"52";"l";"Non";"Non"
2022;"97410";"2000125";"5.5";"kg";"Oui";"Non"
2022;"97410";"2000202";"230";"l";"Non";"Non"
2022;"97410";"2000316";"5";"l";"Non";"Non"
2022;"97410";"2000327";"9";"l";"Non";"Non"
2022;"97410";"2000517";"64";"l";"Non";"Non"
2022;"97410";"2010023";"125";"l";"Non";"Non"
2022;"97410";"2010282";"844";"l";"Non";"Non"
2022;"97410";"2030255";"5";"l";"Non";"Non"
2022;"97410";"2030404";"90";"l";"Non";"Non"
2022;"97410";"2060050";"4";"l";"Non";"Non"
2022;"97410";"2060084";"38";"kg";"Non";"Non"
2022;"97410";"2060085";"7";"l";"Non";"Non"
2022;"97410";"2060088";"1160";"l";"Non";"Non"
2022;"97410";"2060098";"33.0";"l";"Non";"Non"
2022;"97410";"2060113";"4.00";"l";"Non";"Non"
2022;"97410";"2060130";"44";"l";"Non";"Non"
2022;"97410";"2080060";"7";"l";"Non";"Non"
2022;"97410";"2080098";"2";"l";"Non";"Non"
2022;"97410";"2080114";"30";"l";"Non";"Non"
2022;"97410";"2080129";"3";"l";"Non";"Non"
2022;"97410";"2080136";"6";"kg";"Non";"Non"
2022;"97410";"2090063";"15.4";"kg";"Non";"Non"
2022;"97410";"2090093";"40";"l";"Non";"Non"
2022;"97410";"2090127";"70";"l";"Non";"Non"
2022;"97410";"2090136";"10";"l";"Non";"Non"
2022;"97410";"2090199";"1";"l";"Oui";"Non"
2022;"97410";"2100026";"46";"l";"Non";"Non"
2022;"97410";"2100028";"150";"l";"Non";"Non"
2022;"97410";"2100111";"5";"l";"Non";"Non"
2022;"97410";"2100122";"6.9";"kg";"Non";"Non"
2022;"97410";"2100206";"65";"l";"Non";"Non"
2022;"97410";"2100231";"18";"kg";"Non";"Non"
2022;"97410";"2110012";"23";"l";"Non";"Non"
2022;"97410";"2110073";"1.25";"l";"Non";"Non"
2022;"97410";"2110086";"28";"l";"Non";"Non"
2022;"97410";"2110101";"42";"l";"Non";"Non"
2022;"97410";"2110111";"160";"l";"Non";"Non"
2022;"97410";"2110115";"293";"l";"Non";"Non"
2022;"97410";"2110143";"42";"l";"Non";"Non"
2022;"97410";"2110150";"0.4";"l";"Oui";"Non"
2022;"97410";"2120048";"496";"l";"Non";"Non"
2022;"97410";"2120067";"4";"kg";"Non";"Non"
2022;"97410";"2120143";"160";"l";"Non";"Non"
2022;"97410";"2120209";"45";"kg";"Non";"Non"
2022;"97410";"2130059";"6";"l";"Non";"Non"
2022;"97410";"2130075";"130";"kg";"Non";"Non"
2022;"97410";"2130115";"30.98";"kg";"Non";"Non"
2022;"97410";"2130153";"0.9";"l";"Oui";"Non"
2022;"97410";"2130212";"5";"kg";"Non";"Non"
2022;"97410";"2130244";"15";"l";"Non";"Non"
2022;"97410";"2130251";"1";"l";"Non";"Non"
2022;"97410";"2130253";"135";"l";"Non";"Non"
2022;"97410";"2140085";"54";"l";"Non";"Non"
2022;"97410";"2140121";"5";"l";"Oui";"Non"
2022;"97410";"2140165";"52";"kg";"Non";"Non"
2022;"97410";"2140201";"26";"l";"Non";"Non"
2022;"97410";"2150140";"1855";"l";"Non";"Non"
2022;"97410";"2150417";"0.24";"l";"Oui";"Non"
2022;"97410";"2150790";"51.65";"kg";"Oui";"Non"
2022;"97410";"2150919";"46";"l";"Non";"Non"
2022;"97410";"2160226";"10";"kg";"Non";"Non"
2022;"97410";"2160272";"0.5";"l";"Non";"Non"
2022;"97410";"2160842";"8";"kg";"Non";"Non"
2022;"97410";"2180735";"20";"l";"Non";"Non"
2022;"97410";"2190016";"1";"l";"Non";"Non"
2022;"97410";"2190148";"3";"l";"Non";"Non"
2022;"97410";"2210895";"0.5";"l";"Oui";"Non"
2022;"97410";"7500716";"240";"kg";"Non";"Non"
2022;"97410";"7600008";"35";"l";"Non";"Non"
2022;"97410";"7700216";"10";"l";"Non";"Non"
2022;"97410";"8300025";"7";"l";"Non";"Non"
2022;"97410";"8400096";"29";"l";"Non";"Non"
2022;"97410";"8400528";"3";"l";"Non";"Non"
2022;"97410";"8400600";"141";"l";"Non";"Non"
2022;"97410";"8500174";"106.5";"l";"Non";"Non"
2022;"97410";"8600243";"20";"l";"Non";"Non"
2022;"97410";"8700462";"10";"l";"Non";"Non"
2022;"97410";"8800395";"5";"l";"Non";"Non"
2022;"97410";"8800841";"12.5";"l";"Non";"Non"
2022;"97418";"2130153";"0.9";"l";"Oui";"Non"
2022;"97418";"2130244";"110";"l";"Non";"Non"
2022;"97418";"2130251";"5";"l";"Non";"Non"
2022;"97418";"2130253";"180";"l";"Non";"Non"
2022;"97418";"2140085";"122";"l";"Non";"Non"
2022;"97418";"2140121";"0.91";"l";"Oui";"Non"
2022;"97418";"2140147";"2";"l";"Non";"Non"
2022;"97418";"2140165";"86";"kg";"Non";"Non"
2022;"97418";"2140201";"51";"l";"Non";"Non"
2022;"97418";"2150009";"15";"kg";"Non";"Non"
2022;"97418";"2150028";"5";"l";"Non";"Non"
2022;"97418";"2150140";"2415";"l";"Non";"Non"
2022;"97418";"2150277";"1";"l";"Non";"Non"
2022;"97418";"2150417";"0.36";"l";"Oui";"Non"
2022;"97418";"2150790";"28.5";"kg";"Oui";"Non"
2022;"97418";"2150919";"43";"l";"Non";"Non"
2022;"97418";"2160226";"10";"kg";"Non";"Non"
2022;"97418";"2160272";"0.25";"l";"Non";"Non"
2022;"97418";"2160494";"7";"kg";"Non";"Non"
2022;"97418";"2160527";"6";"l";"Non";"Non"
2022;"97418";"2160608";"1";"l";"Non";"Non"
2022;"97418";"2160842";"11";"kg";"Non";"Non"
2022;"97418";"2160962";"1";"l";"Non";"Non"
2022;"97418";"2180670";"20";"kg";"Non";"Non"
2022;"97418";"2180735";"15";"l";"Non";"Non"
2022;"97418";"2190016";"11";"l";"Non";"Non"
2022;"97418";"2190173";"54";"kg";"Non";"Non"
2022;"97418";"2210895";"0.25";"l";"Oui";"Non"
2022;"97418";"7500716";"260";"kg";"Non";"Non"
2022;"97418";"7600008";"3";"l";"Non";"Non"
2022;"97418";"7700216";"10";"l";"Non";"Non"
2022;"97418";"8300025";"14";"l";"Non";"Non"
2022;"97418";"8400096";"7";"l";"Non";"Non"
2022;"97418";"8400528";"1";"l";"Non";"Non"
2022;"97418";"8400600";"10";"l";"Non";"Non"
2022;"97418";"8500174";"66.75";"l";"Non";"Non"
2022;"97418";"8600243";"220";"l";"Non";"Non"
2022;"97418";"8700462";"60";"l";"Non";"Non"
2022;"97418";"8800029";"5";"l";"Non";"Non"
2022;"97418";"8800395";"80";"l";"Non";"Non"
2022;"97418";"8800841";"28";"l";"Non";"Non"
2022;"97418";"8900564";"6";"l";"Non";"Non"
2022;"97418";"8900681";"20";"l";"Non";"Non"
2022;"97418";"9000163";"0.1";"kg";"Non";"Non"
2022;"97418";"9100296";"160";"l";"Non";"Non"
2022;"97418";"9200073";"0.4";"kg";"Non";"Non"
2022;"97418";"9200159";"56";"l";"Non";"Non"
2022;"97418";"9200215";"800.0";"kg";"Non";"Non"
2022;"97418";"9300504";"10";"l";"Non";"Non"
2022;"97418";"9400463";"80";"l";"Non";"Non"
2022;"97418";"9500199";"2";"l";"Non";"Non"
2022;"97418";"9500432";"18";"l";"Non";"Non"
2022;"97418";"9500568";"46";"kg";"Non";"Non"
2022;"97418";"9600025";"4";"kg";"Non";"Non"
2022;"97418";"9600199";"40";"kg";"Non";"Non"
2022;"97418";"9700332";"117";"l";"Non";"Non"
2022;"97418";"9800144";"17.30";"kg";"Non";"Non"
2022;"97418";"9800219";"10";"l";"Non";"Non"
2022;"97418";"9800244";"1.5";"kg";"Non";"Non"
2022;"97418";"9800336";"171.50";"l";"Non";"Non"
2022;"97418";"9800474";"105";"kg";"Non";"Non"
2022;"97418";"9800484";"16";"l";"Non";"Non"
2022;"97418";"9900047";"15";"l";"Non";"Non"
2022;"97418";"9900081";"19.2";"kg";"Non";"Non"
2022;"97418";"9900115";"6";"l";"Non";"Non"
2022;"97418";"9900227";"165";"l";"Non";"Non"
2022;"97418";"9900257";"2.4";"kg";"Oui";"Non"
2022;"97419";"2000044";"5";"l";"Non";"Non"
2022;"97419";"2000125";"1.4";"kg";"Oui";"Non"
2022;"97419";"2010023";"7";"l";"Non";"Non"
2022;"97419";"2010282";"2";"l";"Non";"Non"
2022;"97419";"2050046";"0.5";"kg";"Non";"Non"
2022;"97419";"2060088";"40";"l";"Non";"Non"
2022;"97419";"2080060";"1";"l";"Non";"Non"
2022;"97419";"2110115";"31";"l";"Non";"Non"
2022;"97419";"2110143";"9";"l";"Non";"Non"
2022;"97419";"2110150";"0.4";"l";"Oui";"Non"
2022;"97419";"2120048";"5";"l";"Non";"Non"
2022;"97419";"2140085";"4";"l";"Non";"Non"
2022;"97419";"2140121";"6.37";"l";"Oui";"Non"
2022;"97419";"2140165";"3";"kg";"Non";"Non"
2022;"97419";"2150140";"65";"l";"Non";"Non"
2022;"97419";"2150417";"0.15";"l";"Oui";"Non"
2022;"97419";"2150790";"19.35";"kg";"Oui";"Non"
2022;"97419";"2190760";"0.6";"kg";"Oui";"Non"
2022;"97419";"2210895";"0.75";"l";"Oui";"Non"
2022;"97419";"8400096";"4";"l";"Non";"Non"
2022;"97419";"8400600";"10";"l";"Non";"Non"
2022;"97419";"9000361";"0.8";"kg";"Non";"Non"
2022;"97419";"9100296";"30";"l";"Non";"Non"
2022;"97419";"9200313";"1";"l";"Non";"Non"
2022;"97419";"9700332";"2";"l";"Non";"Non"
2022;"97419";"9800336";"2";"l";"Non";"Non"
2022;"97419";"9800484";"1";"l";"Non";"Non"
2022;"97420";"2000327";"1";"l";"Non";"Non"
2022;"97420";"2010282";"3";"l";"Non";"Non"
2022;"97420";"2060088";"60";"l";"Non";"Non"
2022;"97420";"2060098";"0.5";"l";"Non";"Non"
2022;"97420";"2060130";"1";"l";"Non";"Non"
2022;"97420";"2100026";"3";"l";"Non";"Non"
2022;"97420";"2140121";"0.91";"l";"Oui";"Non"
2022;"97420";"2150140";"10";"l";"Non";"Non"
2022;"97420";"2150417";"0.03";"l";"Oui";"Non"
2022;"97420";"2150790";"7.8";"kg";"Oui";"Non"
2022;"97420";"2190760";"0.6";"kg";"Oui";"Non"
2022;"97420";"2210895";"0.1";"l";"Oui";"Non"
2022;"97420";"8800395";"5";"l";"Non";"Non"
2022;"97420";"8900681";"10";"l";"Non";"Non"
2022;"97420";"9100296";"65";"l";"Non";"Non"
2022;"97420";"9800336";"2";"l";"Non";"Non"
2022;"97420";"9900227";"25";"l";"Non";"Non"
2022;"97421";"2000044";"54";"l";"Non";"Non"
2022;"97421";"2000125";"8.3";"kg";"Oui";"Non"
2022;"97421";"2000202";"390";"l";"Non";"Non"
2022;"97421";"2000517";"3";"l";"Non";"Non"
2022;"97421";"2010023";"10";"l";"Non";"Non"
2022;"97421";"2010282";"9";"l";"Non";"Non"
2022;"97421";"2030404";"40";"l";"Non";"Non"
2022;"97421";"2050046";"1";"kg";"Non";"Non"
2022;"97421";"2060050";"1";"l";"Non";"Non"
2022;"97421";"2060084";"12";"kg";"Non";"Non"
2022;"97421";"2060085";"1";"l";"Non";"Non"
2022;"97421";"2060088";"95";"l";"Non";"Non"
2022;"97421";"2060098";"5.0";"l";"Non";"Non"
2022;"97421";"2080060";"4";"l";"Non";"Non"
2022;"97421";"2080098";"2";"l";"Non";"Non"
2022;"97421";"2080102";"15";"l";"Non";"Non"
2022;"97421";"2080129";"4";"l";"Non";"Non"
2022;"97421";"2080136";"1";"kg";"Non";"Non"
2022;"97421";"2090127";"20";"l";"Non";"Non"
2022;"97421";"2090136";"10";"l";"Non";"Non"
2022;"97421";"2090199";"1";"l";"Oui";"Non"
2022;"97421";"2100026";"21";"l";"Non";"Non"
2022;"97421";"2100028";"15";"l";"Non";"Non"
2022;"97421";"2100122";"0.6";"kg";"Non";"Non"
2022;"97421";"2100206";"35";"l";"Non";"Non"
2022;"97421";"2100231";"7";"kg";"Non";"Non"
2022;"97421";"2110012";"5";"l";"Non";"Non"
2022;"97421";"2110073";"0.5";"l";"Non";"Non"
2022;"97421";"2110086";"11";"l";"Non";"Non"
2022;"97421";"2110101";"50";"l";"Non";"Non"
2022;"97421";"2110115";"35";"l";"Non";"Non"
2022;"97421";"2110143";"25";"l";"Non";"Non"
2022;"97421";"2110150";"0.4";"l";"Oui";"Non"
2022;"97421";"2110180";"0.1";"kg";"Oui";"Non"
2022;"97421";"2120048";"73";"l";"Non";"Non"
2022;"97421";"2120143";"120";"l";"Non";"Non"
2022;"97421";"2130059";"1";"l";"Non";"Non"
2022;"97421";"2130075";"105";"kg";"Non";"Non"
2022;"97421";"2130152";"2";"l";"Non";"Non"
2022;"97421";"2130153";"2.7";"l";"Oui";"Non"
2022;"97421";"2130244";"15";"l";"Non";"Non"
2022;"97421";"2130251";"1";"l";"Non";"Non"
2022;"97421";"2130253";"75";"l";"Non";"Non"
2022;"97421";"2140085";"18";"l";"Non";"Non"
2022;"97421";"2140121";"30.7";"l";"Oui";"Non"
2022;"97421";"2140147";"1";"l";"Non";"Non"
2022;"97421";"2140165";"8";"kg";"Non";"Non"
2022;"97421";"2140201";"5";"l";"Non";"Non"
2022;"97421";"2150140";"515";"l";"Non";"Non"
2022;"97421";"2150417";"0.45";"l";"Oui";"Non"
2022;"97421";"2150790";"139.05";"kg";"Oui";"Non"
2022;"97421";"2150919";"2";"l";"Non";"Non"
2022;"97421";"2160115";"6";"l";"Oui";"Non"
2022;"97421";"2160226";"10";"kg";"Non";"Non"
2022;"97421";"2160272";"0.5";"l";"Non";"Non"
2022;"97421";"2160494";"2";"kg";"Non";"Non"
2022;"97421";"2160842";"5";"kg";"Non";"Non"
2022;"97421";"2190760";"4.5";"kg";"Oui";"Non"
2022;"97421";"2200059";"0.2";"l";"Oui";"Non"
2022;"97421";"2210895";"0.8";"l";"Oui";"Non"
2022;"97421";"7500716";"55";"kg";"Non";"Non"
2022;"97421";"8300025";"3";"l";"Non";"Non"
2022;"97421";"8400096";"12";"l";"Non";"Non"
2022;"97421";"8400600";"56";"l";"Non";"Non"
2022;"97421";"8500174";"29.25";"l";"Non";"Non"
2022;"97424";"2210895";"0.1";"l";"Oui";"Non"
2022;"97424";"7500716";"110";"kg";"Non";"Non"
2022;"97424";"8300025";"15";"l";"Non";"Non"
2022;"97424";"8400096";"12";"l";"Non";"Non"
2022;"97424";"8400528";"1";"l";"Non";"Non"
2022;"97424";"8400600";"86";"l";"Non";"Non"
2022;"97424";"8500174";"80";"l";"Non";"Non"
2022;"97424";"8800395";"20";"l";"Non";"Non"
2022;"97424";"8800841";"43.5";"l";"Non";"Non"
2022;"97424";"8900564";"2";"l";"Non";"Non"
