"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"97211";"2090199";"0.25";"l";"Oui";"Non"
2022;"97211";"8700111";"0.36";"kg";"Non";"Non"
2022;"97213";"2140121";"2";"l";"Oui";"Non"
2022;"97226";"2150140";"400";"l";"Non";"Non"
2022;"97227";"2010130";"25";"kg";"Non";"Non"
2022;"97227";"2010513";"10";"kg";"Non";"Non"
2022;"97227";"2050046";"20";"kg";"Non";"Non"
2022;"97227";"2060098";"11";"l";"Non";"Non"
2022;"97227";"2080102";"170";"l";"Non";"Non"
2022;"97227";"2100122";"3";"kg";"Non";"Non"
2022;"97227";"2110012";"105";"l";"Non";"Non"
2022;"97227";"2120092";"150";"l";"Non";"Non"
2022;"97227";"2130108";"0.5";"kg";"Non";"Non"
2022;"97227";"2130277";"460";"kg";"Non";"Non"
2022;"97227";"2140238";"6";"l";"Non";"Non"
2022;"97227";"2180631";"80";"l";"Non";"Non"
2022;"97227";"2189996";"200";"l";"Non";"Non"
2022;"97227";"2190010";"40";"kg";"Non";"Non"
2022;"97227";"2200274";"150";"kg";"Non";"Non"
2022;"97227";"9800096";"320";"l";"Non";"Non"
2022;"97227";"9800245";"820";"kg";"Non";"Non"
2022;"97227";"9800336";"20";"l";"Non";"Non"
2022;"97227";"9800474";"1515";"kg";"Non";"Non"
2022;"97229";"2060088";"5";"l";"Non";"Non"
2022;"97232";"2180124";"0.09";"l";"Non";"Non"
