"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"44430";"2150870";"2";"l";"Non";"Non"
2022;"44000";"2010513";"1.5";"kg";"Non";"Non"
2022;"44000";"2080105";"5";"l";"Non";"Non"
2022;"44000";"2090114";"324";"kg";"Non";"Non"
2022;"44000";"2090146";"1";"l";"Oui";"Non"
2022;"44000";"2090168";"20";"kg";"Non";"Non"
2022;"44000";"2090169";"0.5";"kg";"Non";"Non"
2022;"44000";"2110056";"10";"l";"Non";"Non"
2022;"44000";"2110102";"1.03";"l";"Non";"Non"
2022;"44000";"2120048";"3";"l";"Non";"Non"
2022;"44000";"2120051";"3000";"l";"Non";"Non"
2022;"44000";"2140121";"20";"l";"Oui";"Non"
2022;"44000";"2140252";"3.7";"kg";"Oui";"Non"
2022;"44000";"2150757";"35";"l";"Non";"Non"
2022;"44000";"2150790";"0.45";"kg";"Oui";"Non"
2022;"44000";"2170243";"1";"l";"Oui";"Non"
2022;"44000";"2180124";"0.11";"l";"Non";"Non"
2022;"44000";"2190088";"0.12";"l";"Oui";"Non"
2022;"44000";"2190811";"0.96";"l";"Oui";"Non"
2022;"44000";"2200059";"0.2";"l";"Oui";"Non"
2022;"44000";"9200532";"1";"l";"Non";"Non"
2022;"44000";"9500595";"2";"l";"Non";"Non"
2022;"44000";"9900257";"2";"kg";"Oui";"Non"
2022;"44100";"2060045";"1";"kg";"Non";"Non"
2022;"44100";"2060050";"0.48";"l";"Non";"Non"
2022;"44100";"2060131";"5";"l";"Non";"Non"
2022;"44100";"2060172";"0.68";"l";"Non";"Non"
2022;"44100";"2090001";"0.68";"l";"Non";"Non"
2022;"44100";"2090119";"18.4";"l";"Non";"Non"
2022;"44100";"2100181";"8.19";"kg";"Non";"Non"
2022;"44100";"2130049";"2";"l";"Non";"Non"
2022;"44100";"2140184";"2.76";"kg";"Non";"Non"
2022;"44100";"2170085";"11.4";"l";"Non";"Non"
2022;"44100";"7700703";"13000";"l";"Non";"Non"
2022;"44100";"9200436";"9.2";"l";"Non";"Non"
2022;"44100";"9400485";"6.8";"l";"Non";"Non"
2022;"44110";"1030003";"0.72";"l";"Oui";"Non"
2022;"44110";"2000003";"15";"l";"Non";"Non"
2022;"44110";"2000044";"66";"l";"Non";"Non"
2022;"44110";"2000122";"0.38";"l";"Non";"Non"
2022;"44110";"2000125";"11.7";"kg";"Oui";"Non"
2022;"44110";"2000201";"29.89";"l";"Non";"Non"
2022;"44110";"2000202";"5";"l";"Non";"Non"
2022;"44110";"2000299";"5";"l";"Non";"Non"
2022;"44110";"2000301";"340";"l";"Non";"Non"
2022;"44110";"2000316";"46";"l";"Non";"Non"
2022;"44110";"2000324";"16";"l";"Non";"Non"
2022;"44110";"2000369";"2.8";"kg";"Non";"Non"
