"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"04000";"2000018";"60";"kg";"Non";"Non"
2022;"04000";"2010023";"16";"l";"Non";"Non"
2022;"04000";"2010513";"0.5";"kg";"Non";"Non"
2022;"04000";"2040146";"8.69";"l";"Non";"Non"
2022;"04000";"2060045";"8";"kg";"Non";"Non"
2022;"04000";"2060098";"0.6";"l";"Non";"Non"
2022;"04000";"2060127";"0.03";"l";"Non";"Non"
2022;"04000";"2080105";"5";"l";"Non";"Non"
2022;"04000";"2090146";"2";"l";"Oui";"Non"
2022;"04000";"2100014";"1.2";"kg";"Non";"Non"
2022;"04000";"2100038";"400";"kg";"Non";"Non"
2022;"04000";"2110018";"0.05";"l";"Non";"Non"
2022;"04000";"2110102";"22.98";"l";"Non";"Non"
2022;"04000";"2110143";"10";"l";"Non";"Non"
2022;"04000";"2110150";"1.2";"l";"Oui";"Non"
2022;"04000";"2110154";"54";"l";"Non";"Non"
2022;"04000";"2120048";"1";"l";"Non";"Non"
2022;"04000";"2120143";"160";"l";"Non";"Non"
2022;"04000";"2130140";"30";"l";"Non";"Non"
2022;"04000";"2140168";"2.26";"l";"Non";"Non"
2022;"04000";"2140193";"1";"l";"Oui";"Non"
2022;"04000";"2150140";"60";"l";"Non";"Non"
2022;"04000";"2150417";"1.24";"l";"Oui";"Non"
2022;"04000";"2160226";"100";"kg";"Non";"Non"
2022;"04000";"2160527";"10";"l";"Non";"Non"
2022;"04000";"2180039";"20";"l";"Non";"Non"
2022;"04000";"2180123";"6";"l";"Non";"Non"
2022;"04000";"2180334";"3";"l";"Non";"Non"
2022;"04000";"2190811";"11";"l";"Oui";"Non"
2022;"04000";"2200059";"3.2";"l";"Oui";"Non"
2022;"04000";"2210138";"40";"l";"Non";"Non"
2022;"04000";"2210443";"5";"l";"Non";"Non"
2022;"04000";"6400401";"8";"kg";"Non";"Non"
2022;"04000";"7500716";"20";"kg";"Non";"Non"
2022;"04000";"8400574";"120";"l";"Non";"Non"
2022;"04000";"8600243";"50";"l";"Non";"Non"
2022;"04000";"8700002";"230";"l";"Non";"Non"
2022;"04000";"9200482";"3";"kg";"Non";"Non"
2022;"04000";"9500136";"0.2";"kg";"Non";"Non"
2022;"04000";"9500199";"20";"l";"Non";"Non"
2022;"04000";"9600025";"6";"kg";"Non";"Non"
2022;"04000";"9800096";"20";"l";"Non";"Non"
2022;"04000";"9800100";"100";"l";"Non";"Non"
2022;"04000";"9800144";"1";"kg";"Non";"Non"
2022;"04000";"9800336";"10";"l";"Non";"Non"
2022;"04000";"9800481";"14";"l";"Non";"Non"
2022;"04000";"9900257";"126";"kg";"Oui";"Non"
2022;"04100";"2000202";"20";"l";"Non";"Non"
2022;"04100";"2000299";"2";"l";"Non";"Non"
2022;"04100";"2000316";"5";"l";"Non";"Non"
2022;"04100";"2000327";"85";"l";"Non";"Non"
2022;"04100";"2000517";"20";"l";"Non";"Non"
2022;"04100";"2000536";"5.72";"kg";"Non";"Non"
2022;"04100";"2010023";"75";"l";"Non";"Non"
2022;"04100";"2010130";"8";"kg";"Non";"Non"
2022;"04100";"2010513";"23.0";"kg";"Non";"Non"
2022;"04100";"2010640";"110";"kg";"Non";"Non"
2022;"04100";"2030404";"10";"l";"Non";"Non"
2022;"04100";"2040146";"7.04";"l";"Non";"Non"
2022;"04100";"2050046";"19";"kg";"Non";"Non"
2022;"04100";"2060050";"15";"l";"Non";"Non"
2022;"04100";"2060084";"10";"kg";"Non";"Non"
2022;"04100";"2060098";"2.6";"l";"Non";"Non"
2022;"04100";"2060113";"2";"l";"Non";"Non"
2022;"04100";"2060130";"4";"l";"Non";"Non"
2022;"04100";"2060134";"63";"kg";"Non";"Non"
2022;"04100";"2070107";"18";"l";"Non";"Non"
2022;"04100";"2070133";"20";"l";"Non";"Non"
2022;"04100";"2080060";"1";"l";"Non";"Non"
2022;"04100";"2080070";"55";"kg";"Non";"Non"
2022;"04100";"2080098";"5";"l";"Non";"Non"
2022;"04100";"2080102";"5";"l";"Non";"Non"
2022;"04100";"2080105";"10";"l";"Non";"Non"
2022;"04100";"2090019";"115";"l";"Non";"Non"
2022;"04100";"2090050";"84";"kg";"Non";"Non"
2022;"04100";"2090052";"0.18";"kg";"Non";"Non"
2022;"04100";"2090093";"40";"l";"Non";"Non"
2022;"04100";"2090127";"15";"l";"Non";"Non"
2022;"04100";"2090136";"10";"l";"Non";"Non"
2022;"04100";"2090146";"4.8";"l";"Oui";"Non"
2022;"04100";"2090188";"80";"l";"Non";"Non"
2022;"04100";"2100014";"11.3";"kg";"Non";"Non"
2022;"04100";"2100038";"2300";"kg";"Non";"Non"
2022;"04100";"2100041";"20";"l";"Non";"Non"
2022;"04100";"2100108";"10";"l";"Non";"Non"
2022;"04100";"2100112";"5";"l";"Non";"Non"
2022;"04100";"2100121";"3.4";"l";"Non";"Non"
2022;"04100";"2100138";"5";"l";"Non";"Non"
2022;"04100";"2100181";"216";"kg";"Non";"Non"
2022;"04100";"2100194";"20";"l";"Non";"Non"
2022;"04100";"2100231";"434";"kg";"Non";"Non"
2022;"04100";"2110006";"420";"kg";"Non";"Non"
2022;"04100";"2110012";"2";"l";"Non";"Non"
2022;"04100";"2110018";"1.2";"l";"Non";"Non"
2022;"04100";"2110059";"10";"kg";"Non";"Non"
2022;"04100";"2110086";"247";"l";"Non";"Non"
2022;"04100";"2110101";"1";"l";"Non";"Non"
2022;"04100";"2110102";"32.88";"l";"Non";"Non"
2022;"04100";"2110141";"25";"l";"Non";"Non"
2022;"04100";"2110143";"16";"l";"Non";"Non"
2022;"04100";"2110147";"7";"kg";"Non";"Non"
2022;"04100";"2110149";"22.4";"l";"Oui";"Non"
2022;"04100";"2110150";"7.2";"l";"Oui";"Non"
2022;"04100";"2110179";"24.17";"kg";"Non";"Non"
2022;"04100";"2110180";"0.4";"kg";"Oui";"Non"
2022;"04100";"2120081";"83";"l";"Non";"Non"
2022;"04100";"2120087";"35";"kg";"Non";"Non"
2022;"04100";"2120130";"0.84";"kg";"Non";"Non"
2022;"04100";"2120143";"20";"l";"Non";"Non"
2022;"04100";"2120177";"2";"kg";"Non";"Non"
2022;"04100";"2130067";"101";"l";"Non";"Non"
2022;"04100";"2130079";"1";"l";"Non";"Non"
2022;"04100";"2130083";"9";"l";"Non";"Non"
2022;"04100";"2130092";"1";"l";"Non";"Non"
2022;"04100";"2130152";"13";"l";"Non";"Non"
