"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"01140";"2170216";"florasulame";"145701-23-1";"0.14";"Env A";"";"Non"
2022;"01140";"2170216";"iodosulfuron-methyl-sodium";"144550-36-7";"0.35";"Env A";"";"Non"
2022;"01140";"2170230";"azoxystrobine";"131860-33-8";"0.00255";"Santé A";"";"Non"
2022;"01140";"2170230";"fludioxonil";"131341-86-1";"0.006375";"Env A";"";"Non"
2022;"01140";"2170230";"metalaxyl-m";"70630-17-0";"0.00493";"Autre";"";"Non"
2022;"01140";"2170230";"thiabendazole";"148-79-8";"0.051";"Env A";"";"Non"
2022;"01140";"2170243";"acide pelargonique";"112-05-0";"9.975";"Autre";"";"Non"
2022;"01140";"2170381";"mesotrione";"104206-82-8";"18.20";"CMR";"";"Non"
2022;"01140";"2170381";"terbuthylazine";"5915-41-3";"85.80";"Env A";"";"Non"
2022;"01140";"2170421";"mesotrione";"104206-82-8";"1";"CMR";"";"Non"
2022;"01140";"2170425";"mesotrione";"104206-82-8";"5";"CMR";"";"Non"
2022;"01140";"2170428";"flazasulfuron";"104040-78-0";"0.025";"Env A";"";"Non"
2022;"01140";"2170429";"fenpropidine";"67306-00-7";"2.25";"Env A";"";"Non"
2022;"01140";"2170429";"prochloraze";"67747-09-5";"3";"Env A";"";"Non"
2022;"01140";"2170429";"tebuconazole";"107534-96-3";"1.5";"CMR";"";"Non"
2022;"01140";"2170691";"diflufenicanil";"83164-33-4";"0.088125";"Env B";"";"Non"
2022;"01140";"2170691";"metribuzine";"21087-64-9";"0.3525";"Env A";"";"Non"
2022;"01140";"2170752";"sedaxane";"874967-67-6";"0.160";"CMR";"";"Non"
2022;"01140";"2170977";"huile de colza";"8002-13-9";"0.016492";"Autre";"";"Non"
2022;"01140";"2170978";"huile de colza";"8002-13-9";"1.832199";"Autre";"";"Non"
2022;"01140";"2170979";"cloquintocet-mexyl";"99607-70-2";"2.4072";"Autre";"";"Non"
2022;"01140";"2170979";"florasulame";"145701-23-1";"0.4828";"Env A";"";"Non"
2022;"01140";"2170979";"pyroxsulame";"422556-08-9";"2.4072";"Env A";"";"Non"
2022;"01140";"2170992";"isoxadifen-ethyl";"163520-33-0";"0.804";"Env A";"";"Non"
2022;"01140";"2170992";"tembotrione";"335104-84-2";"2.07";"CMR";"";"Non"
2022;"01140";"2170992";"thiencarbazone-methyl";"317815-83-1";"0.408";"Env A";"";"Non"
2022;"01140";"2171054";"diflufenicanil";"83164-33-4";"7";"Env B";"";"Non"
2022;"01140";"2171054";"flufenacet";"142459-58-3";"14";"Env A";"";"Non"
2022;"01140";"2171067";"bicarbonate de potassium";"298-14-6";"0.02142";"Autre";"";"Non"
2022;"01140";"2171193";"mesotrione";"104206-82-8";"3.85";"CMR";"";"Non"
2022;"01140";"2171193";"terbuthylazine";"5915-41-3";"18.15";"Env A";"";"Non"
2022;"01140";"2171253";"bacillus amyloliquefaciens souche mbi 600";"NC";"";"Autre";"";"Non"
2022;"01140";"2179999";"iodosulfuron-methyl-sodium";"144550-36-7";"0.225";"Env A";"";"Non"
2022;"01140";"2179999";"mesosulfuron-methyl";"208465-21-8";"0.225";"Env A";"";"Non"
2022;"01140";"2180009";"dicamba";"1918-00-9";"3";"Env B";"";"Non"
2022;"01140";"2180009";"tritosulfuron";"142469-14-5";"1.5";"Env A";"";"Non"
2022;"01140";"2180088";"s-metolachlore";"87392-12-9";"28.8";"Env A";"";"Non"
2022;"01140";"2180124";"metalaxyl";"57837-19-1";"1.0192";"Env B";"";"Non"
2022;"01140";"2180124";"prothioconazole";"178928-70-6";"5.096";"Env A";"";"Non"
2022;"01140";"2180233";"dicamba";"1918-00-9";"36";"Env B";"";"Non"
2022;"01140";"2180260";"metaldehyde";"108-62-3";"0.96";"CMR";"";"Non"
2022;"01140";"2180319";"cuivre du sulfate tribasique";"12527-76-3";"0.013644";"Env A";"Substitution";"Non"
2022;"01140";"2180462";"metaldehyde";"108-62-3";"11";"CMR";"";"Non"
2022;"01140";"2180463";"metaldehyde";"108-62-3";"12";"CMR";"";"Non"
