"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"22000";"2000003";"metazachlore";"67129-08-2";"2.5";"CMR";"";"Non"
2022;"22290";"2080114";"cymoxanil";"57966-95-7";"7.5";"CMR";"";"Non"
2022;"22290";"2080114";"propamocarbe hcl";"25606-41-1";"60";"Autre";"";"Non"
2022;"22290";"2080117";"prosulfuron";"94125-34-5";"1.3125";"Env A";"Substitution";"Non"
2022;"22290";"2080123";"metsulfuron-methyl";"74223-64-6";"1.60";"Env A";"Substitution";"Non"
2022;"22290";"2080124";"metsulfuron-methyl";"74223-64-6";"0.072";"Env A";"Substitution";"Non"
2022;"22290";"2080125";"metsulfuron-methyl";"74223-64-6";"0.42";"Env A";"Substitution";"Non"
2022;"22290";"2080136";"pyridate";"55512-33-9";"3.6";"Env A";"";"Non"
2022;"22290";"2080145";"diflufenicanil";"83164-33-4";"27";"Env B";"";"Non"
2022;"22290";"2080145";"flufenacet";"142459-58-3";"54";"Env A";"";"Non"
2022;"22290";"2090008";"thirame";"137-26-8";"1.61499";"Env A";"";"Non"
2022;"22290";"2090009";"pendimethaline";"40487-42-1";"9.9";"Env A";"Substitution";"Non"
2022;"22290";"2090009";"picolinafen";"137641-05-5";"0.225";"Env A";"";"Non"
2022;"22290";"2090016";"imazamox";"114311-32-9";"0.501";"Env A";"Substitution";"Non"
2022;"22290";"2090016";"pendimethaline";"40487-42-1";"7.5";"Env A";"Substitution";"Non"
2022;"22290";"2090028";"metamitrone";"41394-05-2";"3.5";"Env A";"";"Non"
2022;"22290";"2090037";"dicamba";"1918-00-9";"1.5";"Env B";"";"Non"
2022;"22290";"2090037";"prosulfuron";"94125-34-5";"0.15";"Env A";"Substitution";"Non"
2022;"22290";"2090041";"cloquintocet-mexyl";"99607-70-2";"0.7875";"Autre";"";"Non"
2022;"22290";"2090041";"pyroxsulame";"422556-08-9";"0.7875";"Env A";"";"Non"
2022;"22290";"2090054";"metsulfuron-methyl";"74223-64-6";"0.17875";"Env A";"Substitution";"Non"
2022;"22290";"2090054";"tribenuron-methyle";"101200-48-0";"0.17875";"Env A";"";"Non"
2022;"22290";"2090068";"mepiquat-chlorure";"24307-26-4";"15.75";"Env B";"";"Non"
2022;"22290";"2090068";"metconazole";"125116-23-6";"2.25";"CMR";"";"Non"
2022;"22290";"2090093";"glyphosate";"1071-83-6";"72";"Env A";"";"Non"
2022;"22290";"2090101";"nicosulfuron";"111991-09-4";"10.4";"Env A";"";"Non"
2022;"22290";"2090111";"cypermethrine";"52315-07-8";"13.011";"Env A";"";"Non"
2022;"22290";"2090113";"dimethenamide-p (dmta-p)";"163515-14-8";"59.500";"Env A";"";"Non"
