"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"20000";"2010023";"deltamethrine";"52918-63-5";"0.45";"Santé A";"";"Non"
2022;"20000";"2010296";"2,4-mcpa";"94-74-6";"0.625";"Env A";"";"Non"
2022;"20000";"2010296";"dicamba";"1918-00-9";"0.25";"Env B";"";"Non"
2022;"20000";"2010296";"dichlorprop-p";"15165-67-0";"1.125";"Autre";"";"Non"
2022;"20000";"2010513";"bacillus thuringiensis ssp kurstaki souche abts-351";"68038-71-1";"";"Autre";"";"Non"
2022;"20000";"2050046";"flonicamide";"158062-67-0";"1";"Autre";"";"Non"
2022;"20000";"2080060";"pyriproxyfene";"95737-68-1";"1.4";"Env A";"";"Non"
2022;"20000";"2090093";"glyphosate";"1071-83-6";"54";"Env A";"";"Non"
2022;"20000";"2090188";"glyphosate";"1071-83-6";"7.2";"Env A";"";"Non"
2022;"20000";"2090199";"huile de colza";"8002-13-9";"0.24759";"Autre";"";"Non"
2022;"20000";"2090199";"pyrethrines";"8003-34-7";"0.001377";"Env A";"";"Non"
2022;"20000";"2110086";"spirotetramat";"203313-25-1";"4";"CMR";"";"Non"
2022;"20000";"2130083";"lambda-cyhalothrine";"91465-08-6";"0.3";"Santé A";"Substitution";"Non"
2022;"20000";"2140085";"abamectine";"71751-41-2";"0.45";"CMR";"";"Non"
2022;"20000";"2150140";"glyphosate";"1071-83-6";"57.6";"Env A";"";"Non"
2022;"20000";"2170412";"huile essentielle d'orange douce";"8028-48-6";"0.6";"Env A";"";"Non"
2022;"20000";"5100219";"soufre sublime";"7704-34-9";"49.5";"Autre";"";"Non"
2022;"20000";"8100472";"pyrimiphos-methyl";"29232-93-7";"0.25";"Santé A";"";"Non"
2022;"20000";"9000222";"soufre";"7704-34-9";"7";"Autre";"";"Non"
2022;"20000";"9100296";"2,4-d";"94-75-7";"60";"Env B";"";"Non"
2022;"20000";"9200235";"huile minerale paraffinique";"8042-47-5";"379.2";"Autre";"";"Non"
2022;"20000";"9300504";"huile de vaseline";"8042-47-5";"114.38";"Autre";"";"Non"
2022;"20000";"9500452";"cuivre du sulfate de cuivre";"8011-63-0";"3";"Env A";"Substitution";"Non"
2022;"20000";"9600025";"fosetyl-aluminium";"39148-24-8";"24";"Autre";"";"Non"
2022;"20000";"9800336";"lambda-cyhalothrine";"91465-08-6";"0.6";"Santé A";"Substitution";"Non"
2022;"20000";"9800474";"cuivre du sulfate de cuivre";"8011-63-0";"3";"Env A";"Substitution";"Non"
2022;"20000";"9900227";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"8";"Santé A";"Substitution";"Non"
2022;"20090";"2010023";"deltamethrine";"52918-63-5";"0.225";"Santé A";"";"Non"
2022;"20090";"2010296";"2,4-mcpa";"94-74-6";"0.625";"Env A";"";"Non"
2022;"20090";"2010296";"dicamba";"1918-00-9";"0.25";"Env B";"";"Non"
2022;"20090";"2010296";"dichlorprop-p";"15165-67-0";"1.125";"Autre";"";"Non"
2022;"20090";"2030332";"2,4-d";"94-75-7";"1.2";"Env B";"";"Non"
2022;"20090";"2030332";"dichlorprop-p";"15165-67-0";"0.6";"Autre";"";"Non"
2022;"20090";"2050046";"flonicamide";"158062-67-0";"0.25";"Autre";"";"Non"
2022;"20090";"2060085";"boscalid";"188425-85-6";"0.2";"Env A";"";"Non"
2022;"20090";"2060085";"kresoxim-methyl";"143390-89-0";"0.1";"CMR";"";"Non"
2022;"20090";"2060098";"spinosad";"168316-95-8";"0.24";"Env A";"";"Non"
2022;"20090";"2060130";"spinosad";"168316-95-8";"0.00024";"Env A";"";"Non"
2022;"20090";"2090119";"cuivre du sulfate tribasique";"12527-76-3";"3.8";"Env A";"Substitution";"Non"
2022;"20090";"2100038";"kaolin";"1332-58-7";"125";"Autre";"";"Non"
2022;"20090";"2100114";"cyprodinyl";"121552-61-2";"1.875";"Env A";"";"Non"
2022;"20090";"2100114";"fludioxonil";"131341-86-1";"1.25";"Env A";"";"Non"
2022;"20090";"2100122";"chlorantraniliprole";"500008-45-7";"0.21";"Env A";"";"Non"
2022;"20090";"2110141";"dimethomorphe";"110488-70-5";"0.36";"Env A";"Exclusion";"Non"
2022;"20090";"2110141";"pyraclostrobine";"175013-18-0";"0.2";"Santé A";"";"Non"
2022;"20090";"2120048";"aminopyralid";"150114-71-9";"0.33";"Env A";"";"Non"
2022;"20090";"2120048";"triclopyr";"55335-06-3";"2.64";"Env B";"";"Non"
2022;"20090";"2120219";"tebuconazole";"107534-96-3";"0.36";"CMR";"";"Non"
2022;"20090";"2120219";"trifloxystrobine";"141517-21-7";"0.18";"Env A";"";"Non"
2022;"20090";"2130115";"deltamethrine";"52918-63-5";"0.000264";"Santé A";"";"Non"
2022;"20090";"2140085";"abamectine";"71751-41-2";"0.072";"CMR";"";"Non"
2022;"20090";"2150140";"glyphosate";"1071-83-6";"108";"Env A";"";"Non"
2022;"20090";"2160226";"phosphate ferrique";"10045-86-0";"0.484";"Autre";"";"Non"
2022;"20090";"2171089";"spinosad";"168316-95-8";"0.048";"Env A";"";"Non"
2022;"20090";"2180334";"difenoconazole";"119446-68-3";"1.32495";"Env A";"";"Non"
2022;"20090";"2180334";"fludioxonil";"131341-86-1";"1.32495";"Env A";"";"Non"
2022;"20090";"2180735";"spinetoram";"935545-74-7";"0.125";"CMR";"";"Non"
2022;"20090";"2190054";"spinosad";"168316-95-8";"0.48";"Env A";"";"Non"
2022;"20090";"2190198";"soufre pour pulverisation (micronise)";"7704-34-9";"8";"Autre";"";"Non"
2022;"20090";"5100219";"soufre sublime";"7704-34-9";"396";"Autre";"";"Non"
2022;"20090";"8100472";"pyrimiphos-methyl";"29232-93-7";"0.5";"Santé A";"";"Non"
2022;"20090";"8400528";"isoxaben";"82558-50-7";"0.625";"Env B";"";"Non"
2022;"20090";"9000222";"soufre";"7704-34-9";"168";"Autre";"";"Non"
2022;"20090";"9300504";"huile de vaseline";"8042-47-5";"20.425";"Autre";"";"Non"
2022;"20090";"9500199";"propamocarbe hcl";"25606-41-1";"0.722";"Autre";"";"Non"
2022;"20090";"9500452";"cuivre du sulfate de cuivre";"8011-63-0";"15";"Env A";"Substitution";"Non"
2022;"20090";"9700332";"azoxystrobine";"131860-33-8";"0.5";"Santé A";"";"Non"
2022;"20090";"9800336";"lambda-cyhalothrine";"91465-08-6";"1.9";"Santé A";"Substitution";"Non"
2022;"20090";"9900227";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"4";"Santé A";"Substitution";"Non"
2022;"20100";"2000018";"soufre pour pulverisation (micronise)";"7704-34-9";"208";"Autre";"";"Non"
