"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"02000";"2000018";"soufre pour pulverisation (micronise)";"7704-34-9";"272";"Autre";"";"Non"
2022;"02140";"2150753";"prothioconazole";"178928-70-6";"1.875";"Env A";"";"Non"
2022;"02140";"2150757";"diflufenicanil";"83164-33-4";"0.8";"Env B";"";"Non"
2022;"02140";"2150757";"glyphosate";"1071-83-6";"5";"Env A";"";"Non"
2022;"02140";"2150785";"mesotrione";"104206-82-8";"2.5";"CMR";"";"Non"
2022;"02140";"2150790";"phosphate ferrique";"10045-86-0";"0.024";"Autre";"";"Non"
2022;"02140";"2150870";"florasulame";"145701-23-1";"0.40";"Env A";"";"Non"
2022;"02140";"2150918";"clodinafop-propargyl";"105512-06-9";"4.5";"Env A";"";"Non"
2022;"02140";"2150918";"cloquintocet-mexyl";"99607-70-2";"1.125";"Autre";"";"Non"
2022;"02140";"2150964";"lambda-cyhalothrine";"91465-08-6";"2.60";"Santé A";"Substitution";"Non"
2022;"02140";"2159994";"tribenuron-methyle";"101200-48-0";"1.125";"Env A";"";"Non"
2022;"02140";"2160064";"fludioxonil";"131341-86-1";"2.207";"Env A";"";"Non"
2022;"02140";"2160064";"tebuconazole";"107534-96-3";"0.4414";"CMR";"";"Non"
2022;"02140";"2160131";"mesotrione";"104206-82-8";"4.125";"CMR";"";"Non"
2022;"02140";"2160131";"nicosulfuron";"111991-09-4";"1.65";"Env A";"";"Non"
2022;"02140";"2160133";"mesotrione";"104206-82-8";"0.750";"CMR";"";"Non"
2022;"02140";"2160133";"nicosulfuron";"111991-09-4";"0.30";"Env A";"";"Non"
2022;"02140";"2160177";"clomazone";"81777-89-1";"9.36";"Env A";"";"Non"
2022;"02140";"2160200";"cloquintocet-mexyl";"99607-70-2";"0.625";"Autre";"";"Non"
2022;"02140";"2160200";"pinoxaden";"243973-20-8";"2.5";"CMR";"";"Non"
2022;"02140";"2160208";"chlorotoluron";"15545-48-9";"42.5";"CMR";"";"Non"
2022;"02140";"2160208";"diflufenicanil";"83164-33-4";"6.8";"Env B";"";"Non"
2022;"02140";"2160208";"pendimethaline";"40487-42-1";"51";"Env A";"Substitution";"Non"
2022;"02140";"2160226";"phosphate ferrique";"10045-86-0";"28.8464";"Autre";"";"Non"
2022;"02140";"2160248";"dicamba";"1918-00-9";"19.8";"Env B";"";"Non"
2022;"02140";"2160248";"mesotrione";"104206-82-8";"8.25";"CMR";"";"Non"
2022;"02140";"2160260";"metconazole";"125116-23-6";"11.70";"CMR";"";"Non"
2022;"02140";"2160343";"clopyralid";"1702-17-6";"32.4";"Autre";"";"Non"
2022;"02140";"2160384";"trinexapac-ethyl";"95266-40-3";"10.0";"Env A";"";"Non"
2022;"02140";"2160387";"tebuconazole";"107534-96-3";"26.25";"CMR";"";"Non"
2022;"02140";"2160417";"bentazone";"25057-89-0";"5.22";"Env B";"";"Non"
2022;"02140";"2160484";"difenoconazole";"119446-68-3";"8.500";"Env A";"";"Non"
2022;"02140";"2160484";"fludioxonil";"131341-86-1";"8.500";"Env A";"";"Non"
2022;"02140";"2160556";"clomazone";"81777-89-1";"25.236";"Env A";"";"Non"
2022;"02140";"2160617";"benzovindiflupyr";"1072957-71-1";"44.5";"Santé A";"Substitution";"Non"
2022;"02140";"2160693";"cyprosulfamide";"221667-31-8";"12.15";"Autre";"";"Non"
2022;"02140";"2160693";"isoxaflutole";"141112-29-0";"18.225";"CMR";"";"Non"
2022;"02140";"2160693";"thiencarbazone-methyl";"317815-83-1";"7.29";"Env A";"";"Non"
2022;"02140";"2160705";"soufre";"7704-34-9";"56";"Autre";"";"Non"
2022;"02140";"2160705";"tebuconazole";"107534-96-3";"3.6";"CMR";"";"Non"
2022;"02140";"2160724";"azoxystrobine";"131860-33-8";"31.250";"Santé A";"";"Non"
2022;"02140";"2160724";"difenoconazole";"119446-68-3";"31.250";"Env A";"";"Non"
2022;"02140";"2160727";"diflufenicanil";"83164-33-4";"12";"Env B";"";"Non"
2022;"02140";"2160802";"trinexapac-ethyl";"95266-40-3";"32.50";"Env A";"";"Non"
2022;"02140";"2160818";"soufre";"7704-34-9";"256";"Autre";"";"Non"
2022;"02140";"2160839";"azoxystrobine";"131860-33-8";"13.75";"Santé A";"";"Non"
2022;"02140";"2160860";"difenoconazole";"119446-68-3";"23.75";"Env A";"";"Non"
2022;"02140";"2160917";"ethofumesate";"26225-79-6";"2.25";"Env A";"";"Non"
2022;"02140";"2160917";"metamitrone";"41394-05-2";"5.25";"Env A";"";"Non"
2022;"02140";"2160920";"fluroxypyr-meptyl";"81406-37-3";"91.4150";"Env A";"";"Non"
2022;"02140";"2160920";"metsulfuron-methyl";"74223-64-6";"2.350";"Env A";"Substitution";"Non"
2022;"02140";"2160920";"thifensulfuron-methyle";"79277-27-3";"14.10";"Env A";"";"Non"
2022;"02140";"2160931";"bixafen";"581809-46-3";"44.590";"Env A";"";"Non"
2022;"02140";"2160931";"fluopyram";"658066-35-4";"44.590";"Env A";"";"Non"
2022;"02140";"2160931";"prothioconazole";"178928-70-6";"89.18";"Env A";"";"Non"
2022;"02140";"2160937";"cloquintocet-mexyl";"99607-70-2";"0.234";"Autre";"";"Non"
2022;"02140";"2160937";"florasulame";"145701-23-1";"0.195";"Env A";"";"Non"
2022;"02140";"2160937";"halauxifen-methyl";"943831-98-9";"0.24375";"Env A";"";"Non"
2022;"02140";"2160959";"benzovindiflupyr";"1072957-71-1";"64.125";"Santé A";"Substitution";"Non"
2022;"02140";"2160959";"prothioconazole";"178928-70-6";"128.25";"Env A";"";"Non"
2022;"02140";"2161016";"azoxystrobine";"131860-33-8";"3.75";"Santé A";"";"Non"
2022;"02140";"2161082";"tebuconazole";"107534-96-3";"0.75";"CMR";"";"Non"
2022;"02140";"2161101";"fluxapyroxad";"907204-31-3";"73.875";"Santé A";"";"Non"
2022;"02140";"2161101";"pyraclostrobine";"175013-18-0";"147.75";"Santé A";"";"Non"
2022;"02140";"2170031";"metamitrone";"41394-05-2";"231.0";"Env A";"";"Non"
2022;"02140";"2170032";"tebuconazole";"107534-96-3";"21.25";"CMR";"";"Non"
2022;"02140";"2170158";"dimethenamide-p (dmta-p)";"163515-14-8";"114.885";"Env A";"";"Non"
2022;"02140";"2170158";"quinmerac";"90717-03-6";"57.615";"Env A";"";"Non"
2022;"02140";"2170197";"bixafen";"581809-46-3";"0.325";"Env A";"";"Non"
2022;"02140";"2170197";"fluopyram";"658066-35-4";"0.325";"Env A";"";"Non"
2022;"02140";"2170197";"prothioconazole";"178928-70-6";"0.65";"Env A";"";"Non"
2022;"02140";"2170208";"iodosulfuron-methyl-sodium";"144550-36-7";"0.108";"Env A";"";"Non"
2022;"02140";"2170208";"mefenpyr-diethyl";"135590-91-9";"1.62";"Autre";"";"Non"
2022;"02140";"2170208";"mesosulfuron-methyl";"208465-21-8";"0.54";"Env A";"";"Non"
2022;"02140";"2170216";"cloquintocet-mexyl";"99607-70-2";"0.2";"Autre";"";"Non"
2022;"02140";"2170216";"diflufenicanil";"83164-33-4";"0.8";"Env B";"";"Non"
2022;"02140";"2170216";"florasulame";"145701-23-1";"0.04";"Env A";"";"Non"
2022;"02140";"2170216";"iodosulfuron-methyl-sodium";"144550-36-7";"0.1";"Env A";"";"Non"
2022;"02140";"2170230";"azoxystrobine";"131860-33-8";"0.00180";"Santé A";"";"Non"
2022;"02140";"2170230";"fludioxonil";"131341-86-1";"0.004500";"Env A";"";"Non"
2022;"02140";"2170230";"metalaxyl-m";"70630-17-0";"0.00348";"Autre";"";"Non"
2022;"02140";"2170230";"thiabendazole";"148-79-8";"0.036";"Env A";"";"Non"
2022;"02140";"2170236";"iodosulfuron-methyl-sodium";"144550-36-7";"0.243";"Env A";"";"Non"
