"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"75014";"2170381";"mesotrione";"104206-82-8";"1.4";"CMR";"";"Non"
2022;"75014";"2170381";"terbuthylazine";"5915-41-3";"6.6";"Env A";"";"Non"
2022;"75014";"2170979";"cloquintocet-mexyl";"99607-70-2";"0.2832";"Autre";"";"Non"
2022;"75014";"2170979";"florasulame";"145701-23-1";"0.0568";"Env A";"";"Non"
2022;"75014";"2170979";"pyroxsulame";"422556-08-9";"0.2832";"Env A";"";"Non"
2022;"75014";"2171035";"tebuconazole";"107534-96-3";"1.25";"CMR";"";"Non"
2022;"75014";"2171067";"bicarbonate de potassium";"298-14-6";"0.057375";"Autre";"";"Non"
2022;"75014";"2180124";"metalaxyl";"57837-19-1";"0.004";"Env B";"";"Non"
2022;"75014";"2180124";"prothioconazole";"178928-70-6";"0.02";"Env A";"";"Non"
2022;"75014";"2180233";"dicamba";"1918-00-9";"4.8";"Env B";"";"Non"
2022;"75014";"2180319";"cuivre du sulfate tribasique";"12527-76-3";"0.008176";"Env A";"Substitution";"Non"
2022;"75014";"2180380";"oxathiapiproline";"1003318-67-9";"0.102";"Env A";"";"Non"
2022;"75014";"2190062";"halauxifen-methyl";"943831-98-9";"0.07";"Env A";"";"Non"
2022;"75014";"2190062";"piclorame";"1918-02-1";"0.336";"Env A";"";"Non"
2022;"75014";"2190173";"metaldehyde";"108-62-3";"3.24";"CMR";"";"Non"
2022;"75014";"2190173";"phosphate ferrique";"10045-86-0";"5.2488";"Autre";"";"Non"
2022;"75014";"2190190";"acide phosphoreux";"10294-56-1";"0.000956";"Autre";"";"Non"
2022;"75014";"2190634";"azoxystrobine";"131860-33-8";"2.5";"Santé A";"";"Non"
2022;"75014";"2190635";"quizalofop-p-ethyl";"100646-51-3";"0.25";"Env A";"";"Non"
2022;"75014";"2190808";"huile de colza";"8002-13-9";"0.0145";"Autre";"";"Non"
2022;"75014";"2190808";"pyrethrines";"8003-34-7";"0.000145";"Env A";"";"Non"
2022;"75014";"2190811";"sels de potassium d'acides gras (c8-c18)";"67701-09-1";"0.328";"Autre";"";"Non"
2022;"75014";"2190811";"soufre";"7704-34-9";"0.1312";"Autre";"";"Non"
2022;"75014";"2190874";"soufre";"7704-34-9";"0.0256";"Autre";"";"Non"
2022;"75014";"2200526";"acide pelargonique";"112-05-0";"0.141375";"Autre";"";"Non"
2022;"75014";"2200753";"glyphosate";"1071-83-6";"24.3";"Env A";"";"Non"
2022;"75014";"2200756";"prohexadione-calcium";"127277-53-6";"0.5";"Env B";"";"Non"
2022;"75014";"2210013";"fenpicoxamide";"517875-34-2";"1";"Env A";"";"Non"
2022;"75014";"2210013";"prothioconazole";"178928-70-6";"2";"Env A";"";"Non"
2022;"75014";"2210128";"phosphonate de potassium";"13492-26-7";"15.1";"Autre";"";"Non"
2022;"75014";"2210138";"metazachlore";"67129-08-2";"18";"CMR";"";"Non"
2022;"75014";"2210138";"quinmerac";"90717-03-6";"4.5";"Env A";"";"Non"
2022;"75014";"2210192";"prosulfocarbe";"52888-80-9";"16";"Env A";"";"Non"
2022;"75014";"2210743";"prothioconazole";"178928-70-6";"2.5";"Env A";"";"Non"
2022;"75014";"2210743";"tebuconazole";"107534-96-3";"2.5";"CMR";"";"Non"
