"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"97400";"2000125";"cuivre du sulfate de cuivre";"8011-63-0";"0.52";"Env A";"Substitution";"Non"
2022;"97411";"2000044";"fluazifop-p-butyl";"79241-46-6";"0.375";"CMR";"";"Non"
2022;"97411";"2000125";"cuivre du sulfate de cuivre";"8011-63-0";"1.64";"Env A";"Substitution";"Non"
2022;"97411";"2010023";"deltamethrine";"52918-63-5";"0.165";"Santé A";"";"Non"
2022;"97411";"2030404";"pendimethaline";"40487-42-1";"8";"Env A";"Substitution";"Non"
2022;"97411";"2060084";"boscalid";"188425-85-6";"0.267";"Env A";"";"Non"
2022;"97411";"2060084";"pyraclostrobine";"175013-18-0";"0.067";"Santé A";"";"Non"
2022;"97411";"2060088";"benoxacor";"98730-04-2";"0.9";"Autre";"";"Non"
2022;"97411";"2060088";"mesotrione";"104206-82-8";"1.8";"CMR";"";"Non"
2022;"97411";"2060088";"s-metolachlore";"87392-12-9";"18";"Env A";"";"Non"
2022;"97411";"2060098";"spinosad";"168316-95-8";"0.528";"Env A";"";"Non"
2022;"97411";"2060130";"spinosad";"168316-95-8";"0.00096";"Env A";"";"Non"
2022;"97411";"2060194";"tefluthrine";"79538-32-2";"0.36";"Santé A";"";"Non"
2022;"97411";"2090127";"huile essentielle d'orange douce";"8028-48-6";"0.36";"Env A";"";"Non"
2022;"97411";"2100026";"cypermethrine";"52315-07-8";"5.0";"Env A";"";"Non"
2022;"97411";"2100122";"chlorantraniliprole";"500008-45-7";"0.105";"Env A";"";"Non"
2022;"97411";"2100231";"emamectine benzoate";"155569-91-8";"0.0095";"Santé A";"";"Non"
2022;"97411";"2110012";"cyazofamide";"120116-88-3";"0.64";"Env A";"";"Non"
2022;"97411";"2110101";"pyraflufen-ethyl";"129630-19-9";"0.1855";"Env A";"";"Non"
2022;"97411";"2110111";"cyprosulfamide";"221667-31-8";"0.88";"Autre";"";"Non"
2022;"97411";"2110111";"isoxaflutole";"141112-29-0";"0.88";"CMR";"";"Non"
2022;"97411";"2110115";"cypermethrine";"52315-07-8";"3.8";"Env A";"";"Non"
2022;"97411";"2110143";"metribuzine";"21087-64-9";"0.6";"Env A";"";"Non"
2022;"97411";"2110150";"huile de colza";"8002-13-9";"0.6216";"Autre";"";"Non"
2022;"97411";"2120048";"aminopyralid";"150114-71-9";"0.87";"Env A";"";"Non"
2022;"97411";"2120048";"triclopyr";"55335-06-3";"6.96";"Env B";"";"Non"
2022;"97411";"2120143";"glyphosate";"1071-83-6";"38.4";"Env A";"";"Non"
2022;"97411";"2130153";"acide acetique";"64-19-7";"0.108";"Autre";"";"Non"
2022;"97411";"2140085";"abamectine";"71751-41-2";"0.324";"CMR";"";"Non"
2022;"97411";"2140121";"acide pelargonique";"112-05-0";"0.810182";"Autre";"";"Non"
