"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"97211";"2090199";"huile de colza";"8002-13-9";"0.206325";"Autre";"";"Non"
2022;"97211";"2090199";"pyrethrines";"8003-34-7";"0.001148";"Env A";"";"Non"
2022;"97211";"8700111";"huile de ricin";"8001-79-4";"0.2304";"Autre";"";"Non"
2022;"97211";"8700111";"resines (colophane)";"8050-09-7";"0.1152";"Autre";"";"Non"
2022;"97213";"2140121";"acide pelargonique";"112-05-0";"0.47518";"Autre";"";"Non"
2022;"97226";"2150140";"glyphosate";"1071-83-6";"144";"Env A";"";"Non"
2022;"97227";"2010130";"cuivre de l'oxyde cuivreux";"1317-39-1";"18.75";"Env A";"Substitution";"Non"
2022;"97227";"2010513";"bacillus thuringiensis ssp kurstaki souche abts-351";"68038-71-1";"";"Autre";"";"Non"
2022;"97227";"2050046";"flonicamide";"158062-67-0";"10";"Autre";"";"Non"
2022;"97227";"2060098";"spinosad";"168316-95-8";"5.28";"Env A";"";"Non"
2022;"97227";"2080102";"azoxystrobine";"131860-33-8";"34";"Santé A";"";"Non"
2022;"97227";"2080102";"difenoconazole";"119446-68-3";"21.25";"Env A";"";"Non"
2022;"97227";"2100122";"chlorantraniliprole";"500008-45-7";"1.05";"Env A";"";"Non"
2022;"97227";"2110012";"cyazofamide";"120116-88-3";"16.8";"Env A";"";"Non"
2022;"97227";"2120092";"ametoctradine";"865318-97-4";"45";"Env A";"";"Non"
2022;"97227";"2120092";"dimethomorphe";"110488-70-5";"33.75";"Env A";"Exclusion";"Non"
2022;"97227";"2130108";"e7,z9-dodecadienylacetate";"54364-62-4";"0.086";"Env A";"";"Non"
2022;"97227";"2130277";"soufre";"7704-34-9";"368";"Autre";"";"Non"
2022;"97227";"2140238";"cydia pomonella granulovirus";"";"";"Autre";"";"Non"
2022;"97227";"2180631";"huile essentielle d'orange douce";"8028-48-6";"4.8";"Env A";"";"Non"
2022;"97227";"2189996";"azadirachtine";"11141-17-6";"5.2";"CMR";"";"Non"
2022;"97227";"2190010";"saccharomyces cerevisiae souche las02";"";"";"Autre";"";"Non"
2022;"97227";"2200274";"cyprodinyl";"121552-61-2";"56.25";"Env A";"";"Non"
2022;"97227";"2200274";"fludioxonil";"131341-86-1";"37.5";"Env A";"";"Non"
2022;"97227";"9800096";"huile de paraffine";"64742-46-7";"256";"Autre";"";"Non"
2022;"97227";"9800245";"soufre pour pulverisation (micronise)";"7704-34-9";"656";"Autre";"";"Non"
2022;"97227";"9800336";"lambda-cyhalothrine";"91465-08-6";"2";"Santé A";"Substitution";"Non"
2022;"97227";"9800474";"cuivre du sulfate de cuivre";"8011-63-0";"303";"Env A";"Substitution";"Non"
2022;"97229";"2060088";"benoxacor";"98730-04-2";"0.1";"Autre";"";"Non"
2022;"97229";"2060088";"mesotrione";"104206-82-8";"0.2";"CMR";"";"Non"
2022;"97229";"2060088";"s-metolachlore";"87392-12-9";"2";"Env A";"";"Non"
2022;"97232";"2180124";"metalaxyl";"57837-19-1";"0.0018";"Env B";"";"Non"
2022;"97232";"2180124";"prothioconazole";"178928-70-6";"0.009";"Env A";"";"Non"
