"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"09000";"2000517";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"0.0288";"Santé A";"Substitution";"Non"
2022;"09120";"2100108";"tebuconazole";"107534-96-3";"1.25";"CMR";"";"Non"
2022;"09120";"2100121";"chlorantraniliprole";"500008-45-7";"1.0";"Env A";"";"Non"
2022;"09120";"2100138";"cloquintocet-mexyl";"99607-70-2";"0.6875";"Autre";"";"Non"
2022;"09120";"2100138";"pinoxaden";"243973-20-8";"2.75";"CMR";"";"Non"
2022;"09120";"2100151";"pyraclostrobine";"175013-18-0";"5";"Santé A";"";"Non"
2022;"09120";"2100177";"isoxadifen-ethyl";"163520-33-0";"2.875";"Env A";"";"Non"
2022;"09120";"2100177";"tembotrione";"335104-84-2";"5.75";"CMR";"";"Non"
2022;"09120";"2100181";"fluopicolide";"239110-15-7";"0.7992";"Env A";"";"Non"
2022;"09120";"2100181";"fosetyl-aluminium";"39148-24-8";"12.0006";"Autre";"";"Non"
2022;"09120";"2100206";"glyphosate";"1071-83-6";"108";"Env A";"";"Non"
2022;"09120";"2110059";"bicarbonate de potassium";"298-14-6";"8.5";"Autre";"";"Non"
2022;"09120";"2110073";"indoxacarbe";"173584-44-6";"0.3";"Santé A";"";"Non"
2022;"09120";"2110102";"difenoconazole";"119446-68-3";"0.6450";"Env A";"";"Non"
2022;"09120";"2110102";"fludioxonil";"131341-86-1";"0.6450";"Env A";"";"Non"
2022;"09120";"2110102";"sedaxane";"874967-67-6";"1.290";"CMR";"";"Non"
2022;"09120";"2110111";"cyprosulfamide";"221667-31-8";"3.52";"Autre";"";"Non"
2022;"09120";"2110111";"isoxaflutole";"141112-29-0";"3.52";"CMR";"";"Non"
2022;"09120";"2110152";"cypermethrine";"52315-07-8";"0.16";"Env A";"";"Non"
2022;"09120";"2120007";"indoxacarbe";"173584-44-6";"0.3";"Santé A";"";"Non"
2022;"09120";"2120048";"aminopyralid";"150114-71-9";"1.11";"Env A";"";"Non"
2022;"09120";"2120048";"triclopyr";"55335-06-3";"8.88";"Env B";"";"Non"
2022;"09120";"2120143";"glyphosate";"1071-83-6";"9.6";"Env A";"";"Non"
2022;"09120";"2130063";"nicosulfuron";"111991-09-4";"1.6";"Env A";"";"Non"
2022;"09120";"2130068";"diflufenicanil";"83164-33-4";"0.5";"Env B";"";"Non"
2022;"09120";"2130083";"lambda-cyhalothrine";"91465-08-6";"2.0";"Santé A";"Substitution";"Non"
2022;"09120";"2130140";"diflufenicanil";"83164-33-4";"1.2";"Env B";"";"Non"
2022;"09120";"2130140";"pendimethaline";"40487-42-1";"12";"Env A";"Substitution";"Non"
2022;"09120";"2130152";"fluopyram";"658066-35-4";"0.5";"Env A";"";"Non"
2022;"09120";"2130152";"trifloxystrobine";"141517-21-7";"0.5";"Env A";"";"Non"
2022;"09120";"2130164";"cyprosulfamide";"221667-31-8";"1.950";"Autre";"";"Non"
2022;"09120";"2130164";"foramsulfuron";"173159-57-4";"3.90";"CMR";"";"Non"
2022;"09120";"2130164";"thiencarbazone-methyl";"317815-83-1";"1.30";"Env A";"";"Non"
2022;"09120";"2130266";"bromuconazole";"116255-48-2";"1.336";"CMR";"";"Non"
2022;"09120";"2130266";"tebuconazole";"107534-96-3";"0.856";"CMR";"";"Non"
2022;"09120";"2140051";"fluxapyroxad";"907204-31-3";"1.03230";"Santé A";"";"Non"
2022;"09120";"2140078";"fludioxonil";"131341-86-1";"0.05";"Env A";"";"Non"
2022;"09120";"2140078";"tefluthrine";"79538-32-2";"0.2";"Santé A";"";"Non"
2022;"09120";"2140098";"aminopyralid";"150114-71-9";"0.10540";"Env A";"";"Non"
2022;"09120";"2140098";"propyzamide";"23950-58-5";"10.0";"CMR";"Substitution";"Non"
2022;"09120";"2140175";"metconazole";"125116-23-6";"0.9";"CMR";"";"Non"
2022;"09120";"2150140";"glyphosate";"1071-83-6";"36";"Env A";"";"Non"
2022;"09120";"2150387";"ametoctradine";"865318-97-4";"1.8";"Env A";"";"Non"
2022;"09120";"2150387";"dimethomorphe";"110488-70-5";"1.35";"Env A";"Exclusion";"Non"
2022;"09120";"2150964";"lambda-cyhalothrine";"91465-08-6";"7.24";"Santé A";"Substitution";"Non"
2022;"09120";"2150969";"phosphate ferrique";"10045-86-0";"0.006456";"Autre";"";"Non"
2022;"09120";"2160226";"phosphate ferrique";"10045-86-0";"0.484";"Autre";"";"Non"
