"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"44522";"2000125";"cuivre du sulfate de cuivre";"8011-63-0";"1.82";"Env A";"Substitution";"Non"
2022;"44260";"2110063";"clopyralid";"1702-17-6";"2.88";"Autre";"";"Non"
2022;"44260";"2110095";"cloquintocet-mexyl";"99607-70-2";"0.1125";"Autre";"";"Non"
2022;"44260";"2110095";"florasulame";"145701-23-1";"0.05";"Env A";"";"Non"
2022;"44260";"2110095";"pinoxaden";"243973-20-8";"0.45";"CMR";"";"Non"
2022;"44260";"2110102";"difenoconazole";"119446-68-3";"2.50550";"Env A";"";"Non"
2022;"44260";"2110102";"fludioxonil";"131341-86-1";"2.50550";"Env A";"";"Non"
2022;"44260";"2110102";"sedaxane";"874967-67-6";"5.0110";"CMR";"";"Non"
2022;"44260";"2110104";"clopyralid";"1702-17-6";"4.32";"Autre";"";"Non"
2022;"44260";"2110104";"florasulame";"145701-23-1";"0.135";"Env A";"";"Non"
2022;"44260";"2110104";"fluroxypyr-meptyl";"81406-37-3";"7.776";"Env A";"";"Non"
2022;"44260";"2110149";"huile de colza";"8002-13-9";"4.71848";"Autre";"";"Non"
2022;"44260";"2110150";"huile de colza";"8002-13-9";"6.79875";"Autre";"";"Non"
2022;"44260";"2110154";"2,4-mcpa";"94-74-6";"66.30";"Env A";"";"Non"
2022;"44260";"2110154";"dicamba";"1918-00-9";"5.85";"Env B";"";"Non"
2022;"44260";"2110162";"azoxystrobine";"131860-33-8";"3.75";"Santé A";"";"Non"
2022;"44260";"2110167";"tebuconazole";"107534-96-3";"19.35";"CMR";"";"Non"
2022;"44260";"2110178";"bixafen";"581809-46-3";"4.125";"Env A";"";"Non"
2022;"44260";"2110178";"prothioconazole";"178928-70-6";"8.25";"Env A";"";"Non"
2022;"44260";"2110180";"cuivre de l'oxyde cuivreux";"1317-39-1";"0.45";"Env A";"Substitution";"Non"
2022;"44260";"2110196";"bicarbonate de potassium";"298-14-6";"0.51";"Autre";"";"Non"
2022;"44260";"2120041";"zirame";"137-30-4";"4.9056";"Santé A";"";"Non"
2022;"44260";"2120048";"aminopyralid";"150114-71-9";"0.84";"Env A";"";"Non"
2022;"44260";"2120048";"triclopyr";"55335-06-3";"6.72";"Env B";"";"Non"
2022;"44260";"2120120";"bentazone";"25057-89-0";"2.4";"Env B";"";"Non"
2022;"44260";"2120120";"imazamox";"114311-32-9";"0.112";"Env A";"Substitution";"Non"
2022;"44260";"2120153";"propyzamide";"23950-58-5";"8";"CMR";"Substitution";"Non"
2022;"44260";"2120219";"tebuconazole";"107534-96-3";"0.75";"CMR";"";"Non"
2022;"44260";"2120219";"trifloxystrobine";"141517-21-7";"0.375";"Env A";"";"Non"
2022;"44260";"2130063";"nicosulfuron";"111991-09-4";"0.2";"Env A";"";"Non"
2022;"44260";"2130068";"diflufenicanil";"83164-33-4";"29.5";"Env B";"";"Non"
2022;"44260";"2130083";"lambda-cyhalothrine";"91465-08-6";"1.2";"Santé A";"Substitution";"Non"
2022;"44260";"2130153";"acide acetique";"64-19-7";"3.816";"Autre";"";"Non"
2022;"44260";"2130164";"cyprosulfamide";"221667-31-8";"0.15";"Autre";"";"Non"
2022;"44260";"2130164";"foramsulfuron";"173159-57-4";"0.3";"CMR";"";"Non"
2022;"44260";"2130164";"thiencarbazone-methyl";"317815-83-1";"0.1";"Env A";"";"Non"
2022;"44260";"2130202";"fluopyram";"658066-35-4";"5.000";"Env A";"";"Non"
2022;"44260";"2130202";"prothioconazole";"178928-70-6";"5.000";"Env A";"";"Non"
2022;"44260";"2130251";"lambda-cyhalothrine";"91465-08-6";"0.4";"Santé A";"Substitution";"Non"
2022;"44260";"2140078";"fludioxonil";"131341-86-1";"0.25";"Env A";"";"Non"
