"annee";"code_departement";"departement";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"00";"INDETERMINE";"1030003";"polymere carboxyl sulfone cationique";"8061-53-8";367.22388;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2000017";"tau-fluvalinate";"102851-06-9";6.504;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2000018";"soufre pour pulverisation (micronise)";"7704-34-9";470.752;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2000044";"fluazifop-p-butyl";"79241-46-6";0.125;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2000087";"cuivre de l'hydroxyde de cuivre";"20427-59-2";18.75;"Santé A";"Substitution";"Non"
2022;"00";"INDETERMINE";"2000122";"metalaxyl-m";"70630-17-0";754.65216;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2000125";"cuivre du sulfate de cuivre";"8011-63-0";1975.07;"Env A";"Substitution";"Non"
2022;"00";"INDETERMINE";"2000201";"silthiofam";"175217-20-6";253.2975;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2000202";"glyphosate";"1071-83-6";21.6;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2000299";"clomazone";"81777-89-1";53.82;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2000301";"foramsulfuron";"173159-57-4";1.125;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2000301";"isoxadifen-ethyl";"163520-33-0";1.125;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2000327";"carfentrazone ethyl";"128639-02-1";42.1074;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2000380";"clethodime";"99129-21-2";2.4;"Env B";"";"Oui"
2022;"00";"INDETERMINE";"2000510";"fer sous forme de sulfate de fer";"7720-78-7";4.8;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2000517";"cuivre de l'hydroxyde de cuivre";"20427-59-2";71.3628;"Santé A";"Substitution";"Oui"
2022;"00";"INDETERMINE";"2130266";"tebuconazole";"107534-96-3";2.675;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2130271";"proquinazid";"189278-12-4";0.16;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2130271";"tetraconazole";"112281-77-3";0.08;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140001";"acide gibberellique";"77-06-5";0.02;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2140018";"trinexapac-ethyl";"95266-40-3";15.0;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140022";"oligomeres terpeniques";"70750-57-1";9.1;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2140037";"cymoxanil";"57966-95-7";135.0;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2140038";"fluopyram";"658066-35-4";1.0916;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140038";"prothioconazole";"178928-70-6";5.458;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140038";"tebuconazole";"107534-96-3";3.2748;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2140051";"fluxapyroxad";"907204-31-3";3180.779436;"Santé A";"";"Non"
2022;"00";"INDETERMINE";"2140052";"clopyralid";"1702-17-6";4.0;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2140078";"fludioxonil";"131341-86-1";49.655801;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140078";"tefluthrine";"79538-32-2";198.623204;"Santé A";"";"Non"
2022;"00";"INDETERMINE";"2140085";"abamectine";"71751-41-2";0.036;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2140098";"aminopyralid";"150114-71-9";0.2635;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140098";"propyzamide";"23950-58-5";25.0;"CMR";"Substitution";"Non"
2022;"00";"INDETERMINE";"2140099";"quizalofop-p-ethyl";"100646-51-3";3.5;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140104";"fludioxonil";"131341-86-1";19.7616;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140106";"huile minerale paraffinique";"8042-47-5";37.92;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2140121";"acide pelargonique";"112-05-0";10310.208594;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2140134";"soufre triture ventile";"7704-34-9";1.182;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2140137";"cymoxanil";"57966-95-7";112.5;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2140147";"deltamethrine";"52918-63-5";1.125;"Santé A";"";"Oui"
2022;"00";"INDETERMINE";"2140165";"metribuzine";"21087-64-9";8.4;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2140166";"acide decanoique";"334-48-5";27.137627;"Env B";"";"Non"
2022;"00";"INDETERMINE";"2140166";"acide octanoique";"124-07-2";40.706448;"Env B";"";"Non"
2022;"00";"INDETERMINE";"2140167";"acide decanoique";"334-48-5";25.633845;"Env B";"";"Non"
2022;"00";"INDETERMINE";"2140167";"acide octanoique";"124-07-2";38.450727;"Env B";"";"Non"
2022;"00";"INDETERMINE";"2140168";"cuivre du sulfate tribasique";"12527-76-3";165.5147;"Env A";"Substitution";"Non"
2022;"00";"INDETERMINE";"2140173";"fluxapyroxad";"907204-31-3";1.25;"Santé A";"";"Non"
2022;"00";"INDETERMINE";"2140173";"metconazole";"125116-23-6";0.9;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2140175";"metconazole";"125116-23-6";4.05;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2140179";"amisulbrom";"348635-87-0";262.2;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2140193";"sulfate de fer (sulfate ferreux heptahydrate)";"7782-63-0";84.0939;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2140215";"(z)-9-dodecenylacetate";"16974-11-1";9.853035;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140215";"e7,z9-dodecadienylacetate";"54364-62-4";9.460659;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140252";"phosphate ferrique";"10045-86-0";200.374749;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2140257";"iodosulfuron-methyl-sodium";"144550-36-7";0.83;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140257";"mefenpyr-diethyl";"135590-91-9";12.45;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2140257";"mesosulfuron-methyl";"208465-21-8";4.15;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2140270";"ametoctradine";"865318-97-4";6.3;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150007";"clomazone";"81777-89-1";1.75;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150007";"napropamide";"15299-99-7";20.0;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150019";"silthiofam";"175217-20-6";1688.131251;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150020";"rimsulfuron";"122931-48-0";0.2;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150028";"metobromuron";"3060-89-7";622.5;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2150054";"cypermethrine";"52315-07-8";183.6;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150058";"difenoconazole";"119446-68-3";135.0;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150067";"phosphonate de disodium";"13708-85-5";100.0;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2150081";"cyflufenamid";"180409-60-3";0.0672;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150081";"difenoconazole";"119446-68-3";0.1344;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150085";"clopyralid";"1702-17-6";2.5;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2150130";"florasulame";"145701-23-1";0.2;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150140";"glyphosate";"1071-83-6";496.8;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150266";"difenoconazole";"119446-68-3";2.5;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2150417";"bacillus thuringiensis ssp kurstaki souche abts-351";"68038-71-1";85.369022;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2150451";"difenoconazole";"119446-68-3";0.5;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2150483";"lambda-cyhalothrine";"91465-08-6";0.24;"Santé A";"Substitution";"Non"
2022;"00";"INDETERMINE";"2150646";"fluopyram";"658066-35-4";8.5;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2150646";"trifloxystrobine";"141517-21-7";8.5;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2150742";"carfentrazone ethyl";"128639-02-1";1.5;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2150752";"prosulfocarbe";"52888-80-9";272.0;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150757";"diflufenicanil";"83164-33-4";2.6;"Env B";"";"Non"
2022;"00";"INDETERMINE";"2150757";"glyphosate";"1071-83-6";16.25;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150790";"phosphate ferrique";"10045-86-0";173.9973;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2150870";"florasulame";"145701-23-1";0.5;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150891";"difenoconazole";"119446-68-3";2.5;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2150969";"phosphate ferrique";"10045-86-0";2.105062;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160064";"fludioxonil";"131341-86-1";723.667005;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160064";"tebuconazole";"107534-96-3";144.733401;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2160115";"acide pelargonique";"112-05-0";650.878635;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160177";"clomazone";"81777-89-1";4.32;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160226";"phosphate ferrique";"10045-86-0";1.815;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160384";"trinexapac-ethyl";"95266-40-3";21.25;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160387";"tebuconazole";"107534-96-3";2.5;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2160400";"difenoconazole";"119446-68-3";7.5;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160400";"mandipropamide";"374726-62-2";7.5;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160409";"phosphate ferrique";"10045-86-0";7.0785;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160417";"bentazone";"25057-89-0";10.44;"Env B";"";"Non"
2022;"00";"INDETERMINE";"2160423";"e7,z9-dodecadienylacetate";"54364-62-4";1.519854;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160475";"soufre";"7704-34-9";20.0;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160479";"s-metolachlore";"87392-12-9";249.6;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160484";"difenoconazole";"119446-68-3";0.1;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160484";"fludioxonil";"131341-86-1";0.1;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160492";"trichoderma asperellum t34";"";"";"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160508";"cyflufenamid";"180409-60-3";0.65;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2160527";"sels de potassium d'acides gras";"10124-65-9";4.798;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160549";"benalaxyl-m";"98243-83-5";0.938;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2160549";"folpel";"133-07-3";12.0;"CMR";"";"Oui"
2022;"00";"INDETERMINE";"2160556";"clomazone";"81777-89-1";5.4;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160608";"huile de colza";"8002-13-9";46.2168;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160608";"pyrethrines";"8003-34-7";0.25704;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160615";"soufre triture ventile";"7704-34-9";972.44125;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160617";"benzovindiflupyr";"1072957-71-1";14.0;"Santé A";"Substitution";"Non"
2022;"00";"INDETERMINE";"2160659";"dimethomorphe";"110488-70-5";0.225;"Env A";"Exclusion";"Non"
2022;"00";"INDETERMINE";"2160659";"metirame";"9006-42-2";1.1;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160693";"cyprosulfamide";"221667-31-8";5.85;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160693";"isoxaflutole";"141112-29-0";8.775;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2160693";"thiencarbazone-methyl";"317815-83-1";3.51;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160710";"cyazofamide";"120116-88-3";0.611;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160710";"phosphonate de disodium";"13708-85-5";6.11;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160724";"azoxystrobine";"131860-33-8";1.875;"Santé A";"";"Non"
2022;"00";"INDETERMINE";"2160724";"difenoconazole";"119446-68-3";1.875;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160802";"trinexapac-ethyl";"95266-40-3";2.5;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160824";"dimethomorphe";"110488-70-5";2.7;"Env A";"Exclusion";"Oui"
2022;"00";"INDETERMINE";"2160824";"metirame";"9006-42-2";13.2;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2160841";"bacillus amyloliquefaciens subsp plantarum d747";"";"";"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160842";"metribuzine";"21087-64-9";2.8;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160860";"difenoconazole";"119446-68-3";1.25;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160920";"fluroxypyr-meptyl";"81406-37-3";9.725;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160920";"metsulfuron-methyl";"74223-64-6";0.25;"Env A";"Substitution";"Non"
2022;"00";"INDETERMINE";"2160920";"thifensulfuron-methyle";"79277-27-3";1.5;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160931";"bixafen";"581809-46-3";249.47;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160931";"fluopyram";"658066-35-4";249.47;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160931";"prothioconazole";"178928-70-6";498.94;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160936";"cloquintocet-mexyl";"99607-70-2";0.36;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160936";"fluroxypyr-meptyl";"81406-37-3";12.09;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160936";"halauxifen-methyl";"943831-98-9";0.375;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160937";"cloquintocet-mexyl";"99607-70-2";0.87;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2160937";"florasulame";"145701-23-1";0.725;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160937";"halauxifen-methyl";"943831-98-9";0.90625;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160959";"benzovindiflupyr";"1072957-71-1";16.5;"Santé A";"Substitution";"Non"
2022;"00";"INDETERMINE";"2160959";"prothioconazole";"178928-70-6";33.0;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2160963";"fluxapyroxad";"907204-31-3";0.27;"Santé A";"";"Non"
2022;"00";"INDETERMINE";"2161101";"fluxapyroxad";"907204-31-3";107.625;"Santé A";"";"Non"
2022;"00";"INDETERMINE";"2161101";"pyraclostrobine";"175013-18-0";215.25;"Santé A";"";"Non"
2022;"00";"INDETERMINE";"2170031";"metamitrone";"41394-05-2";66.5;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170085";"dithianon";"3347-22-6";4.05625;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170085";"phosphonate de potassium";"13492-26-7";18.21094;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170200";"difenoconazole";"119446-68-3";7.5;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170208";"iodosulfuron-methyl-sodium";"144550-36-7";0.126;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170208";"mefenpyr-diethyl";"135590-91-9";1.89;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170208";"mesosulfuron-methyl";"208465-21-8";0.63;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170230";"azoxystrobine";"131860-33-8";0.5229;"Santé A";"";"Non"
2022;"00";"INDETERMINE";"2170230";"fludioxonil";"131341-86-1";1.30725;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170230";"metalaxyl-m";"70630-17-0";1.01094;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170230";"thiabendazole";"148-79-8";10.458;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170237";"iodosulfuron-methyl-sodium";"144550-36-7";0.135;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170237";"mefenpyr-diethyl";"135590-91-9";0.405;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170237";"mesosulfuron-methyl";"208465-21-8";0.135;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170237";"thiencarbazone-methyl";"317815-83-1";0.1125;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170243";"acide pelargonique";"112-05-0";2080.205;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170263";"cypermethrine";"52315-07-8";2.0;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2170355";"acide pelargonique";"112-05-0";28.99451;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170381";"mesotrione";"104206-82-8";34.65;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2170381";"terbuthylazine";"5915-41-3";163.35;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170392";"deltamethrine";"52918-63-5";0.003;"Santé A";"";"Non"
2022;"00";"INDETERMINE";"2170425";"mesotrione";"104206-82-8";1.5;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2170457";"metamitrone";"41394-05-2";35.0;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170458";"cuivre du sulfate tribasique";"12527-76-3";13.5;"Env A";"Substitution";"Non"
2022;"00";"INDETERMINE";"2170458";"fosetyl-aluminium";"39148-24-8";18.0;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170459";"fludioxonil";"131341-86-1";167.31;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170459";"sedaxane";"874967-67-6";167.31;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2170684";"cymoxanil";"57966-95-7";101.25;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2170685";"acide acetique";"64-19-7";117.0168;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170691";"diflufenicanil";"83164-33-4";0.9375;"Env B";"";"Non"
2022;"00";"INDETERMINE";"2170691";"metribuzine";"21087-64-9";3.75;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170700";"prothioconazole";"178928-70-6";15.4785;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170700";"tebuconazole";"107534-96-3";2.0638;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2170752";"sedaxane";"874967-67-6";7.515;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2170757";"prochloraze";"67747-09-5";45.39;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170757";"tebuconazole";"107534-96-3";22.61;"CMR";"";"Non"
2022;"00";"INDETERMINE";"2170769";"cyflufenamid";"180409-60-3";0.9;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2170769";"difenoconazole";"119446-68-3";1.8;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2170785";"1-dodecanol";"112-53-8";0.01083;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170785";"1-tetradecanol";"112-72-1";0.00266;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170785";"e8,e10-dodecadiene-1-ol";"33956-49-9";0.07448;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170785";"z-11-tetradecenyl acetate";"20711-10-8";0.07315;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170785";"z-9-tetradecenyl acetate";"16725-53-4";0.01463;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170843";"napropamide";"15299-99-7";11.25;"Env A";"";"Oui"
2022;"00";"INDETERMINE";"2170917";"difenoconazole";"119446-68-3";125.0;"Env A";"";"Non"
2022;"00";"INDETERMINE";"2170932";"cos-oga";"";0.002875;"Autre";"";"Non"
2022;"00";"INDETERMINE";"2170977";"huile de colza";"8002-13-9";8.006391;"Autre";"";"Non"
