annee,amm,substance,cas,quantite_substance,classification,classification_mention,achat_etranger
2022,1030003,polymere carboxyl sulfone cationique,8061-53-8,18326.3118,Autre,,Oui
2022,2000001,glyphosate,1071-83-6,10.8,Env A,,Oui
2022,2000003,metazachlore,67129-08-2,38210.93,CMR,,Oui
2022,2000017,tau-fluvalinate,102851-06-9,64.8528,Env A,,Non
2022,2000018,soufre pour pulverisation (micronise),7704-34-9,1737831.5044,Autre,,Oui
2022,2000019,difenacoum,56073-07-5,0.0,CMR,Exclusion,Oui
2022,2000027,glufosinate ammonium,77182-82-2,3.6,CMR,Exclusion,Oui
2022,2000029,glufosinate ammonium,77182-82-2,3.96,CMR,Exclusion,Oui
2022,2000044,fluazifop-p-butyl,79241-46-6,19493.5325,CMR,,Oui
2022,2000046,ethofumesate,26225-79-6,8233.6365,Env A,,Non
2022,2000046,metamitrone,41394-05-2,19211.8185,Env A,,Non
2022,2000051,florasulame,145701-23-1,0.25,Env A,,Non
2022,2000067,acide benzoique,65-85-0,79.2,Santé A,,Non
2022,2000071,"2,4-d",94-75-7,4.6228,Env B,,Non
2022,2000071,dicamba,1918-00-9,0.6604,Env B,,Non
2022,2000071,sulfate de fer (sulfate ferreux heptahydrate),7782-63-0,177.05324,Autre,,Non
2022,2000079,cypermethrine,52315-07-8,36.8,Env A,,Non
2022,2000080,clopyralid,1702-17-6,12.738,Autre,,Non
2022,2000080,triclopyr,55335-06-3,50.952,Env B,,Non
2022,2000084,captane,133-06-2,3264.0,CMR,,Non
2022,2000087,cuivre de l'hydroxyde de cuivre,20427-59-2,8401.875,Santé A,Substitution,Non
2022,2000089,cuivre du sulfate de cuivre,8011-63-0,65.6,Env A,Substitution,Non
2022,2000095,trifluraline,1582-09-8,16.32,Autre,,Oui
2022,2000097,metaldehyde,108-62-3,1.785,CMR,,Non
2022,2000105,bacillus thuringiensis serotype 3a 3b,68038-71-1,0.288,Autre,,Non
2022,2000121,flufenacet,142459-58-3,312.0,Env A,,Non
2022,2000121,isoxaflutole,141112-29-0,65.0,CMR,,Non
2022,2000122,metalaxyl-m,70630-17-0,4083.957824,Autre,,Non
2022,2000125,cuivre du sulfate de cuivre,8011-63-0,6991.124,Env A,Substitution,Oui
2022,2000128,diflufenicanil,83164-33-4,0.19332,Env B,,Non
2022,2000128,glyphosate,1071-83-6,3.222,Env A,,Non
2022,2000128,oxadiazon,19666-30-9,3.222,Env A,,Non
2022,2000136,metaldehyde,108-62-3,41.4,CMR,,Non
2022,2000150,glyphosate,1071-83-6,14.4,Env A,,Non
2022,2000169,2 phenyl-phenol,90-43-7,0.6,Env A,,Non
2022,2000191,chlorpyriphos-ethyl,2921-88-2,0.02,Santé A,,Non
2022,2000195,fenamidone,161326-34-7,0.5,Env A,,Non
2022,2000195,mancozebe,8018-01-7,2.5,CMR,Exclusion,Non
2022,2000201,silthiofam,175217-20-6,3948.69,Env A,,Oui
2022,2000202,glyphosate,1071-83-6,229710.528,Env A,,Non
2022,2000205,propoxycarbazone sodium,181274-15-7,562.926,Env A,,Non
2022,2000208,florasulame,145701-23-1,1.8625,Env A,,Oui
2022,2000210,cuivre de l'oxychlorure de cuivre,1332-40-7,582.725,Santé A,Substitution,Non
2022,2000214,acrinathrine,101007-06-1,1.125,CMR,,Non
2022,2000228,metaldehyde,108-62-3,7.85,CMR,,Non
2022,2000235,heptamethyltrisiloxane modifie polyalkylenoxide,27306-78-1,10.998,Autre,,Oui
2022,2000236,indoxacarbe,173584-44-6,28.8,Santé A,,Non
2022,2000256,alphamethrine,67375-30-8,0.1,Santé A,Substitution,Non
2022,2000283,chlorure d'alkyl dimethyl benzyl ammonium,68424-85-1,28.0,Autre,,Non
2022,2000283,chlorure de didecyl dimethyl ammonium,7173-51-5,7.84,Autre,,Non
2022,2000283,glutaraldehyde,111-30-8,28.0,Autre,,Non
2022,2000294,mancozebe,8018-01-7,62.01,CMR,Exclusion,Non
2022,2000294,zoxamide,156052-68-5,5.535,Env A,,Non
2022,2000299,clomazone,81777-89-1,19257.4548,Env A,,Oui
2022,2000301,foramsulfuron,173159-57-4,3644.214075,CMR,,Non
2022,2000301,isoxadifen-ethyl,163520-33-0,3644.214075,Env A,,Non
2022,2000316,esfenvalerate,66230-04-4,7619.6605,Santé A,Substitution,Non
2022,2000324,deltamethrine,52918-63-5,4261.154,Santé A,,Oui
2022,2000327,carfentrazone ethyl,128639-02-1,16339.647,Env A,,Oui
2022,2000332,pyraclostrobine,175013-18-0,781.71,Santé A,,Non
2022,2000333,epoxiconazole,133855-98-8,3.5,CMR,Exclusion,Non
2022,2000333,pyraclostrobine,175013-18-0,9.31,Santé A,,Non
2022,2000335,epoxiconazole,133855-98-8,0.4565,CMR,Exclusion,Non
2022,2000335,kresoxim-methyl,143390-89-0,0.61171,CMR,,Non
2022,2000335,pyraclostrobine,175013-18-0,1.21429,Santé A,,Non
2022,2000336,metirame,9006-42-2,3551.9,Env A,,Non
2022,2000336,pyraclostrobine,175013-18-0,322.9,Santé A,,Non
2022,2000338,mancozebe,8018-01-7,49.79822,CMR,Exclusion,Non
2022,2000338,zoxamide,156052-68-5,6.219178,Env A,,Non
2022,2000369,metsulfuron-methyl,74223-64-6,726.334,Env A,Substitution,Oui
2022,2000380,clethodime,99129-21-2,11441.31,Env B,,Oui
2022,2000390,"2,4-d",94-75-7,0.32,Env B,,Oui
2022,2000390,dicamba,1918-00-9,0.048,Env B,,Oui
2022,2000447,lenacile,2164-08-1,80.8,CMR,,Oui
2022,2000461,prochloraze,67747-09-5,1887.75,Env A,,Non
2022,2000468,soufre pour pulverisation (micronise),7704-34-9,952.0,Autre,,Non
2022,2000499,glyphosate,1071-83-6,106.2,Env A,,Non
2022,2000510,fer sous forme de sulfate de fer,7720-78-7,323.4,Autre,,Non
2022,2000513,pendimethaline,40487-42-1,61.2,Env A,Substitution,Non
