"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"22240";"2130164";"140";"l";"Non";"Non"
2022;"22240";"2130202";"183";"l";"Non";"Non"
2022;"22240";"2130266";"129";"l";"Non";"Non"
2022;"22240";"2140042";"1";"l";"Non";"Non"
2022;"22240";"2140051";"1.01";"l";"Non";"Non"
2022;"22240";"2140098";"50";"l";"Non";"Non"
2022;"22240";"2140121";"95";"l";"Oui";"Non"
2022;"22240";"2140173";"170";"l";"Non";"Non"
2022;"22240";"2140175";"10";"l";"Non";"Non"
2022;"22240";"2140207";"54";"l";"Non";"Non"
2022;"22240";"2140257";"195";"l";"Non";"Non"
2022;"22240";"2140258";"65";"l";"Non";"Non"
2022;"22240";"2150019";"1.69";"l";"Non";"Non"
2022;"22240";"2150022";"33";"l";"Non";"Non"
2022;"22240";"2150125";"31.2";"l";"Non";"Non"
2022;"22240";"2150140";"160";"l";"Non";"Non"
2022;"22240";"2150483";"640";"kg";"Non";"Non"
2022;"22240";"2150484";"100";"l";"Non";"Non"
2022;"22240";"2150785";"165";"l";"Non";"Non"
2022;"22240";"2150964";"2950";"kg";"Non";"Non"
2022;"22240";"2160226";"694";"kg";"Non";"Non"
2022;"22240";"2160248";"20";"l";"Non";"Non"
2022;"22240";"2160260";"10";"l";"Non";"Non"
2022;"22240";"2160343";"2";"l";"Non";"Non"
2022;"22240";"2160384";"80";"l";"Non";"Non"
2022;"22240";"2160723";"1";"l";"Non";"Non"
2022;"22240";"2160752";"15";"l";"Non";"Non"
2022;"22240";"2160814";"5";"l";"Non";"Non"
2022;"22240";"2160931";"180";"l";"Non";"Non"
2022;"22240";"2160936";"4";"l";"Non";"Non"
2022;"22240";"2160937";"156";"l";"Non";"Non"
2022;"22240";"2160959";"475";"l";"Non";"Non"
2022;"22240";"2161016";"12";"l";"Non";"Non"
2022;"22240";"2161101";"35";"l";"Non";"Non"
2022;"22240";"2170158";"10";"l";"Non";"Non"
2022;"22240";"2170208";"3";"kg";"Non";"Non"
2022;"22240";"2170216";"7";"kg";"Non";"Non"
2022;"22240";"2170238";"2";"kg";"Non";"Non"
2022;"22240";"2170381";"355";"l";"Non";"Non"
2022;"22240";"2170425";"90";"l";"Non";"Non"
2022;"22240";"2170752";"0.33";"l";"Non";"Non"
2022;"22240";"2170757";"45";"l";"Non";"Non"
2022;"22240";"2170979";"14";"kg";"Non";"Non"
2022;"22240";"2171035";"45";"l";"Non";"Non"
2022;"22240";"2171054";"90";"l";"Non";"Non"
2022;"22240";"2171253";"0.7";"l";"Non";"Non"
2022;"22240";"2180009";"16";"kg";"Non";"Non"
2022;"22240";"2180123";"3";"l";"Non";"Non"
2022;"22240";"2180124";"33.28";"l";"Non";"Non"
2022;"22240";"2180165";"20";"l";"Non";"Non"
2022;"22240";"2180334";"6";"l";"Non";"Non"
2022;"22240";"2180404";"3";"l";"Non";"Non"
2022;"22240";"2180865";"0.21";"l";"Non";"Non"
2022;"22240";"2190062";"15";"l";"Non";"Non"
2022;"22240";"2190214";"100";"l";"Non";"Non"
2022;"22240";"2190265";"200";"kg";"Non";"Non"
2022;"22240";"2190321";"20";"l";"Non";"Non"
2022;"22240";"2190395";"3";"l";"Non";"Non"
2022;"22240";"2190594";"0.01";"l";"Non";"Non"
2022;"22240";"2190608";"55";"l";"Non";"Non"
2022;"22240";"2190686";"280";"l";"Non";"Non"
