"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"20000";"2010023";"30";"l";"Non";"Non"
2022;"20000";"2010296";"5";"l";"Non";"Non"
2022;"20000";"2010513";"5.5";"kg";"Non";"Non"
2022;"20000";"2050046";"2";"kg";"Non";"Non"
2022;"20000";"2080060";"14";"l";"Non";"Non"
2022;"20000";"2090093";"120";"l";"Non";"Non"
2022;"20000";"2090188";"20";"l";"Non";"Non"
2022;"20000";"2090199";"0.3";"l";"Oui";"Non"
2022;"20000";"2110086";"40";"l";"Non";"Non"
2022;"20000";"2130083";"3";"l";"Non";"Non"
2022;"20000";"2140085";"25";"l";"Non";"Non"
2022;"20000";"2150140";"160";"l";"Non";"Non"
2022;"20000";"2170412";"10";"l";"Non";"Non"
2022;"20000";"5100219";"50";"kg";"Non";"Non"
2022;"20000";"8100472";"1";"l";"Non";"Non"
2022;"20000";"9000222";"10";"l";"Non";"Non"
2022;"20000";"9100296";"100";"l";"Non";"Non"
2022;"20000";"9200235";"480";"l";"Non";"Non"
2022;"20000";"9300504";"140";"l";"Non";"Non"
2022;"20000";"9500452";"15";"kg";"Non";"Non"
2022;"20000";"9600025";"30";"kg";"Non";"Non"
2022;"20000";"9800336";"6";"l";"Non";"Non"
2022;"20000";"9800474";"15";"kg";"Non";"Non"
2022;"20000";"9900227";"20";"l";"Non";"Non"
2022;"20090";"2010023";"15";"l";"Non";"Non"
2022;"20090";"2010296";"5";"l";"Non";"Non"
2022;"20090";"2030332";"5";"l";"Non";"Non"
2022;"20090";"2050046";"0.5";"kg";"Non";"Non"
2022;"20090";"2060085";"1";"l";"Non";"Non"
2022;"20090";"2060098";"0.5";"l";"Non";"Non"
2022;"20090";"2060130";"1";"l";"Non";"Non"
2022;"20090";"2090119";"20";"l";"Non";"Non"
2022;"20090";"2100038";"125";"kg";"Non";"Non"
2022;"20090";"2100114";"5";"kg";"Non";"Non"
2022;"20090";"2100122";"0.6";"kg";"Non";"Non"
2022;"20090";"2110141";"5";"l";"Non";"Non"
2022;"20090";"2120048";"11";"l";"Non";"Non"
2022;"20090";"2120219";"1.8";"l";"Non";"Non"
2022;"20090";"2130115";"1.76";"kg";"Non";"Non"
2022;"20090";"2140085";"4";"l";"Non";"Non"
2022;"20090";"2150140";"300";"l";"Non";"Non"
2022;"20090";"2160226";"20";"kg";"Non";"Non"
2022;"20090";"2171089";"12";"kg";"Non";"Non"
2022;"20090";"2180334";"16.5";"l";"Non";"Non"
2022;"20090";"2180735";"5";"l";"Non";"Non"
2022;"20090";"2190054";"20";"l";"Non";"Non"
2022;"20090";"2190198";"10";"l";"Non";"Non"
2022;"20090";"5100219";"400";"kg";"Non";"Non"
2022;"20090";"8100472";"2";"l";"Non";"Non"
2022;"20090";"8400528";"5";"l";"Non";"Non"
2022;"20090";"9000222";"240";"l";"Non";"Non"
2022;"20090";"9300504";"25";"l";"Non";"Non"
2022;"20090";"9500199";"1";"l";"Non";"Non"
2022;"20090";"9500452";"75";"kg";"Non";"Non"
2022;"20090";"9700332";"2";"l";"Non";"Non"
2022;"20090";"9800336";"19";"l";"Non";"Non"
2022;"20090";"9900227";"10";"l";"Non";"Non"
2022;"20100";"2000018";"260";"kg";"Non";"Non"
2022;"20100";"2000316";"3";"l";"Non";"Non"
2022;"20100";"2010023";"58";"l";"Non";"Non"
2022;"20100";"2010513";"25.5";"kg";"Non";"Non"
2022;"20100";"2020219";"6";"l";"Non";"Non"
2022;"20100";"2020241";"1";"kg";"Non";"Non"
2022;"20100";"2050046";"4";"kg";"Non";"Non"
2022;"20100";"2060084";"10";"kg";"Non";"Non"
2022;"20100";"2060085";"2";"l";"Non";"Non"
2022;"20100";"2060098";"22.5";"l";"Non";"Non"
2022;"20100";"2070107";"10";"l";"Non";"Non"
2022;"20100";"2070133";"25";"l";"Non";"Non"
2022;"20100";"2080102";"10";"l";"Non";"Non"
2022;"20100";"2080105";"20";"l";"Non";"Non"
2022;"20100";"2080136";"4";"kg";"Non";"Non"
2022;"20100";"2090119";"125";"l";"Non";"Non"
2022;"20100";"2090127";"5";"l";"Non";"Non"
2022;"20100";"2100112";"20";"l";"Non";"Non"
2022;"20100";"2100122";"1.8";"kg";"Non";"Non"
2022;"20100";"2100181";"24";"kg";"Non";"Non"
2022;"20100";"2100231";"10";"kg";"Non";"Non"
2022;"20100";"2110073";"7";"l";"Non";"Non"
2022;"20100";"2110101";"10";"l";"Non";"Non"
