"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"51000";"2000003";"15";"l";"Non";"Non"
2022;"51000";"2000018";"55.66";"kg";"Non";"Non"
2022;"51000";"2000044";"2";"l";"Non";"Non"
2022;"51000";"2000201";"11.73";"l";"Non";"Non"
2022;"51000";"2000205";"4.2";"kg";"Non";"Non"
2022;"51000";"2000299";"9";"l";"Non";"Non"
2022;"51000";"2000316";"15";"l";"Non";"Non"
2022;"51000";"2000324";"2";"l";"Non";"Non"
2022;"51000";"2000327";"3.10";"l";"Non";"Non"
2022;"51000";"2000517";"7.16";"l";"Non";"Non"
2022;"51000";"2010023";"9.89";"l";"Non";"Non"
2022;"51000";"2010130";"0.31";"kg";"Non";"Non"
2022;"51000";"2010280";"65.05";"l";"Non";"Non"
2022;"51000";"2010282";"10";"l";"Non";"Non"
2022;"51000";"2010610";"20";"l";"Non";"Non"
2022;"51000";"2020099";"6";"l";"Non";"Non"
2022;"51000";"2020474";"18.66";"l";"Non";"Non"
2022;"51000";"2030175";"0.01";"kg";"Oui";"Non"
2022;"51000";"2030342";"130.86";"l";"Non";"Non"
2022;"51000";"2040146";"18.70";"l";"Non";"Non"
2022;"51000";"2050046";"37.54";"kg";"Non";"Non"
2022;"51000";"2050075";"9.0";"kg";"Non";"Non"
2022;"51000";"2060050";"6.09";"l";"Non";"Non"
2022;"51000";"2060051";"1";"l";"Non";"Non"
2022;"51000";"2060098";"0.11";"l";"Non";"Non"
2022;"51000";"2060118";"40";"l";"Non";"Non"
2022;"51000";"2060131";"5";"l";"Non";"Non"
2022;"51000";"2060172";"0.56";"l";"Non";"Non"
2022;"51000";"2070184";"50";"l";"Non";"Non"
2022;"51000";"2070221";"33.57";"l";"Non";"Non"
2022;"51000";"2080049";"11.62";"l";"Non";"Non"
2022;"51000";"2080063";"29.44";"kg";"Non";"Non"
2022;"51000";"2080105";"65";"l";"Non";"Non"
2022;"51000";"2080117";"0.20";"kg";"Non";"Non"
2022;"51000";"2080123";"0.25";"kg";"Non";"Non"
2022;"51000";"2080124";"0.04";"kg";"Non";"Non"
2022;"51000";"2080136";"3.54";"kg";"Non";"Non"
2022;"51000";"2080145";"131.1";"l";"Non";"Non"
2022;"51000";"2090001";"28";"l";"Non";"Non"
2022;"51000";"2090016";"132.81";"l";"Non";"Non"
2022;"51000";"2090039";"90.7";"l";"Non";"Non"
2022;"51000";"2090057";"2.1";"kg";"Non";"Non"
2022;"51000";"2090093";"352.62";"l";"Non";"Non"
2022;"51000";"2090111";"88.88";"l";"Non";"Non"
2022;"51000";"2090117";"2.5";"l";"Non";"Non"
2022;"51000";"2090118";"0.16";"l";"Non";"Non"
2022;"51000";"2090119";"0.80";"l";"Non";"Non"
2022;"51000";"2090126";"13.07";"l";"Non";"Non"
2022;"51000";"2090127";"3.05";"l";"Non";"Non"
2022;"51000";"2090132";"94.56";"l";"Non";"Non"
2022;"51000";"2090137";"0.62";"kg";"Non";"Non"
2022;"51000";"2090157";"16";"l";"Non";"Non"
2022;"51000";"2100009";"0.78";"kg";"Non";"Non"
2022;"51000";"2100014";"0.6";"kg";"Non";"Non"
2022;"51000";"2100018";"20";"l";"Non";"Non"
2022;"51000";"2100026";"11";"l";"Non";"Non"
2022;"51000";"2100041";"4.33";"l";"Non";"Non"
2022;"51000";"2100052";"105";"l";"Non";"Non"
2022;"51000";"2100056";"35";"l";"Non";"Non"
2022;"51000";"2100057";"154.22";"l";"Non";"Non"
2022;"51000";"2100059";"10.55";"l";"Non";"Non"
2022;"51000";"2100060";"0.73";"l";"Non";"Non"
2022;"51000";"2100108";"25";"l";"Non";"Non"
2022;"51000";"2100112";"58.83";"l";"Non";"Non"
2022;"51000";"2100121";"2";"l";"Non";"Non"
2022;"51000";"2100138";"97.9";"l";"Non";"Non"
2022;"51000";"2100140";"5";"l";"Non";"Non"
2022;"51000";"2100151";"30.20";"l";"Non";"Non"
2022;"51000";"2100177";"4.73";"kg";"Non";"Non"
2022;"51000";"2100181";"13.96";"kg";"Non";"Non"
2022;"51000";"2100186";"4";"l";"Non";"Non"
2022;"51000";"2100215";"10";"l";"Non";"Non"
2022;"51000";"2100221";"45.17";"kg";"Non";"Non"
2022;"51000";"2100227";"9.81";"l";"Non";"Non"
2022;"51000";"2100231";"5.19";"kg";"Non";"Non"
2022;"51000";"2110021";"0.17";"kg";"Non";"Non"
2022;"51000";"2110059";"40.53";"kg";"Non";"Non"
2022;"51000";"2110063";"12.6";"kg";"Non";"Non"
2022;"51000";"2110077";"5";"l";"Non";"Non"
2022;"51000";"2110082";"2.36";"kg";"Non";"Non"
