"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"59000";"2000018";"20";"kg";"Non";"Non"
2022;"59000";"2010023";"2.5";"l";"Non";"Non"
2022;"59000";"2010239";"10";"l";"Non";"Non"
2022;"59000";"2060050";"1.28";"l";"Non";"Non"
2022;"59000";"2060085";"2.5";"l";"Non";"Non"
2022;"59000";"2060127";"0.54";"l";"Non";"Non"
2022;"59000";"2060131";"5";"l";"Non";"Non"
2022;"59000";"2080102";"5";"l";"Non";"Oui"
2022;"59000";"2090039";"5";"l";"Non";"Non"
2022;"59000";"2090101";"10";"l";"Non";"Non"
2022;"59000";"2090117";"2.5";"l";"Non";"Non"
2022;"59000";"2090119";"0.7";"l";"Non";"Non"
2022;"59000";"2090132";"0.42";"l";"Non";"Non"
2022;"59000";"2090136";"30";"l";"Non";"Oui"
2022;"59000";"2100059";"0.52";"l";"Non";"Non"
2022;"59000";"2110056";"10";"l";"Non";"Non"
2022;"59000";"2110147";"0.18";"kg";"Non";"Non"
2022;"59000";"2120089";"45";"l";"Non";"Non"
2022;"59000";"2120143";"0.49";"l";"Non";"Non"
2022;"59000";"2130152";"1";"l";"Non";"Non"
2022;"59000";"2130251";"10";"l";"Non";"Oui"
2022;"59000";"2140107";"5";"l";"Non";"Oui"
2022;"59000";"2140121";"220";"l";"Oui";"Non"
2022;"59000";"2140215";"0.4";"kg";"Non";"Non"
2022;"59000";"2140270";"0.36";"l";"Non";"Non"
2022;"59000";"2150140";"20";"l";"Non";"Non"
2022;"59000";"2150266";"20";"l";"Non";"Oui"
2022;"59000";"2150483";"140";"kg";"Non";"Non"
2022;"59000";"2150752";"40";"l";"Non";"Non"
2022;"59000";"2160963";"0.03";"l";"Non";"Non"
2022;"59000";"2170031";"20";"l";"Non";"Non"
2022;"59000";"2170032";"20";"l";"Non";"Non"
2022;"59000";"2170263";"15";"l";"Non";"Non"
2022;"59000";"2170381";"10";"l";"Non";"Non"
2022;"59000";"2180380";"0.04";"l";"Non";"Non"
2022;"59000";"2180735";"90";"l";"Non";"Oui"
2022;"59000";"2190499";"1.9";"l";"Non";"Non"
2022;"59000";"2190537";"315";"kg";"Non";"Oui"
2022;"59000";"2190855";"12";"l";"Non";"Non"
2022;"59000";"2200753";"65";"l";"Non";"Non"
2022;"59000";"2210840";"5";"l";"Non";"Non"
2022;"59000";"5100219";"100";"kg";"Non";"Non"
2022;"59000";"7500716";"20";"kg";"Non";"Non"
2022;"59000";"7700216";"1.38";"l";"Non";"Non"
2022;"59000";"8700107";"0.26";"kg";"Non";"Non"
2022;"59000";"8800029";"30";"l";"Non";"Non"
2022;"59000";"9000222";"21.55";"l";"Non";"Non"
2022;"59000";"9000490";"0.14";"l";"Non";"Non"
2022;"59000";"9300487";"10";"l";"Non";"Non"
2022;"59000";"9400008";"0.48";"l";"Non";"Non"
2022;"59000";"9400280";"0.14";"kg";"Non";"Non"
2022;"59000";"9800474";"45";"kg";"Non";"Non"
2022;"59000";"9900227";"20";"l";"Non";"Non"
2022;"59100";"2080105";"25";"l";"Non";"Non"
2022;"59100";"2110056";"10";"l";"Non";"Non"
2022;"59100";"2130153";"20";"l";"Oui";"Non"
2022;"59100";"2140254";"5";"l";"Non";"Non"
2022;"59100";"2150757";"5";"l";"Non";"Non"
2022;"59100";"2210443";"20";"l";"Non";"Non"
2022;"59100";"9800201";"10";"l";"Non";"Non"
2022;"59110";"2020099";"5";"l";"Non";"Non"
2022;"59110";"2030342";"80";"l";"Non";"Non"
2022;"59110";"2060116";"15";"l";"Non";"Non"
2022;"59110";"2080029";"3";"l";"Non";"Non"
2022;"59110";"2090072";"0.5";"kg";"Non";"Non"
2022;"59110";"2090149";"20";"l";"Non";"Non"
2022;"59110";"2100009";"2.2";"kg";"Non";"Non"
2022;"59110";"2100056";"20";"l";"Non";"Non"
2022;"59110";"2100112";"15";"l";"Non";"Non"
2022;"59110";"2100138";"5";"l";"Non";"Non"
2022;"59110";"2100151";"15";"l";"Non";"Non"
2022;"59110";"2100244";"60";"l";"Non";"Non"
2022;"59110";"2110102";"1.25";"l";"Non";"Non"
2022;"59110";"2110104";"83";"l";"Non";"Non"
2022;"59110";"2130202";"25";"l";"Non";"Non"
2022;"59110";"2130251";"5";"l";"Non";"Non"
2022;"59110";"2140105";"20";"l";"Non";"Non"
2022;"59110";"2140257";"100";"l";"Non";"Non"
2022;"59110";"2150140";"100";"l";"Non";"Non"
2022;"59110";"2160226";"460";"kg";"Non";"Non"
2022;"59110";"2160931";"22.5";"l";"Non";"Non"
2022;"59110";"2170263";"35";"l";"Non";"Non"
2022;"59110";"2190062";"4";"l";"Non";"Non"
2022;"59110";"2190173";"414";"kg";"Non";"Non"
2022;"59110";"2190686";"30";"l";"Non";"Non"
2022;"59110";"7100280";"80";"l";"Non";"Non"
2022;"59110";"8800161";"25";"l";"Non";"Non"
2022;"59110";"8900564";"10";"l";"Non";"Non"
2022;"59110";"9500649";"36";"kg";"Non";"Non"
2022;"59110";"9800336";"5";"l";"Non";"Non"
2022;"59110";"9900115";"15";"l";"Non";"Non"
2022;"59111";"2000044";"5";"l";"Non";"Non"
2022;"59111";"2000201";"0.56";"l";"Non";"Non"
2022;"59111";"2000299";"21";"l";"Non";"Non"
2022;"59111";"2000324";"1";"l";"Non";"Non"
2022;"59111";"2010030";"65";"l";"Non";"Non"
2022;"59111";"2010282";"5";"l";"Non";"Non"
