"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"77000";"2000125";"10.5";"kg";"Oui";"Non"
2022;"75001";"2000018";"20";"kg";"Non";"Non"
2022;"75001";"2000327";"0.03";"l";"Non";"Non"
2022;"75001";"2000517";"0.08";"l";"Non";"Non"
2022;"75001";"2010023";"1.01";"l";"Non";"Non"
2022;"75001";"2010130";"3";"kg";"Non";"Non"
2022;"75001";"2030175";"0.03";"kg";"Oui";"Non"
2022;"75001";"2060050";"1";"l";"Non";"Non"
2022;"75001";"2060088";"20";"l";"Non";"Non"
2022;"75001";"2080026";"1";"l";"Non";"Non"
2022;"75001";"2080105";"105";"l";"Non";"Non"
2022;"75001";"2090037";"1";"kg";"Non";"Non"
2022;"75001";"2090050";"324";"kg";"Non";"Non"
2022;"75001";"2090057";"2";"kg";"Non";"Non"
2022;"75001";"2090064";"25";"l";"Non";"Non"
2022;"75001";"2090093";"40";"l";"Non";"Non"
2022;"75001";"2090132";"5.09";"l";"Non";"Non"
2022;"75001";"2090146";"2.75";"l";"Oui";"Non"
2022;"75001";"2090199";"0.1";"l";"Oui";"Non"
2022;"75001";"2100030";"20";"kg";"Non";"Non"
2022;"75001";"2100041";"10";"l";"Non";"Non"
2022;"75001";"2100052";"60";"l";"Non";"Non"
2022;"75001";"2100108";"5";"l";"Non";"Non"
2022;"75001";"2100138";"75";"l";"Non";"Non"
2022;"75001";"2100181";"0.12";"kg";"Non";"Non"
2022;"75001";"2100221";"6.58";"kg";"Non";"Non"
2022;"75001";"2110059";"10";"kg";"Non";"Non"
2022;"75001";"2110090";"5";"l";"Non";"Non"
2022;"75001";"2110102";"8.6";"l";"Non";"Non"
2022;"75001";"2110104";"27";"l";"Non";"Non"
2022;"75001";"2110149";"22.08";"l";"Oui";"Non"
2022;"75001";"2110180";"0.1";"kg";"Oui";"Non"
2022;"75001";"2110197";"0.02";"l";"Non";"Non"
2022;"75001";"2120048";"3";"l";"Non";"Non"
2022;"75001";"2120132";"4";"kg";"Non";"Non"
2022;"75001";"2120143";"80.09";"l";"Non";"Non"
2022;"75001";"2130049";"4.5";"l";"Non";"Non"
2022;"75001";"2130059";"5";"l";"Non";"Non"
2022;"75001";"2130067";"0.02";"l";"Non";"Non"
2022;"75001";"2130086";"120";"kg";"Non";"Non"
2022;"75001";"2130091";"8";"l";"Non";"Non"
2022;"75001";"2130152";"0.3";"l";"Non";"Non"
2022;"75001";"2130202";"10";"l";"Non";"Non"
2022;"75001";"2140098";"35";"l";"Non";"Non"
2022;"75001";"2140121";"2.91";"l";"Oui";"Non"
2022;"75001";"2140167";"1";"l";"Oui";"Non"
2022;"75001";"2140193";"1";"l";"Oui";"Non"
2022;"75001";"2140252";"1.15";"kg";"Oui";"Non"
2022;"75001";"2150028";"50";"l";"Non";"Non"
2022;"75001";"2150140";"80.02";"l";"Non";"Non"
2022;"75001";"2150387";"5";"l";"Non";"Non"
2022;"75001";"2150417";"0.03";"l";"Oui";"Non"
2022;"75001";"2150790";"2.4";"kg";"Oui";"Non"
2022;"75001";"2160226";"80";"kg";"Non";"Non"
2022;"75001";"2160260";"30";"l";"Non";"Non"
2022;"75001";"2160959";"30";"l";"Non";"Non"
2022;"75001";"2160963";"1";"l";"Non";"Non"
2022;"75001";"2170243";"0.27";"l";"Oui";"Non"
2022;"75001";"2170381";"5";"l";"Non";"Non"
2022;"75001";"2170458";"0.16";"kg";"Non";"Non"
2022;"75001";"2170691";"10";"l";"Non";"Non"
2022;"75001";"2171067";"0.75";"l";"Oui";"Non"
2022;"75001";"2171119";"1.52";"kg";"Non";"Non"
2022;"75001";"2180834";"0.08";"kg";"Non";"Non"
2022;"75001";"2190062";"6";"l";"Non";"Non"
2022;"75001";"2190214";"15";"l";"Non";"Non"
2022;"75001";"2190811";"0.8";"l";"Oui";"Non"
2022;"75001";"2220146";"70";"l";"Non";"Non"
2022;"75001";"7700703";"8550";"l";"Non";"Non"
2022;"75001";"8700107";"2";"kg";"Non";"Non"
2022;"75001";"8700462";"30";"l";"Non";"Non"
2022;"75001";"8800395";"10";"l";"Non";"Non"
2022;"75001";"8800841";"0.1";"l";"Non";"Non"
2022;"75001";"8900564";"0.3";"l";"Non";"Non"
2022;"75001";"9000222";"35.26";"l";"Non";"Non"
2022;"75001";"9200215";"3.75";"kg";"Non";"Non"
2022;"75001";"9200436";"4";"l";"Non";"Non"
2022;"75001";"9400052";"5";"l";"Non";"Non"
2022;"75001";"9400085";"5.2";"l";"Non";"Non"
2022;"75001";"9400280";"0.02";"kg";"Non";"Non"
2022;"75001";"9400485";"3";"l";"Non";"Non"
2022;"75001";"9500234";"1";"l";"Non";"Non"
2022;"75001";"9500341";"0.75";"kg";"Oui";"Non"
2022;"75001";"9500568";"1";"kg";"Non";"Non"
2022;"75001";"9500628";"3";"kg";"Non";"Non"
2022;"75001";"9600001";"3";"kg";"Non";"Non"
2022;"75001";"9800245";"2.21";"kg";"Non";"Non"
2022;"75001";"9800336";"8.3";"l";"Non";"Non"
2022;"75001";"9800420";"0.02";"l";"Non";"Non"
2022;"75001";"9800474";"30.06";"kg";"Non";"Non"
2022;"75001";"9900037";"0.12";"kg";"Non";"Non"
2022;"75001";"9900047";"5";"l";"Non";"Non"
2022;"75002";"2000018";"20";"kg";"Non";"Non"
2022;"75002";"2030175";"0.02";"kg";"Oui";"Non"
2022;"75002";"2090119";"10";"l";"Non";"Non"
2022;"75002";"2100181";"6";"kg";"Non";"Non"
2022;"75002";"2100221";"5";"kg";"Non";"Non"
2022;"75002";"2110101";"1";"l";"Non";"Non"
2022;"75002";"2110149";"2.56";"l";"Oui";"Non"
2022;"75002";"2110150";"0.26";"l";"Oui";"Non"
2022;"75002";"2110197";"1";"l";"Non";"Non"
2022;"75002";"2130049";"1";"l";"Non";"Non"
2022;"75002";"2130152";"0.3";"l";"Non";"Non"
2022;"75002";"2150140";"5";"l";"Non";"Non"
2022;"75002";"2150417";"0.13";"l";"Oui";"Non"
2022;"75002";"2150790";"1.2";"kg";"Oui";"Non"
2022;"75002";"2170243";"0.9";"l";"Oui";"Non"
2022;"75002";"2170355";"2";"l";"Oui";"Non"
2022;"75002";"2170691";"1";"l";"Non";"Non"
2022;"75002";"2171067";"0.75";"l";"Oui";"Non"
2022;"75002";"2190760";"1.1";"kg";"Oui";"Non"
2022;"75002";"2190808";"2.1";"l";"Oui";"Non"
2022;"75002";"8700107";"10";"kg";"Non";"Non"
2022;"75002";"8800519";"0.8";"kg";"Non";"Non"
2022;"75002";"8800841";"0.5";"l";"Non";"Non"
2022;"75002";"9600001";"6";"kg";"Non";"Non"
2022;"75002";"9700070";"0.2";"kg";"Non";"Non"
2022;"75003";"2000018";"3.9";"kg";"Non";"Non"
2022;"75003";"2060050";"4.13";"l";"Non";"Non"
2022;"75003";"2090127";"0.54";"l";"Non";"Non"
2022;"75003";"2090132";"3.28";"l";"Non";"Non"
2022;"75003";"2100059";"3.94";"l";"Non";"Non"
2022;"75003";"2100221";"1.62";"kg";"Non";"Non"
2022;"75003";"2100231";"2";"kg";"Non";"Non"
2022;"75003";"2110059";"4.33";"kg";"Non";"Non"
2022;"75003";"2110147";"0.58";"kg";"Non";"Non"
2022;"75003";"2110149";"1.5";"l";"Oui";"Non"
2022;"75003";"2110180";"0.1";"kg";"Oui";"Non"
2022;"75003";"2120132";"1.62";"kg";"Non";"Non"
2022;"75003";"2130049";"10.32";"l";"Non";"Non"
2022;"75003";"2130152";"4.1";"l";"Non";"Non"
2022;"75003";"2140215";"1.44";"kg";"Non";"Non"
2022;"75003";"2150067";"3.25";"l";"Non";"Non"
2022;"75003";"2150417";"0.11";"l";"Oui";"Non"
2022;"75003";"2160963";"0.12";"l";"Non";"Non"
2022;"75003";"2170458";"2.14";"kg";"Non";"Non"
2022;"75003";"2171067";"0.75";"l";"Oui";"Non"
2022;"75003";"2171119";"0.35";"kg";"Non";"Non"
2022;"75003";"2180124";"0.3";"l";"Non";"Non"
2022;"75003";"2180380";"0.13";"l";"Non";"Non"
2022;"75003";"2190499";"8.27";"l";"Non";"Non"
2022;"75003";"2190730";"1.3";"l";"Non";"Non"
2022;"75003";"2190808";"0.7";"l";"Oui";"Non"
2022;"75003";"2190811";"1.6";"l";"Oui";"Non"
2022;"75003";"2190874";"0.8";"l";"Oui";"Non"
2022;"75003";"2200905";"4";"l";"Non";"Non"
2022;"75003";"8700107";"1.14";"kg";"Non";"Non"
2022;"75003";"9000222";"16.94";"l";"Non";"Non"
2022;"75003";"9700070";"1";"kg";"Non";"Non"
2022;"75003";"9800420";"0.39";"l";"Non";"Non"
2022;"75003";"9900227";"16.65";"l";"Non";"Non"
2022;"75003";"9900257";"1";"kg";"Oui";"Non"
2022;"75004";"2000125";"0.5";"kg";"Oui";"Non"
2022;"75004";"2000202";"200";"l";"Non";"Non"
2022;"75004";"2000316";"5";"l";"Non";"Non"
2022;"75004";"2000517";"1.71";"l";"Non";"Non"
2022;"75004";"2010023";"10";"l";"Non";"Non"
2022;"75004";"2010239";"5";"l";"Non";"Non"
2022;"75004";"2010513";"1.5";"kg";"Non";"Non"
2022;"75004";"2020099";"3";"l";"Non";"Non"
2022;"75004";"2030342";"40";"l";"Non";"Non"
2022;"75004";"2040146";"0.5";"l";"Non";"Non"
2022;"75004";"2060050";"0.34";"l";"Non";"Non"
2022;"75004";"2060088";"10";"l";"Non";"Non"
2022;"75004";"2080145";"17";"l";"Non";"Non"
2022;"75004";"2090064";"40";"l";"Non";"Non"
2022;"75004";"2090096";"40";"l";"Non";"Non"
2022;"75004";"2090101";"25";"l";"Non";"Non"
2022;"75004";"2090111";"2.59";"l";"Non";"Non"
2022;"75004";"2090117";"30";"l";"Non";"Non"
2022;"75004";"2090127";"4.27";"l";"Non";"Non"
2022;"75004";"2090132";"3.93";"l";"Non";"Non"
2022;"75004";"2090146";"9";"l";"Oui";"Non"
2022;"75004";"2090157";"4";"l";"Non";"Non"
2022;"75004";"2090159";"0.23";"kg";"Non";"Non"
2022;"75004";"2090199";"2.5";"l";"Oui";"Non"
2022;"75004";"2090200";"5.25";"l";"Oui";"Non"
