"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"00000";"1030003";"1042.39";"l";"Oui";"Non"
2022;"00000";"2000003";"20";"l";"Non";"Non"
2022;"00000";"2000017";"27.1";"l";"Oui";"Non"
2022;"00000";"2000018";"14217.04";"kg";"Non";"Non"
2022;"00000";"2000044";"187";"l";"Non";"Non"
2022;"00000";"2000046";"30";"l";"Non";"Non"
2022;"00000";"2000067";"10";"l";"Non";"Non"
2022;"00000";"2000087";"50";"kg";"Non";"Non"
2022;"00000";"2000122";"2334.32";"l";"Non";"Non"
2022;"00000";"2000125";"9953.15";"kg";"Oui";"Non"
2022;"00000";"2000201";"2404.06";"l";"Non";"Non"
2022;"00000";"2000202";"545";"l";"Non";"Non"
2022;"00000";"2000210";"10";"l";"Non";"Non"
2022;"00000";"2000283";"10";"l";"Non";"Non"
2022;"00000";"2000299";"189.5";"l";"Non";"Non"
2022;"00000";"2000301";"180";"l";"Non";"Non"
2022;"00000";"2000316";"681.95";"l";"Non";"Non"
2022;"00000";"2000324";"6";"l";"Non";"Non"
2022;"00000";"2000327";"942.02";"l";"Non";"Non"
2022;"00000";"2000369";"0.2";"kg";"Non";"Non"
2022;"00000";"2000380";"66";"l";"Non";"Oui"
2022;"00000";"2000510";"60";"kg";"Oui";"Non"
2022;"00000";"2000517";"9695.30";"l";"Non";"Oui"
2022;"00000";"2000536";"40.28";"kg";"Non";"Non"
2022;"00000";"2010019";"10";"l";"Non";"Non"
2022;"00000";"2010023";"1135.32";"l";"Non";"Non"
2022;"00000";"2010027";"1";"l";"Non";"Non"
2022;"00000";"2010030";"255";"l";"Non";"Non"
2022;"00000";"2010035";"25";"l";"Non";"Non"
2022;"00000";"2010047";"5";"l";"Non";"Non"
2022;"00000";"2010099";"325.50";"l";"Oui";"Non"
2022;"00000";"2010100";"255.50";"l";"Oui";"Non"
2022;"00000";"2010101";"210.00";"l";"Oui";"Non"
2022;"00000";"2010123";"3250";"kg";"Oui";"Non"
2022;"00000";"2010130";"1990.35";"kg";"Non";"Non"
2022;"00000";"2010158";"65";"l";"Non";"Non"
2022;"00000";"2010239";"60";"l";"Non";"Non"
2022;"00000";"2010280";"85.99";"l";"Non";"Non"
2022;"00000";"2010282";"133";"l";"Non";"Non"
2022;"00000";"2010398";"1714.19";"kg";"Non";"Non"
2022;"00000";"2010410";"1210.48";"kg";"Oui";"Non"
2022;"00000";"2010420";"15";"l";"Oui";"Non"
2022;"00000";"2010427";"70";"l";"Non";"Non"
2022;"00000";"2010509";"975.0";"kg";"Non";"Non"
2022;"00000";"2010513";"432.0";"kg";"Non";"Non"
2022;"00000";"2010530";"0.8";"l";"Oui";"Non"
2022;"00000";"2020003";"6311.71";"kg";"Oui";"Non"
2022;"00000";"2020021";"15";"l";"Non";"Non"
2022;"00000";"2020064";"1";"l";"Non";"Non"
2022;"00000";"2020099";"751.35";"l";"Non";"Non"
2022;"00000";"2020114";"60";"l";"Non";"Non"
2022;"00000";"2020199";"36.3";"kg";"Non";"Non"
2022;"00000";"2020219";"37";"l";"Non";"Non"
2022;"00000";"2020226";"35";"l";"Non";"Non"
2022;"00000";"2020241";"10.0";"kg";"Non";"Non"
2022;"00000";"2020298";"15";"l";"Oui";"Non"
2022;"00000";"2020474";"5";"l";"Non";"Non"
2022;"00000";"2030011";"535";"l";"Non";"Non"
2022;"00000";"2030071";"1840";"kg";"Non";"Oui"
2022;"00000";"2030089";"3";"l";"Non";"Non"
2022;"00000";"2030175";"320.66";"kg";"Oui";"Non"
2022;"00000";"2030184";"3";"kg";"Oui";"Non"
2022;"00000";"2030273";"10.50";"l";"Oui";"Non"
2022;"00000";"2030323";"45827.5707";"l";"Non";"Non"
2022;"00000";"2030332";"959";"l";"Non";"Non"
2022;"00000";"2030342";"1890";"l";"Non";"Non"
2022;"00000";"2030404";"210";"l";"Non";"Non"
2022;"00000";"2030457";"18.5";"kg";"Non";"Non"
2022;"00000";"2030466";"1536.69";"kg";"Oui";"Non"
2022;"00000";"2040080";"1460.25";"kg";"Non";"Non"
2022;"00000";"2040146";"23981.5699";"l";"Non";"Non"
2022;"00000";"2040201";"60";"l";"Non";"Non"
2022;"00000";"2050046";"134.0";"kg";"Non";"Non"
2022;"00000";"2050075";"13.52";"kg";"Non";"Non"
2022;"00000";"2050076";"10";"kg";"Non";"Non"
2022;"00000";"2060002";"82.22";"l";"Non";"Non"
2022;"00000";"2060019";"0.08";"l";"Non";"Non"
2022;"00000";"2060026";"3";"kg";"Non";"Non"
2022;"00000";"2060034";"1387.5";"kg";"Non";"Non"
2022;"00000";"2060045";"1054.50";"kg";"Non";"Non"
2022;"00000";"2060050";"942.34";"l";"Non";"Oui"
2022;"00000";"2060051";"91";"l";"Non";"Non"
2022;"00000";"2060063";"2.02";"kg";"Non";"Non"
2022;"00000";"2060064";"1";"l";"Non";"Non"
2022;"00000";"2060084";"609.5";"kg";"Non";"Oui"
2022;"00000";"2060085";"81.51";"l";"Non";"Non"
2022;"00000";"2060086";"93.28";"kg";"Non";"Non"
2022;"00000";"2060088";"1490";"l";"Non";"Non"
2022;"00000";"2060098";"275.17";"l";"Non";"Oui"
2022;"00000";"2060113";"15.55";"l";"Non";"Non"
2022;"00000";"2060116";"220.48";"l";"Non";"Non"
2022;"00000";"2060118";"374";"l";"Non";"Non"
2022;"00000";"2060119";"1.66";"kg";"Non";"Non"
2022;"00000";"2060127";"2338.64";"l";"Non";"Non"
2022;"00000";"2060130";"49";"l";"Non";"Non"
2022;"00000";"2060131";"181";"l";"Non";"Non"
2022;"00000";"2060132";"118";"l";"Non";"Non"
2022;"00000";"2060134";"630";"kg";"Non";"Non"
2022;"00000";"2060172";"640.20";"l";"Non";"Oui"
2022;"00000";"2060194";"1700";"kg";"Non";"Non"
2022;"00000";"2070107";"174";"l";"Non";"Non"
2022;"00000";"2070133";"825";"l";"Non";"Non"
2022;"00000";"2070143";"10";"l";"Non";"Non"
2022;"00000";"2070184";"1300";"l";"Non";"Non"
2022;"00000";"2070221";"39";"l";"Non";"Non"
2022;"00000";"2080010";"200";"l";"Non";"Non"
2022;"00000";"2080019";"1.2";"l";"Non";"Non"
2022;"00000";"2080025";"100";"l";"Non";"Non"
2022;"00000";"2080026";"212";"l";"Non";"Non"
2022;"00000";"2080029";"35.47";"l";"Non";"Non"
2022;"00000";"2080038";"1379.52";"l";"Non";"Non"
2022;"00000";"2080049";"45.59";"l";"Non";"Non"
2022;"00000";"2080054";"8.4";"l";"Oui";"Non"
2022;"00000";"2080060";"24";"l";"Non";"Non"
2022;"00000";"2080063";"110.49";"kg";"Non";"Non"
2022;"00000";"2080070";"135";"kg";"Non";"Non"
2022;"00000";"2080091";"1.5";"kg";"Oui";"Non"
2022;"00000";"2080094";"3.0";"kg";"Non";"Non"
2022;"00000";"2080098";"2600";"l";"Non";"Oui"
2022;"00000";"2080102";"140";"l";"Non";"Oui"
2022;"00000";"2080105";"5344";"l";"Non";"Non"
