"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"14440";"2100215";"240";"l";"Non";"Non"
2022;"14210";"2030071";"2015";"kg";"Non";"Non"
2022;"14210";"2030323";"186.18";"l";"Non";"Non"
2022;"14210";"2030332";"10";"l";"Non";"Non"
2022;"14210";"2030342";"1620";"l";"Non";"Non"
2022;"14210";"2030404";"160";"l";"Non";"Non"
2022;"14210";"2040146";"17.21";"l";"Non";"Non"
2022;"14210";"2050046";"12.0";"kg";"Non";"Non"
2022;"14210";"2060002";"15";"l";"Non";"Non"
2022;"14210";"2060051";"25";"l";"Non";"Non"
2022;"14210";"2060063";"0.5";"kg";"Non";"Non"
2022;"14210";"2060084";"6";"kg";"Non";"Non"
2022;"14210";"2060088";"360";"l";"Non";"Non"
2022;"14210";"2060098";"1";"l";"Non";"Non"
2022;"14210";"2060116";"120";"l";"Non";"Non"
2022;"14210";"2060118";"260";"l";"Non";"Non"
2022;"14210";"2060119";"0.8";"kg";"Non";"Non"
2022;"14210";"2060127";"23.93";"l";"Non";"Non"
2022;"14210";"2060131";"5";"l";"Non";"Non"
2022;"14210";"2060177";"19.6";"kg";"Non";"Non"
2022;"14210";"2060194";"96";"kg";"Non";"Non"
2022;"14210";"2070184";"670";"l";"Non";"Non"
2022;"14210";"2070185";"20";"l";"Non";"Non"
2022;"14210";"2070221";"90";"l";"Non";"Non"
2022;"14210";"2080026";"65";"l";"Non";"Non"
2022;"14210";"2080098";"228.8";"l";"Non";"Non"
2022;"14210";"2080105";"45";"l";"Non";"Non"
2022;"14210";"2080114";"30";"l";"Non";"Non"
2022;"14210";"2080117";"1.2";"kg";"Non";"Non"
2022;"14210";"2080123";"11.0";"kg";"Non";"Non"
2022;"14210";"2080125";"5.5";"kg";"Non";"Non"
2022;"14210";"2080145";"878.0";"l";"Non";"Non"
2022;"14210";"2080147";"20";"l";"Non";"Non"
2022;"14210";"2090008";"0.86";"l";"Non";"Non"
2022;"14210";"2090016";"350";"l";"Non";"Non"
2022;"14210";"2090037";"11";"kg";"Non";"Non"
2022;"14210";"2090041";"5.5";"kg";"Non";"Non"
2022;"14210";"2090050";"792";"kg";"Non";"Non"
2022;"14210";"2090054";"0.25";"kg";"Non";"Non"
2022;"14210";"2090057";"5.20";"kg";"Non";"Non"
2022;"14210";"2090080";"105";"l";"Non";"Non"
2022;"14210";"2090093";"180";"l";"Non";"Non"
2022;"14210";"2090095";"20";"l";"Non";"Non"
2022;"14210";"2090101";"30";"l";"Non";"Non"
2022;"14210";"2090111";"65.05";"l";"Non";"Non"
2022;"14210";"2090113";"510";"l";"Non";"Non"
2022;"14210";"2090117";"75";"l";"Non";"Non"
2022;"14210";"2090118";"540.08";"l";"Non";"Non"
2022;"14210";"2090136";"391.8";"l";"Non";"Non"
2022;"14210";"2090153";"20";"kg";"Non";"Non"
2022;"14210";"2090157";"97";"l";"Non";"Non"
2022;"14210";"2090159";"1.75";"kg";"Non";"Non"
2022;"14210";"2090186";"25";"l";"Non";"Non"
2022;"14210";"2090188";"90";"l";"Non";"Non"
2022;"14210";"2100009";"14.77";"kg";"Non";"Non"
2022;"14210";"2100018";"55";"l";"Non";"Non"
2022;"14210";"2100026";"34";"l";"Non";"Non"
2022;"14210";"2100028";"35";"l";"Non";"Non"
2022;"14210";"2100030";"680";"kg";"Non";"Non"
2022;"14210";"2100037";"145";"l";"Non";"Non"
2022;"14210";"2100052";"306.9";"l";"Non";"Non"
2022;"14210";"2100053";"35";"l";"Non";"Non"
2022;"14210";"2100057";"118.62";"l";"Non";"Non"
2022;"14210";"2100069";"0.3";"kg";"Non";"Non"
2022;"14210";"2100080";"25";"l";"Non";"Non"
2022;"14210";"2100091";"10";"l";"Non";"Non"
2022;"14210";"2100108";"260";"l";"Non";"Non"
2022;"14210";"2100111";"90";"l";"Non";"Non"
2022;"14210";"2100112";"126.99";"l";"Non";"Non"
2022;"14210";"2100138";"1155.74";"l";"Non";"Non"
2022;"14210";"2100151";"361.66";"l";"Non";"Non"
2022;"14210";"2100186";"340";"l";"Non";"Non"
2022;"14210";"2100194";"496.5";"l";"Non";"Non"
2022;"14210";"2100211";"5";"l";"Non";"Non"
2022;"14210";"2100215";"260";"l";"Non";"Non"
2022;"14210";"2100227";"10";"l";"Non";"Non"
2022;"14210";"2100234";"5";"l";"Non";"Non"
2022;"14210";"2110004";"140";"l";"Non";"Non"
2022;"14210";"2110011";"292.58";"l";"Non";"Non"
2022;"14210";"2110012";"355.5";"l";"Non";"Non"
2022;"14210";"2110018";"2.21";"l";"Non";"Non"
2022;"14210";"2110063";"3.35";"kg";"Non";"Non"
2022;"14210";"2110077";"100";"l";"Non";"Non"
2022;"14210";"2110086";"1";"l";"Non";"Non"
