"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"16000";"2000018";"80";"kg";"Non";"Non"
2022;"16190";"2090137";"1400";"kg";"Non";"Non"
2022;"16190";"2090153";"54";"kg";"Non";"Non"
2022;"16190";"2090159";"3.50";"kg";"Non";"Non"
2022;"16190";"2090186";"305";"l";"Non";"Non"
2022;"16190";"2100002";"15.12";"l";"Non";"Non"
2022;"16190";"2100009";"0.6";"kg";"Non";"Non"
2022;"16190";"2100014";"34.35";"kg";"Non";"Non"
2022;"16190";"2100018";"85";"l";"Non";"Non"
2022;"16190";"2100021";"1230";"kg";"Non";"Non"
2022;"16190";"2100026";"5";"l";"Non";"Non"
2022;"16190";"2100030";"1160";"kg";"Non";"Non"
2022;"16190";"2100037";"2.5";"l";"Non";"Non"
2022;"16190";"2100038";"600";"kg";"Non";"Non"
2022;"16190";"2100041";"120";"l";"Non";"Non"
2022;"16190";"2100052";"10";"l";"Non";"Non"
2022;"16190";"2100056";"85";"l";"Non";"Non"
2022;"16190";"2100057";"1119";"l";"Non";"Non"
2022;"16190";"2100059";"50";"l";"Non";"Non"
2022;"16190";"2100060";"60";"l";"Non";"Non"
2022;"16190";"2100069";"0.46";"kg";"Non";"Non"
2022;"16190";"2100103";"0.1";"kg";"Non";"Non"
2022;"16190";"2100108";"270";"l";"Non";"Non"
2022;"16190";"2100111";"5";"l";"Non";"Non"
2022;"16190";"2100121";"60";"l";"Non";"Non"
2022;"16190";"2100138";"440";"l";"Non";"Non"
2022;"16190";"2100140";"105";"l";"Non";"Non"
2022;"16190";"2100172";"7";"l";"Non";"Non"
2022;"16190";"2100178";"228";"kg";"Non";"Non"
2022;"16190";"2100181";"504";"kg";"Non";"Non"
2022;"16190";"2100186";"100";"l";"Non";"Non"
2022;"16190";"2100206";"300";"l";"Non";"Non"
2022;"16190";"2100221";"875";"kg";"Non";"Non"
2022;"16190";"2110004";"280";"l";"Non";"Non"
2022;"16190";"2110018";"115.06";"l";"Non";"Non"
2022;"16190";"2110059";"30";"kg";"Non";"Non"
2022;"16190";"2110063";"2.75";"kg";"Non";"Non"
2022;"16190";"2110073";"24";"l";"Non";"Non"
2022;"16190";"2110086";"4";"l";"Non";"Non"
2022;"16190";"2110101";"36";"l";"Non";"Non"
2022;"16190";"2110102";"388.59";"l";"Non";"Non"
2022;"16190";"2110103";"0.3";"kg";"Non";"Non"
2022;"16190";"2110104";"12";"l";"Non";"Non"
2022;"16190";"2110105";"20";"l";"Non";"Non"
2022;"16190";"2110121";"1";"l";"Non";"Non"
2022;"16190";"2110141";"5";"l";"Non";"Non"
2022;"16190";"2110143";"3";"l";"Non";"Non"
2022;"16190";"2110148";"41";"l";"Non";"Non"
2022;"16190";"2110152";"1";"l";"Non";"Non"
2022;"16190";"2110167";"10";"l";"Non";"Non"
2022;"16190";"2110173";"300";"kg";"Non";"Non"
2022;"16190";"2110197";"5";"l";"Non";"Non"
2022;"16190";"2120041";"2.16";"l";"Non";"Non"
2022;"16190";"2120048";"70";"l";"Non";"Non"
2022;"16190";"2120057";"10";"l";"Non";"Non"
2022;"16190";"2120066";"130";"l";"Non";"Non"
2022;"16190";"2120089";"10";"l";"Non";"Non"
2022;"16190";"2120120";"5";"l";"Non";"Non"
2022;"16190";"2120132";"130";"kg";"Non";"Non"
2022;"16190";"2120143";"420";"l";"Non";"Non"
2022;"16190";"2120153";"80";"l";"Non";"Non"
2022;"16190";"2120160";"10";"l";"Non";"Non"
2022;"16190";"2120177";"20";"kg";"Non";"Non"
2022;"16190";"2120179";"480";"kg";"Non";"Non"
2022;"16190";"2120206";"20";"l";"Non";"Non"
2022;"16190";"2130038";"10";"l";"Non";"Non"
2022;"16190";"2130049";"81";"l";"Non";"Non"
2022;"16190";"2130059";"103";"l";"Non";"Non"
2022;"16190";"2130061";"105";"l";"Non";"Non"
2022;"16190";"2130063";"459";"l";"Non";"Non"
2022;"16190";"2130068";"20";"l";"Non";"Non"
2022;"16190";"2130069";"26";"l";"Non";"Non"
2022;"16190";"2130083";"79.5";"l";"Non";"Non"
2022;"16190";"2130086";"180";"kg";"Non";"Non"
2022;"16190";"2130091";"63";"l";"Non";"Non"
2022;"16190";"2130115";"20";"kg";"Non";"Non"
2022;"16190";"2130152";"80.1";"l";"Non";"Non"
2022;"16190";"2130164";"5";"l";"Non";"Non"
2022;"16190";"2130202";"120";"l";"Non";"Non"
2022;"16190";"2130212";"5";"kg";"Non";"Non"
2022;"16190";"2130249";"80";"l";"Non";"Non"
2022;"16190";"2130251";"44";"l";"Non";"Non"
2022;"16190";"2130265";"10";"l";"Non";"Non"
2022;"16190";"2130266";"453";"l";"Non";"Non"
2022;"16190";"2140040";"85";"kg";"Non";"Non"
2022;"16190";"2140050";"5";"kg";"Non";"Non"
2022;"16190";"2140051";"15.12";"l";"Non";"Non"
2022;"16190";"2140098";"40";"l";"Non";"Non"
2022;"16190";"2140127";"28";"kg";"Non";"Non"
2022;"16190";"2140133";"30";"kg";"Non";"Non"
2022;"16190";"2140147";"25";"l";"Non";"Non"
2022;"16190";"2140148";"25";"l";"Non";"Non"
2022;"16190";"2140168";"19.25";"l";"Non";"Non"
2022;"16190";"2140173";"60";"l";"Non";"Non"
2022;"16190";"2140175";"15";"l";"Non";"Non"
2022;"16190";"2140177";"3";"l";"Non";"Non"
2022;"16190";"2140179";"26.04";"l";"Non";"Non"
2022;"16190";"2140199";"21";"kg";"Non";"Non"
2022;"16190";"2140207";"3";"l";"Non";"Non"
2022;"16190";"2140257";"425";"l";"Non";"Non"
2022;"16190";"2150019";"19.9";"l";"Non";"Non"
2022;"16190";"2150022";"291";"l";"Non";"Non"
2022;"16190";"2150028";"1355";"l";"Non";"Non"
2022;"16190";"2150067";"110";"l";"Non";"Non"
2022;"16190";"2150081";"10";"l";"Non";"Non"
2022;"16190";"2150084";"320";"l";"Non";"Non"
2022;"16190";"2150085";"35";"l";"Non";"Non"
