"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"11290";"2170992";"7";"l";"Non";"Non"
2022;"09000";"2000517";"0.08";"l";"Non";"Non"
2022;"09000";"2000536";"1.3";"kg";"Non";"Non"
2022;"09000";"2010398";"0.12";"kg";"Non";"Non"
2022;"09000";"2060050";"0.02";"l";"Non";"Non"
2022;"09000";"2080105";"10";"l";"Non";"Non"
2022;"09000";"2090113";"10";"l";"Non";"Non"
2022;"09000";"2090132";"2.39";"l";"Non";"Non"
2022;"09000";"2100009";"0.4";"kg";"Non";"Non"
2022;"09000";"2100014";"0.27";"kg";"Non";"Non"
2022;"09000";"2100030";"160";"kg";"Non";"Non"
2022;"09000";"2100138";"5";"l";"Non";"Non"
2022;"09000";"2110012";"1";"l";"Non";"Non"
2022;"09000";"2110040";"0.1";"kg";"Oui";"Non"
2022;"09000";"2110102";"5.5";"l";"Non";"Non"
2022;"09000";"2110143";"1";"l";"Non";"Non"
2022;"09000";"2110152";"1";"l";"Non";"Non"
2022;"09000";"2110173";"0.31";"kg";"Non";"Non"
2022;"09000";"2120048";"66";"l";"Non";"Non"
2022;"09000";"2120130";"0.8";"kg";"Non";"Non"
2022;"09000";"2130049";"1.24";"l";"Non";"Non"
2022;"09000";"2130152";"0.02";"l";"Non";"Non"
2022;"09000";"2140252";"1.2";"kg";"Oui";"Non"
2022;"09000";"2150012";"1";"l";"Non";"Non"
2022;"09000";"2150067";"0.21";"l";"Non";"Non"
2022;"09000";"2150140";"140.1";"l";"Non";"Non"
2022;"09000";"2150387";"1";"l";"Non";"Non"
2022;"09000";"2150483";"10";"kg";"Non";"Non"
2022;"09000";"2160527";"10";"l";"Non";"Non"
2022;"09000";"2160615";"4";"kg";"Oui";"Non"
2022;"09000";"2160817";"30";"l";"Non";"Non"
2022;"09000";"2160963";"0.11";"l";"Non";"Non"
2022;"09000";"2170428";"0.06";"kg";"Non";"Non"
2022;"09000";"2180124";"0.4";"l";"Non";"Non"
2022;"09000";"2180380";"0.18";"l";"Non";"Non"
2022;"09000";"2180651";"0.08";"kg";"Non";"Non"
2022;"09000";"2190730";"0.16";"l";"Non";"Non"
2022;"09000";"2200753";"15";"l";"Non";"Non"
2022;"09000";"8700107";"1.16";"kg";"Non";"Non"
2022;"09000";"9000222";"1.09";"l";"Non";"Non"
2022;"09000";"9200215";"2.5";"kg";"Non";"Non"
