"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"10000";"2000003";"metazachlore";"67129-08-2";"18";"CMR";"";"Non"
2022;"08200";"9500568";"fludioxonil";"131341-86-1";"0.75";"Env A";"";"Non"
2022;"08200";"9500628";"bentazone";"25057-89-0";"5.22";"Env B";"";"Non"
2022;"08200";"9600093";"azoxystrobine";"131860-33-8";"5.0";"Santé A";"";"Non"
2022;"08200";"9700332";"azoxystrobine";"131860-33-8";"1.5";"Santé A";"";"Non"
2022;"08200";"9800106";"metribuzine";"21087-64-9";"1.4";"Env A";"";"Non"
2022;"08200";"9800219";"ethephon";"16672-87-0";"0.6";"Santé A";"";"Non"
2022;"08200";"9800245";"soufre pour pulverisation (micronise)";"7704-34-9";"1.384";"Autre";"";"Non"
2022;"08200";"9800336";"lambda-cyhalothrine";"91465-08-6";"1.1";"Santé A";"Substitution";"Non"
2022;"08200";"9800420";"spiroxamine";"118134-30-8";"0.06";"CMR";"";"Non"
2022;"08200";"9900227";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"8";"Santé A";"Substitution";"Non"
2022;"08200";"9900251";"dimethenamide-p (dmta-p)";"163515-14-8";"43.2";"Env A";"";"Non"
2022;"08200";"9900446";"cymoxanil";"57966-95-7";"0.373";"CMR";"";"Non"
2022;"08200";"9900446";"fludioxonil";"131341-86-1";"0.1865";"Env A";"";"Non"
2022;"08200";"9900446";"metalaxyl-m";"70630-17-0";"0.632608";"Autre";"";"Non"
2022;"08210";"1030003";"polymere carboxyl sulfone cationique";"8061-53-8";"2.46";"Autre";"";"Non"
2022;"08210";"2000003";"metazachlore";"67129-08-2";"10";"CMR";"";"Non"
2022;"08210";"2000122";"metalaxyl-m";"70630-17-0";"0.230656";"Autre";"";"Non"
2022;"08210";"2000201";"silthiofam";"175217-20-6";"1.31375";"Env A";"";"Non"
2022;"08210";"2000299";"clomazone";"81777-89-1";"2.16";"Env A";"";"Non"
2022;"08210";"2000301";"foramsulfuron";"173159-57-4";"2.5875";"CMR";"";"Non"
2022;"08210";"2000301";"isoxadifen-ethyl";"163520-33-0";"2.5875";"Env A";"";"Non"
2022;"08210";"2000316";"esfenvalerate";"66230-04-4";"1.45";"Santé A";"Substitution";"Non"
2022;"08210";"2000324";"deltamethrine";"52918-63-5";"3.2";"Santé A";"";"Non"
2022;"08210";"2000369";"metsulfuron-methyl";"74223-64-6";"0.02";"Env A";"Substitution";"Non"
2022;"08210";"2010023";"deltamethrine";"52918-63-5";"0.135";"Santé A";"";"Non"
2022;"08210";"2010030";"mepiquat-chlorure";"24307-26-4";"6";"Env B";"";"Non"
2022;"08210";"2010030";"prohexadione-calcium";"127277-53-6";"1.0";"Env B";"";"Non"
2022;"08210";"2010239";"florasulame";"145701-23-1";"0.015";"Env A";"";"Non"
2022;"08210";"2010239";"fluroxypyr-meptyl";"81406-37-3";"2.1615";"Env A";"";"Non"
2022;"08210";"2010280";"metconazole";"125116-23-6";"7.38";"CMR";"";"Non"
2022;"08210";"2020099";"trifloxystrobine";"141517-21-7";"19.0";"Env A";"";"Non"
2022;"08210";"2020474";"metazachlore";"67129-08-2";"80";"CMR";"";"Non"
2022;"08210";"2030323";"fludioxonil";"131341-86-1";"1.56125";"Env A";"";"Non"
2022;"08210";"2030342";"chlormequat chlorure";"999-81-5";"368.0";"Autre";"";"Non"
2022;"08210";"2040146";"tefluthrine";"79538-32-2";"0.01";"Santé A";"";"Non"
2022;"08210";"2040338";"dicamba";"1918-00-9";"9.12";"Env B";"";"Non"
2022;"08210";"2050075";"boscalid";"188425-85-6";"6.25";"Env A";"";"Non"
2022;"08210";"2060088";"benoxacor";"98730-04-2";"1.9";"Autre";"";"Non"
2022;"08210";"2060088";"mesotrione";"104206-82-8";"3.8";"CMR";"";"Non"
2022;"08210";"2060088";"s-metolachlore";"87392-12-9";"38";"Env A";"";"Non"
2022;"08210";"2060116";"prothioconazole";"178928-70-6";"2.50";"Env A";"";"Non"
2022;"08210";"2060131";"2,4-d";"94-75-7";"3.720";"Env B";"";"Non"
2022;"08210";"2060131";"triclopyr";"55335-06-3";"4.144";"Env B";"";"Non"
2022;"08210";"2060194";"tefluthrine";"79538-32-2";"0.72";"Santé A";"";"Non"
2022;"08210";"2070221";"metazachlore";"67129-08-2";"8";"CMR";"";"Non"
2022;"08210";"2070221";"quinmerac";"90717-03-6";"2";"Env A";"";"Non"
2022;"08210";"2080026";"nicosulfuron";"111991-09-4";"9.9";"Env A";"";"Non"
2022;"08210";"2080117";"prosulfuron";"94125-34-5";"0.7875";"Env A";"Substitution";"Non"
2022;"08210";"2080125";"metsulfuron-methyl";"74223-64-6";"6.5";"Env A";"Substitution";"Non"
2022;"08210";"2080145";"diflufenicanil";"83164-33-4";"93.40";"Env B";"";"Non"
2022;"08210";"2080145";"flufenacet";"142459-58-3";"186.80";"Env A";"";"Non"
2022;"08210";"2090009";"pendimethaline";"40487-42-1";"39.6";"Env A";"Substitution";"Non"
2022;"08210";"2090009";"picolinafen";"137641-05-5";"0.9";"Env A";"";"Non"
2022;"08210";"2090016";"imazamox";"114311-32-9";"2.171";"Env A";"Substitution";"Non"
2022;"08210";"2090016";"pendimethaline";"40487-42-1";"32.5";"Env A";"Substitution";"Non"
2022;"08210";"2090039";"ethofumesate";"26225-79-6";"2.5";"Env A";"";"Non"
2022;"08210";"2090041";"cloquintocet-mexyl";"99607-70-2";"0.525";"Autre";"";"Non"
2022;"08210";"2090041";"pyroxsulame";"422556-08-9";"0.525";"Env A";"";"Non"
2022;"08210";"2090042";"cloquintocet-mexyl";"99607-70-2";"0.07513";"Autre";"";"Non"
2022;"08210";"2090042";"florasulame";"145701-23-1";"0.02508";"Env A";"";"Non"
2022;"08210";"2090042";"pyroxsulame";"422556-08-9";"0.07513";"Env A";"";"Non"
2022;"08210";"2090050";"cypermethrine";"52315-07-8";"10.944";"Env A";"";"Non"
2022;"08210";"2090057";"metsulfuron-methyl";"74223-64-6";"0.58275";"Env A";"Substitution";"Non"
2022;"08210";"2090057";"tribenuron-methyle";"101200-48-0";"1.1655";"Env A";"";"Non"
2022;"08210";"2090080";"sulcotrione";"99105-77-8";"4.5";"CMR";"";"Non"
2022;"08210";"2090093";"glyphosate";"1071-83-6";"234";"Env A";"";"Non"
2022;"08210";"2090111";"cypermethrine";"52315-07-8";"4.047";"Env A";"";"Non"
2022;"08210";"2090113";"dimethenamide-p (dmta-p)";"163515-14-8";"144.50";"Env A";"";"Non"
2022;"08210";"2090113";"pendimethaline";"40487-42-1";"170";"Env A";"Substitution";"Non"
2022;"08210";"2090117";"tebuconazole";"107534-96-3";"20";"CMR";"";"Non"
2022;"08210";"2090118";"flufenacet";"142459-58-3";"6.6";"Env A";"";"Non"
2022;"08210";"2090118";"pendimethaline";"40487-42-1";"33";"Env A";"Substitution";"Non"
2022;"08210";"2090153";"dicamba";"1918-00-9";"24.0";"Env B";"";"Non"
2022;"08210";"2090153";"tritosulfuron";"142469-14-5";"5.00";"Env A";"";"Non"
2022;"08210";"2090159";"tritosulfuron";"142469-14-5";"6.9972";"Env A";"";"Non"
2022;"08210";"2090186";"prosulfocarbe";"52888-80-9";"16";"Env A";"";"Non"
2022;"08210";"2090188";"glyphosate";"1071-83-6";"172.8";"Env A";"";"Non"
2022;"08210";"2100009";"thifensulfuron-methyle";"79277-27-3";"2.45754";"Env A";"";"Non"
2022;"08210";"2100009";"tribenuron-methyle";"101200-48-0";"1.23246";"Env A";"";"Non"
2022;"08210";"2100018";"tebuconazole";"107534-96-3";"23.75";"CMR";"";"Non"
2022;"08210";"2100026";"cypermethrine";"52315-07-8";"20";"Env A";"";"Non"
