"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"00000";"2010420";"glyphosate";"1071-83-6";"5.4";"Env A";"";"Non"
2022;"00000";"1030003";"polymere carboxyl sulfone cationique";"8061-53-8";"512.85588";"Autre";"";"Non"
2022;"00000";"2000003";"metazachlore";"67129-08-2";"10";"CMR";"";"Non"
2022;"00000";"2000017";"tau-fluvalinate";"102851-06-9";"6.504";"Env A";"";"Non"
2022;"00000";"2000018";"soufre pour pulverisation (micronise)";"7704-34-9";"11373.632";"Autre";"";"Non"
2022;"00000";"2000044";"fluazifop-p-butyl";"79241-46-6";"23.375";"CMR";"";"Non"
2022;"00000";"2000046";"ethofumesate";"26225-79-6";"4.5";"Env A";"";"Non"
2022;"00000";"2000046";"metamitrone";"41394-05-2";"10.5";"Env A";"";"Non"
2022;"00000";"2000067";"acide benzoique";"65-85-0";"0.9";"Santé A";"";"Non"
2022;"00000";"2000087";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"18.75";"Santé A";"Substitution";"Non"
2022;"00000";"2000122";"metalaxyl-m";"70630-17-0";"791.801344";"Autre";"";"Non"
2022;"00000";"2000125";"cuivre du sulfate de cuivre";"8011-63-0";"1990.630";"Env A";"Substitution";"Non"
2022;"00000";"2000201";"silthiofam";"175217-20-6";"300.50750";"Env A";"";"Non"
2022;"00000";"2000202";"glyphosate";"1071-83-6";"196.2";"Env A";"";"Non"
2022;"00000";"2000210";"cuivre de l'oxychlorure de cuivre";"1332-40-7";"3.575";"Santé A";"Substitution";"Non"
2022;"00000";"2000283";"chlorure d'alkyl dimethyl benzyl ammonium";"68424-85-1";"1";"Autre";"";"Non"
2022;"00000";"2000283";"chlorure de didecyl dimethyl ammonium";"7173-51-5";"0.28";"Autre";"";"Non"
2022;"00000";"2000283";"glutaraldehyde";"111-30-8";"1";"Autre";"";"Non"
2022;"00000";"2000299";"clomazone";"81777-89-1";"68.22";"Env A";"";"Non"
2022;"00000";"2000301";"foramsulfuron";"173159-57-4";"4.0500";"CMR";"";"Non"
2022;"00000";"2000301";"isoxadifen-ethyl";"163520-33-0";"4.0500";"Env A";"";"Non"
2022;"00000";"2000316";"esfenvalerate";"66230-04-4";"34.0975";"Santé A";"Substitution";"Non"
2022;"00000";"2000324";"deltamethrine";"52918-63-5";"0.6";"Santé A";"";"Non"
2022;"00000";"2000327";"carfentrazone ethyl";"128639-02-1";"56.5212";"Env A";"";"Non"
2022;"00000";"2000369";"metsulfuron-methyl";"74223-64-6";"0.04";"Env A";"Substitution";"Non"
2022;"00000";"2000380";"clethodime";"99129-21-2";"7.920";"Env B";"";"Oui"
2022;"00000";"2000510";"fer sous forme de sulfate de fer";"7720-78-7";"4.8";"Autre";"";"Non"
2022;"00000";"2000517";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"3490.3080";"Santé A";"Substitution";"Oui"
2022;"00000";"2000536";"1-dodecanol";"112-53-8";"12.32568";"Env A";"";"Non"
2022;"00000";"2000536";"1-tetradecanol";"112-72-1";"2.85988";"Env A";"";"Non"
2022;"00000";"2000536";"e8,e10-dodecadiene-1-ol";"33956-49-9";"21.10672";"Env A";"";"Non"
2022;"00000";"2010019";"quizalofop-p-ethyl";"100646-51-3";"0.5";"Env A";"";"Non"
2022;"00000";"2010023";"deltamethrine";"52918-63-5";"17.02980";"Santé A";"";"Non"
2022;"00000";"2010027";"milbemectine";"51596-10-2";"0.0093";"Env A";"";"Non"
2022;"00000";"2010030";"mepiquat-chlorure";"24307-26-4";"76.5";"Env B";"";"Non"
2022;"00000";"2060118";"fluoxastrobine";"361377-29-9";"18.70";"CMR";"";"Non"
2022;"00000";"2060118";"prothioconazole";"178928-70-6";"37.4";"Env A";"";"Non"
2022;"00000";"2060119";"metsulfuron-methyl";"74223-64-6";"0.332";"Env A";"Substitution";"Non"
2022;"00000";"2060127";"prothioconazole";"178928-70-6";"233.864";"Env A";"";"Non"
2022;"00000";"2060130";"spinosad";"168316-95-8";"0.01176";"Env A";"";"Non"
2022;"00000";"2060131";"2,4-d";"94-75-7";"16.833";"Env B";"";"Non"
2022;"00000";"2060131";"triclopyr";"55335-06-3";"18.7516";"Env B";"";"Non"
2022;"00000";"2060132";"spinosad";"168316-95-8";"14.16";"Env A";"";"Non"
