"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"16000";"2000018";"soufre pour pulverisation (micronise)";"7704-34-9";"64";"Autre";"";"Non"
2022;"16000";"2000316";"esfenvalerate";"66230-04-4";"0.5";"Santé A";"Substitution";"Non"
2022;"16000";"2000327";"carfentrazone ethyl";"128639-02-1";"0.9";"Env A";"";"Non"
2022;"16000";"2010130";"cuivre de l'oxyde cuivreux";"1317-39-1";"30";"Env A";"Substitution";"Non"
2022;"16000";"2050046";"flonicamide";"158062-67-0";"0.25";"Autre";"";"Non"
2022;"16000";"2060050";"metrafenone";"220899-03-6";"4";"Env A";"";"Non"
2022;"16000";"2060113";"bifenazate";"149877-41-8";"0.6";"Env A";"";"Non"
2022;"16000";"2060118";"fluoxastrobine";"361377-29-9";"0.768";"CMR";"";"Non"
2022;"16000";"2060118";"prothioconazole";"178928-70-6";"1.536";"Env A";"";"Non"
2022;"16000";"2060132";"spinosad";"168316-95-8";"0.6";"Env A";"";"Non"
2022;"16000";"2060172";"tetraconazole";"112281-77-3";"0.1";"Env A";"";"Non"
2022;"16000";"2070133";"napropamide";"15299-99-7";"4.50";"Env A";"";"Non"
2022;"16000";"2080102";"azoxystrobine";"131860-33-8";"1";"Santé A";"";"Non"
2022;"16000";"2080102";"difenoconazole";"119446-68-3";"0.625";"Env A";"";"Non"
2022;"16000";"2080105";"glyphosate";"1071-83-6";"39.6";"Env A";"";"Non"
2022;"16000";"2080136";"pyridate";"55512-33-9";"0.45";"Env A";"";"Non"
2022;"16000";"2090132";"cuivre du sulfate tribasique";"12527-76-3";"30.9256";"Env A";"Substitution";"Non"
2022;"16000";"2090132";"zoxamide";"156052-68-5";"4.64";"Env A";"";"Non"
2022;"16000";"2090134";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"7.5";"Santé A";"Substitution";"Non"
2022;"16000";"2090137";"cuivre du sulfate de cuivre";"8011-63-0";"8";"Env A";"Substitution";"Non"
2022;"16000";"2100030";"phosphate ferrique";"10045-86-0";"0.594";"Autre";"";"Non"
2022;"16000";"2100041";"phosphonate de potassium";"13492-26-7";"241.6";"Autre";"";"Non"
2022;"16000";"2100067";"daminozide";"1596-84-5";"2.55";"Autre";"";"Non"
2022;"16000";"2100114";"cyprodinyl";"121552-61-2";"0.375";"Env A";"";"Non"
2022;"16000";"2100114";"fludioxonil";"131341-86-1";"0.25";"Env A";"";"Non"
2022;"16000";"2100138";"cloquintocet-mexyl";"99607-70-2";"0.125";"Autre";"";"Non"
2022;"16000";"2100138";"pinoxaden";"243973-20-8";"0.5";"CMR";"";"Non"
2022;"16000";"2100181";"fluopicolide";"239110-15-7";"1.332";"Env A";"";"Non"
2022;"16000";"2100181";"fosetyl-aluminium";"39148-24-8";"20.001";"Autre";"";"Non"
2022;"16000";"2100206";"glyphosate";"1071-83-6";"32.4";"Env A";"";"Non"
2022;"16000";"2100221";"ametoctradine";"865318-97-4";"11.4";"Env A";"";"Non"
2022;"16000";"2100221";"metirame";"9006-42-2";"41.8";"Env A";"";"Non"
2022;"16000";"2110018";"difenoconazole";"119446-68-3";"0.11275";"Env A";"";"Non"
2022;"16000";"2110018";"fludioxonil";"131341-86-1";"0.11275";"Env A";"";"Non"
2022;"16000";"2110059";"bicarbonate de potassium";"298-14-6";"8.5";"Autre";"";"Non"
2022;"16000";"2110086";"spirotetramat";"203313-25-1";"0.6";"CMR";"";"Non"
2022;"16000";"2110101";"pyraflufen-ethyl";"129630-19-9";"1.1925";"Env A";"";"Non"
2022;"16000";"2110141";"dimethomorphe";"110488-70-5";"0.36";"Env A";"Exclusion";"Non"
2022;"16000";"2110141";"pyraclostrobine";"175013-18-0";"0.2";"Santé A";"";"Non"
2022;"16000";"2110143";"metribuzine";"21087-64-9";"1.2";"Env A";"";"Non"
2022;"16000";"2120143";"glyphosate";"1071-83-6";"19.2";"Env A";"";"Non"
