"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"13001";"2020241";"bacillus thuringiensis ssp aizawai souche abts-1857";"68038-71-1";"0.27";"Autre";"";"Non"
2022;"04000";"2000018";"soufre pour pulverisation (micronise)";"7704-34-9";"48";"Autre";"";"Non"
2022;"04000";"2010023";"deltamethrine";"52918-63-5";"0.240";"Santé A";"";"Non"
2022;"04000";"2010513";"bacillus thuringiensis ssp kurstaki souche abts-351";"68038-71-1";"";"Autre";"";"Non"
2022;"04000";"2040146";"tefluthrine";"79538-32-2";"1.738";"Santé A";"";"Non"
2022;"04000";"2060045";"huile vegetale";"";"0.28";"Autre";"";"Non"
2022;"04000";"2060045";"resines (colophane)";"8050-09-7";"2.72";"Autre";"";"Non"
2022;"04000";"2060098";"spinosad";"168316-95-8";"0.288";"Env A";"";"Non"
2022;"04000";"2060127";"prothioconazole";"178928-70-6";"0.003";"Env A";"";"Non"
2022;"04000";"2080105";"glyphosate";"1071-83-6";"1.8";"Env A";"";"Non"
2022;"04000";"2090146";"abamectine";"71751-41-2";"0.000030";"CMR";"";"Non"
2022;"04000";"2090146";"pyrethrines";"8003-34-7";"0.0004";"Env A";"";"Non"
2022;"04000";"2100014";"metsulfuron-methyl";"74223-64-6";"0.0804";"Env A";"Substitution";"Non"
2022;"04000";"2100014";"thifensulfuron-methyle";"79277-27-3";"0.3996";"Env A";"";"Non"
2022;"04000";"2100038";"kaolin";"1332-58-7";"400";"Autre";"";"Non"
2022;"04000";"2110018";"difenoconazole";"119446-68-3";"0.00125";"Env A";"";"Non"
2022;"04000";"2110018";"fludioxonil";"131341-86-1";"0.00125";"Env A";"";"Non"
2022;"04000";"2110102";"difenoconazole";"119446-68-3";"0.5745";"Env A";"";"Non"
2022;"04000";"2110102";"fludioxonil";"131341-86-1";"0.5745";"Env A";"";"Non"
2022;"04000";"2110102";"sedaxane";"874967-67-6";"1.149";"CMR";"";"Non"
2022;"04000";"2110143";"metribuzine";"21087-64-9";"6";"Env A";"";"Non"
