"annee";"code_departement";"departement";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"00";"INDETERMINE";"1030003";746.39;"l";"Oui";"Non"
2022;"00";"INDETERMINE";"2120048";795.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2120057";20.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2120067";36.0;"kg";"Non";"Non"
2022;"00";"INDETERMINE";"2120075";60.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2120092";10.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2120100";90.0;"kg";"Non";"Oui"
2022;"00";"INDETERMINE";"2120117";190.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2120120";15.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2120132";162.72;"kg";"Non";"Non"
2022;"00";"INDETERMINE";"2120143";703.89;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2120149";10.0;"kg";"Non";"Oui"
2022;"00";"INDETERMINE";"2120153";50.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2120159";87.53;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2120174";158.0;"l";"Oui";"Non"
2022;"00";"INDETERMINE";"2120191";3.0;"kg";"Non";"Oui"
2022;"00";"INDETERMINE";"2120199";7360.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2120209";55.0;"kg";"Non";"Non"
2022;"00";"INDETERMINE";"2130049";16.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130061";25.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130063";40.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130067";8.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130069";40.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130083";40.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130088";500.2;"kg";"Non";"Non"
2022;"00";"INDETERMINE";"2130108";12.0;"kg";"Non";"Non"
2022;"00";"INDETERMINE";"2130126";5511.5;"kg";"Oui";"Non"
2022;"00";"INDETERMINE";"2130127";1560.0;"kg";"Non";"Non"
2022;"00";"INDETERMINE";"2130140";190.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130152";48.75;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130153";4050.9299;"l";"Oui";"Non"
2022;"00";"INDETERMINE";"2130164";1365.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130175";0.2;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130202";65.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130244";520.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130251";1.0;"l";"Non";"Oui"
2022;"00";"INDETERMINE";"2130258";15.0;"l";"Non";"Oui"
2022;"00";"INDETERMINE";"2130266";25.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2130271";1.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140001";0.05;"kg";"Non";"Non"
2022;"00";"INDETERMINE";"2140018";60.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140022";10.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140037";300.0;"kg";"Non";"Non"
2022;"00";"INDETERMINE";"2140038";54.58;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140051";9551.8902;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140052";40.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140078";4965.5801;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140085";2.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140098";50.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140099";70.0;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140104";41.17;"l";"Non";"Non"
2022;"00";"INDETERMINE";"2140106";48.0;"l";"Oui";"Non"
2022;"00";"INDETERMINE";"2140121";43394.9602;"l";"Oui";"Non"
2022;"00";"INDETERMINE";"2140134";1.2;"kg";"Non";"Non"
2022;"00";"INDETERMINE";"2140137";250.0;"kg";"Non";"Non"
2022;"00";"INDETERMINE";"2140147";75.0;"l";"Non";"Oui"
2022;"00";"INDETERMINE";"2140165";12.0;"kg";"Non";"Oui"
2022;"00";"INDETERMINE";"2140166";2262.6;"l";"Oui";"Non"
