annee,amm,quantite_produit,conditionnement,eaj,achat_etranger
2022,1030003,37248.6,l,Oui,Oui
2022,2000001,30.0,l,Oui,Oui
2022,2000003,76421.86,l,Non,Oui
2022,2000017,270.22,l,Oui,Non
2022,2000018,2172289.3805,kg,Non,Oui
2022,2000019,7.4,kg,Oui,Oui
2022,2000027,30.0,l,Oui,Oui
2022,2000029,33.0,l,Oui,Oui
2022,2000044,155948.26,l,Non,Oui
2022,2000046,54890.91,l,Non,Non
2022,2000051,10.0,l,Non,Non
2022,2000067,880.0,l,Non,Non
2022,2000071,660.4,kg,Oui,Non
2022,2000079,368.0,l,Non,Non
2022,2000080,212.3,l,Non,Non
2022,2000084,4080.0,kg,Non,Non
2022,2000087,22405.0,kg,Non,Non
2022,2000089,328.0,kg,Oui,Non
2022,2000095,34.0,l,Non,Oui
2022,2000097,35.7,kg,Non,Non
2022,2000105,9.0,kg,Oui,Non
2022,2000121,650.0,kg,Non,Non
2022,2000122,12039.97,l,Non,Non
2022,2000125,34955.62,kg,Oui,Oui
2022,2000128,16.11,kg,Oui,Non
2022,2000136,828.0,kg,Non,Non
2022,2000150,40.0,l,Oui,Non
2022,2000169,3.0,kg,Non,Non
2022,2000191,0.08,l,Non,Non
2022,2000195,5.0,kg,Non,Non
2022,2000201,31589.52,l,Non,Oui
2022,2000202,638084.8,l,Non,Non
2022,2000205,804.18,kg,Non,Non
2022,2000208,37.25,l,Non,Oui
2022,2000210,1630.0,l,Non,Non
2022,2000214,15.0,l,Non,Non
2022,2000228,157.0,kg,Oui,Non
2022,2000235,13.0,l,Non,Oui
2022,2000236,192.0,l,Non,Non
2022,2000256,1.0,l,Non,Non
2022,2000283,280.0,l,Non,Non
2022,2000294,90.0,kg,Non,Non
2022,2000299,53492.93,l,Non,Oui
2022,2000301,161965.07,l,Non,Non
2022,2000316,152393.21,l,Non,Non
2022,2000324,42611.54,l,Non,Oui
2022,2000327,272327.45,l,Non,Oui
2022,2000332,3126.84,l,Non,Non
2022,2000333,70.0,l,Non,Non
2022,2000335,9.13,l,Non,Non
2022,2000336,6458.0,kg,Non,Non
2022,2000338,74.66,kg,Non,Non
2022,2000369,3631.67,kg,Non,Oui
2022,2000380,95344.25,l,Non,Oui
2022,2000390,40.0,kg,Non,Oui
2022,2000447,101.0,kg,Non,Oui
2022,2000461,4195.0,l,Non,Non
2022,2000468,1190.0,kg,Non,Non
2022,2000499,295.0,l,Non,Non
2022,2000510,4042.5,kg,Oui,Non
2022,2000513,153.0,l,Non,Non
2022,2000517,442047.48,l,Non,Oui
2022,2000519,2365.0,l,Non,Non
2022,2000536,4483.31,kg,Non,Non
2022,2010003,245.0,l,Non,Non
2022,2010005,65.0,kg,Non,Non
2022,2010019,14506.0,l,Non,Non
2022,2010023,161139.87,l,Non,Oui
2022,2010025,70.0,l,Non,Non
2022,2010027,264.0,l,Non,Non
2022,2010030,194301.83,l,Non,Oui
2022,2010035,1647.75,l,Non,Non
2022,2010047,75.0,l,Non,Non
2022,2010099,567.67,l,Oui,Oui
2022,2010100,410.15,l,Oui,Oui
2022,2010101,335.53,l,Oui,Oui
2022,2010107,12.0,l,Non,Non
2022,2010112,6.0,kg,Non,Non
2022,2010118,1993.07,kg,Non,Non
2022,2010123,23900.0,kg,Oui,Non
2022,2010130,204364.83,kg,Non,Oui
2022,2010131,5.0,kg,Non,Oui
2022,2010132,3.0,kg,Non,Non
2022,2010150,1.0,kg,Non,Non
2022,2010158,905.0,l,Non,Non
2022,2010199,10.5,l,Non,Non
2022,2010206,86.0,kg,Non,Non
2022,2010239,106207.51,l,Non,Oui
2022,2010240,6736.0,l,Non,Oui
2022,2010262,3200.0,l,Non,Non
2022,2010274,5.0,l,Non,Non
2022,2010280,370740.87,l,Non,Oui
2022,2010282,69237.7,l,Non,Oui
2022,2010283,6411.89,l,Non,Non
2022,2010284,45.1,l,Oui,Non
2022,2010288,47.25,kg,Non,Oui
2022,2010296,25.0,l,Non,Non
2022,2010319,289.7,l,Oui,Non
2022,2010321,5.0,l,Oui,Non
2022,2010326,2636.0,l,Non,Non
2022,2010332,170.0,l,Non,Non
2022,2010335,11.0,l,Oui,Non
2022,2010349,35.0,l,Non,Non
2022,2010351,85.0,kg,Non,Non
2022,2010398,100323.32,kg,Non,Oui
2022,2010410,1452.17,kg,Oui,Non
2022,2010415,520.0,l,Non,Non
2022,2010419,150.6,kg,Non,Non
2022,2010420,75.0,l,Oui,Non
2022,2010425,116.35,kg,Non,Non
2022,2010426,70.0,kg,Non,Non
2022,2010427,14404.0,l,Non,Non
2022,2010434,7.0,l,Oui,Non
2022,2010441,36970.0,l,Non,Non
2022,2010478,75.0,l,Non,Non
2022,2010493,24.0,kg,Oui,Non
2022,2010495,20895.0,kg,Non,Non
2022,2010499,20.0,l,Non,Non
2022,2010502,20.0,l,Non,Non
2022,2010509,61904.01,kg,Non,Oui
2022,2010513,49535.92,kg,Non,Non
2022,2010525,57.0,kg,Non,Non
2022,2010527,1555.0,l,Non,Non
2022,2010530,2.54,l,Oui,Non
2022,2010531,18645.0,l,Non,Non
2022,2010537,81.79,kg,Non,Non
2022,2010552,7652.2,kg,Non,Non
2022,2010554,5.0,l,Non,Oui
2022,2010584,18538.0,l,Non,Non
2022,2010588,15.0,l,Non,Non
2022,2010604,1.0,kg,Oui,Non
2022,2010610,2805.0,l,Non,Non
2022,2010613,55.0,l,Non,Non
2022,2010617,7585.0,l,Non,Oui
2022,2010618,94616.95,kg,Non,Non
2022,2010628,0.25,kg,Non,Non
2022,2010632,44.5,kg,Non,Non
2022,2010640,2475.0,kg,Non,Non
2022,2010643,804.0,l,Non,Non
2022,2020003,11364.02,kg,Oui,Oui
2022,2020014,8056.97,l,Non,Non
2022,2020021,59887.02,l,Non,Non
2022,2020054,60.0,l,Non,Non
2022,2020064,53.0,l,Non,Non
2022,2020065,23.0,kg,Non,Non
2022,2020069,1821.3,l,Non,Oui
2022,2020099,92786.21,l,Non,Oui
2022,2020100,2.0,kg,Oui,Non
2022,2020104,4.0,l,Non,Non
2022,2020114,860.0,l,Non,Non
2022,2020119,17580.0,l,Oui,Non
2022,2020199,36.3,kg,Non,Non
2022,2020219,763.0,l,Non,Non
2022,2020226,47536.0,l,Non,Oui
2022,2020233,6920.0,kg,Non,Non
